OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-HALE_0120100113,THALE01_20100113_fw,River/Stream,,20020000,,,,,20.6694090000,-156.0569490000,,,,GPS-Unspecified,WGS84,,,,,,,US,15,009,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-HALE_0120100413,THALE01_20100413_fw,River/Stream,,20020000,,,,,20.6695593600,-156.0569082000,,,,GPS-Unspecified,WGS84,145,m,,,GPS Code (Pseudo Range) Differential,SEALV,US,15,009,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-HALE_0120101005,THALE01_20101005_fw,River/Stream,,20020000,,,,,20.6676367600,-156.0516028600,,,,GPS-Unspecified,WGS84,141,m,,,GPS Code (Pseudo Range) Differential,SEALV,US,15,009,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-HALE_0120110405,THALE01_20110405_fw,River/Stream,,20020000,,,,,20.6689932800,-156.0575109300,,,,GPS-Unspecified,WGS84,226,m,,,GPS Code (Pseudo Range) Differential,SEALV,US,15,009,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-HALE_0120111004,THALE01_20111004_fw,River/Stream,,20020000,,,,,20.6654496700,-156.0498431600,,,,GPS-Unspecified,WGS84,123,m,,,GPS Code (Pseudo Range) Differential,SEALV,US,15,009,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-HALE_0120120424,THALE01_20120424_fw,River/Stream,,20020000,,,,,20.6693731500,-156.0567844700,,,,GPS-Unspecified,WGS84,190,m,,,GPS Code (Pseudo Range) Differential,SEALV,US,15,009,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-HALE_0120120721,THALE01_20120721_fw,River/Stream,,20020000,,,,,20.6650500000,-156.0471600000,,,,GPS-Unspecified,WGS84,56,m,,,GPS Code (Pseudo Range) Differential,SEALV,US,15,009,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-HALE_0120121023,THALE01_20121023_fw,River/Stream,,20020000,,,,,20.6654530000,-156.0491030000,,,,GPS-Unspecified,WGS84,83,m,,,GPS Code (Pseudo Range) Differential,SEALV,US,15,009,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-HALE_0120130116,THALE01_20130116_fw,River/Stream,,20020000,,,,,20.6778700000,-156.0564400000,,,,GPS-Unspecified,WGS84,256,m,,,GPS Code (Pseudo Range) Differential,SEALV,US,15,009,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-HALE_0120130709,THALE01_20130709_fw,River/Stream,,20020000,,,,,20.6652700000,-156.0479400000,,,,GPS-Unspecified,WGS84,41,m,,,GPS Code (Pseudo Range) Differential,SEALV,US,15,009,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-HALE_0120131114,THALE01_20131114_fw,River/Stream,,20020000,,,,,20.6638690000,-156.0442750000,,,,GPS-Unspecified,WGS84,,,,,,,US,15,009,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-HALE_0120140408,THALE01_20140408_fw,River/Stream,,20020000,,,,,20.6707300000,-156.0542900000,,,,GPS-Unspecified,WGS84,200,m,,,GPS Code (Pseudo Range) Differential,SEALV,US,15,009,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-HALE_0120141017,THALE01_20141017_fw,River/Stream,,20020000,,,,,20.6631300000,-156.0421400000,,,,GPS-Unspecified,WGS84,12,m,,,GPS Code (Pseudo Range) Differential,SEALV,US,15,009,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-HALE_0120150707,THALE01_20150707_fw,River/Stream,"Riffle in bamboo forest, site is about 30 m upstream from end of FHALE08. Left bank is steep, boulders and bamboo, right bank is steep mud, moss, bamboo.",20020000,,,,,20.6727900000,-156.0550950000,,,,GPS-Unspecified,WGS84,250,m,,,GPS Code (Pseudo Range) Differential,SEALV,US,15,009,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-HALE_0120151103,THALE01_20151103_fw,Lake,Lake Waielele. High elevation lake near grasslands camp. Ohia trees and olapa surround lake. Some grass and very boggy around edges.,20020000,,,,,20.7361200000,-156.1157400000,,,,GPS-Unspecified,WGS84,,,,,,,US,15,009,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-HALE_0120160510,THALE01_20160510_fw,River/Stream,Small pool about 30 m downstream of Upper Alelele Falls.,20020000,,,,,20.6536900000,-156.0869600000,,,,GPS-Unspecified,WGS84,196,m,,,GPS Code (Pseudo Range) Differential,SEALV,US,15,009,,,,,,,,,,STORET
