OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-AR,USGS Arkansas Water Science Center,USGS-07357840,HOT SP RES NR HOT SPRINGS ARK,Stream,,08040101,,,,,34.56620125000000,-93.0965702000000,,10,seconds,Interpolated from MAP.,NAD83,,,,,,,US,05,051,,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07358280,"Hot Springs at Hot Springs, AR",Spring,,08040101,,,,,34.51175606000000,-93.0535128000000,,10,seconds,Interpolated from MAP.,NAD83,595,feet,10,feet,Interpolated from topographic map.,NGVD29,US,05,051,,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-343033092584601,02S18W31CAB1SP Cluster Springs,Spring,,08040101,,,,,34.51456389000000,-92.9811472000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,640,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,05,051,Other aquifers,,Stanley Shale,Unconfined single aquifer,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-343043092584601,02S18W31CAC1 FFH,Well,,08040101,,,,,34.51211667000000,-92.9796278000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,589,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,05,051,Other aquifers,,Stanley Shale,Unconfined single aquifer,,67.5,ft,67.5,ft,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-343053093042001,02S19W31DAA1,Well,,08040101,,,,,34.51481165000000,-93.0724025000000,24000,1,seconds,Interpolated from MAP.,NAD83,695,feet,20,feet,Interpolated from topographic map.,NGVD29,US,05,051,Other aquifers,,Bigfork Chert,Unconfined single aquifer,,50,ft,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-343056093030901,Crystal Spring (8) @ HOSP N.P.,Spring,,08040101,,,,,34.51564499000000,-93.0526794000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,05,051,,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-343057093031301,Arscenic Spring (17) @ HOSP N.P.,Spring,,08040101,,,,,34.51592277000000,-93.0537906000000,24000,1,seconds,Interpolated from MAP.,NAD83,621,feet,20,feet,Interpolated from topographic map.,NGVD29,US,05,051,,,Hot Springs Sandstone,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-343058093030901,Spring 47 @ HOSP N.P.,Spring,,08040101,,,,,34.51620056000000,-93.0526794000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,05,051,,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-343105092585201,02S18W31BCA1,Well,,08040101,,,,,34.51816944000000,-92.9811667000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,893,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,05,051,Other aquifers,,Hot Springs Sandstone,Unconfined single aquifer,,325,ft,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-343132092585401,02S18W30CCB1,Well,,08040101,,,,,34.52547220000000,-92.9815556000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,715,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,05,051,Other aquifers,,Bigfork Chert,Unconfined single aquifer,20010802,205,ft,205,ft,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-343132092585501,02S18W30CCB2,Well,,08040101,,,,,34.52547220000000,-92.9819444000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,713,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,05,051,Other aquifers,,Bigfork Chert,Unconfined single aquifer,20070703,125,ft,125,ft,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-343146092584701,02S18W30BCD1,Well,,08040101,,,,,34.52933330000000,-92.9796389000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,776,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,05,051,Other aquifers,,Bigfork Chert,Unconfined single aquifer,20050413,228,ft,228,ft,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-343153092582401,02S18W30ACB1 PAN,Well,,08040101,,,,,34.53136110000000,-92.9734722000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,583,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,05,051,Other aquifers,,Bigfork Chert,Unconfined single aquifer,,53.95,ft,53.95,ft,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-343158092585501,02S18W30BCB1 Thousand Dripping Springs,Spring,,08040101,,,,,34.53277778000000,-92.9821111000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,591,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,05,051,Other aquifers,,Bigfork Chert,Unconfined single aquifer,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-343221092590101,02S19W24DDA1,Well,,08040101,,,,,34.53943610000000,-92.9837306000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,581,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,05,051,Other aquifers,,Stanley Shale,Unconfined single aquifer,20050101,45,ft,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-343250092585901,02S19W24AAA1 TNC South,Well,,08040101,,,,,34.54713889000000,-92.9829722000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,754,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,05,051,Other aquifers,,Stanley Shale,Unconfined single aquifer,20180530,80,ft,83.30,ft,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-343316092584201,02S18W18CCA1 TNC East,Well,,08040101,,,,,34.55436110000000,-92.9784444000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,703,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,05,051,Other aquifers,,Stanley Shale,Unconfined single aquifer,20180530,122.96,ft,122.96,ft,NWIS
