OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-IN,USGS Indiana Water Science Center,IN033-413402087151801,DEEP R 1680 FT US OF LAKE PARK AVE AT EAST GARY IN,Stream,,04040001,,,,,41.56722220000000,-87.2550000000000,24000,1,seconds,Interpolated from MAP.,NAD83,600,feet,10,feet,Interpolated from topographic map.,NGVD29,US,18,089,,,,,,,,,,NWIS
USGS-IN,USGS Indiana Water Science Center,IN033-413538087022401,"COFFEE CR 143 FT DS 1100 N NR CHESTERTON, IN",Stream,,04040001,,,,,41.59388889000000,-87.0400000000000,24000,1,seconds,Interpolated from MAP.,NAD83,650,feet,10,feet,Interpolated from topographic map.,NGVD29,US,18,127,,,,,,,,,,NWIS
USGS-IN,USGS Indiana Water Science Center,IN033-413653087162301,G CAL LAGOON MIDDLE LAGOON S SHORE NR E CHICAGO IN,"Lake, Reservoir, Impoundment",,04040001,,,,,41.61465830000000,-87.2730694000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,588,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,18,089,,,,,,,,,,NWIS
USGS-IN,USGS Indiana Water Science Center,IN033-413702087154701,GRAND CAL LAGOON E BASIN N SHORE NR E CHICAGO IN,"Lake, Reservoir, Impoundment",,04040001,,,,,41.61708330000000,-87.2630611000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,602,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,18,089,,,,,,,,,,NWIS
USGS-IN,USGS Indiana Water Science Center,IN033-413724086585501,E ARM LITTLE CALUMET R 515 FT US CR450E NR BURDICK,Stream,,04040001,,,,,41.62333330000000,-86.9819444000000,24000,1,seconds,Interpolated from MAP.,NAD83,640,feet,10,feet,Interpolated from topographic map.,NGVD29,US,18,127,,,,,,,,,,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-04093503,"BURNS DITCH AT USHWY 20 AT LAKE STATION, IN",Stream,,04040001,165,sq mi,,,41.59383330000000,-87.2205000000000,24000,Unknown,Unknown,Interpolated from Digital MAP.,NAD83,572.23,feet,.10,feet,GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,18,127,,,,,,,,,,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-04095090,"PORTAGE-BURNS WATERWAY AT PORTAGE, IN",Stream: Ditch,,04040001,331,sq mi,,,41.62225939000000,-87.1758685000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,574.38,feet,.01,feet,Differentially corrected Global Positioning System.,NAVD88,US,18,127,,,,,,,,,,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-04095092,"PORTAGE-BURNS WATERWAY AT MOUTH AT PORTAGE, IN",Stream: Canal,,04040001,331.1,sq mi,,,41.63277778000000,-87.1775000000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,18,127,,,,,,,,,,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413459087081301,"SALT CREEK AT PRAIRIE DUNELAND TRL, NEAR MCCOOL IN",Stream,,04040001,,,,,41.58305556000000,-87.1369444000000,,1,seconds,Interpolated from Digital MAP.,NAD83,605,feet,5,feet,Interpolated from topographic map.,NGVD29,US,18,127,,,,,,,,,,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413538087022402,"COFFEE CR DS OF 1100 N NR CHESTERTON, IN",Stream,,04040001,,,,,41.59388889000000,-87.0400000000000,24000,1,seconds,Interpolated from MAP.,NAD83,650,feet,10,feet,Interpolated from topographic map.,NGVD29,US,18,127,,,,,,,,,,NWIS
