OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-MI,USGS Michigan Water Science Center,USGS-475814088582001,"LAKE DESOR NR S DESOR CAMPGROUND AT ISLE ROYALE,MI","Lake, Reservoir, Impoundment",,04020300,,,,,47.97057778000000,-88.9723639000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,858,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,26,083,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-475823088585001,"LAKE DESOR NR CENTER AT ISLE ROYALE, MI","Lake, Reservoir, Impoundment",,04020300,,,,,47.97314720000000,-88.9807139000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1413,feet,3,feet,Interpolated from Digital Elevation Model,NAVD88,US,26,083,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-480155088412101,"LAKE RICHIE NR INDIAN PORTAGE TR AT ISLE ROYALE,MI","Lake, Reservoir, Impoundment",,04020300,,,,,48.03221389000000,-88.6893972000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,638,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,26,083,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-480227088420201,"LAKE RICHIE NR CENTER AT ISLE ROYALE, MI","Lake, Reservoir, Impoundment",,04020300,,,,,48.04089720000000,-88.7006028000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,622,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,26,083,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-480237088415701,"LAKE RICHIE NR CANOE CAMPGROUND AT ISLE ROYALE, MI","Lake, Reservoir, Impoundment",,04020300,,,,,48.04374440000000,-88.6993278000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,622,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,26,083,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-480302088474701,"LAKE HARVEY NR CENTER AT ISLE ROYALE, MI","Lake, Reservoir, Impoundment",,04020300,,,,,48.05056940000000,-88.7964250000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,762,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,26,083,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-480305088410601,"LAKE RICHIE NR BEDROCK BEACH AT ISLE ROYALE, MI","Lake, Reservoir, Impoundment",,04020300,,,,,48.05165556000000,-88.6850944000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,627,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,26,083,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-480308088410001,"LAKE RICHIE AT MOSKEY PORTAGE ISLE ROYALE, MI","Lake, Reservoir, Impoundment",,04020300,,,,,48.05225000000000,-88.6834194000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,622,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,26,083,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-480308088471401,"LAKE HARVEY NEAR NE OF LAKE AT ISLE ROYALE, MI","Lake, Reservoir, Impoundment",,04020300,,,,,48.05238610000000,-88.7872972000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,772,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,26,083,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-480317088422601,"LAKE LESAGE NEAR SOUTH PORTAGE AT ISLE ROYALE, MI","Lake, Reservoir, Impoundment",,04020300,,,,,48.05496110000000,-88.7074000000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,725,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,26,083,,,,,,,,,,NWIS
