OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-CA,USGS California Water Science Center,USGS-11376030,MANZANITA C US REFLECTION LK NR MANZANITA LAKE CA,Stream,,18020153,7.06,sq mi,,,40.53543670000000,-121.5594269000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,089,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-402749121270901,POND SE OF READING PEAK A LASSEN NP CA,"Lake, Reservoir, Impoundment",,18020121,,,,,40.46349340000000,-121.4535890000000,24000,1,seconds,Interpolated from MAP.,NAD83,7366,feet,20,feet,Interpolated from topographic map.,NGVD29,US,06,089,,,,,,,,,,NWIS
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-LAVO_10430,Monitoring Location LAVO_10430,Lake,,18020153,,,,,40.5401000000,-121.5630000000,0,,,Interpolation-Digital Map Source,NAD83,,,,,,,US,06,089,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-LAVO_10445,Monitoring Location LAVO_10445,Lake,,18020003,,,,,40.5355000000,-121.2630000000,0,,,Interpolation-Digital Map Source,NAD83,,,,,,,US,06,035,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-LAVO_10470,Monitoring Location LAVO_10470,Lake,,18020003,,,,,40.5286000000,-121.3860000000,0,,,Interpolation-Digital Map Source,NAD83,,,,,,,US,06,089,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-LAVO_10503,Monitoring Location LAVO_10503,Lake,,18020003,,,,,40.5228000000,-121.4060000000,0,,,Interpolation-Digital Map Source,NAD83,,,,,,,US,06,089,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-LAVO_10564,Monitoring Location LAVO_10564,Lake,,18020003,,,,,40.5183000000,-121.2610000000,0,,,Interpolation-Digital Map Source,NAD83,,,,,,,US,06,035,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-LAVO_10570,Monitoring Location LAVO_10570,Lake,,18020003,,,,,40.5162000000,-121.4090000000,0,,,Interpolation-Digital Map Source,NAD83,,,,,,,US,06,089,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-LAVO_10751,Monitoring Location LAVO_10751,Lake,,18020003,,,,,40.4991000000,-121.3620000000,0,,,Interpolation-Digital Map Source,NAD83,,,,,,,US,06,089,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-LAVO_10793,Monitoring Location LAVO_10793,Lake,,18020121,,,,,40.4931000000,-121.4220000000,0,,,Interpolation-Digital Map Source,NAD83,,,,,,,US,06,089,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-LAVO_10803,Monitoring Location LAVO_10803,Lake,,18020003,,,,,40.4933000000,-121.3970000000,0,,,Interpolation-Digital Map Source,NAD83,,,,,,,US,06,089,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-LAVO_10804,Monitoring Location LAVO_10804,Lake,,18020003,,,,,40.4931000000,-121.3700000000,0,,,Interpolation-Digital Map Source,WGS84,,,,,,,US,06,089,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-LAVO_10807,Monitoring Location LAVO_10807,Lake,,18020003,,,,,40.4926000000,-121.3700000000,0,,,Interpolation-Digital Map Source,NAD83,,,,,,,US,06,089,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-LAVO_10825,Monitoring Location LAVO_10825,Lake,,18020003,,,,,40.4914000000,-121.3860000000,0,,,Interpolation-Digital Map Source,NAD83,,,,,,,US,06,089,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-LAVO_10837,Monitoring Location LAVO_10837,Lake,,18020003,,,,,40.4905000000,-121.3830000000,0,,,Interpolation-Digital Map Source,NAD83,,,,,,,US,06,089,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-LAVO_10871,Monitoring Location LAVO_10871,Lake,,18020121,,,,,40.4875000000,-121.3790000000,0,,,Interpolation-Digital Map Source,NAD83,,,,,,,US,06,089,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-LAVO_10934,Monitoring Location LAVO_10934,Lake,,18020003,,,,,40.4831000000,-121.2560000000,0,,,Interpolation-Digital Map Source,WGS84,,,,,,,US,06,035,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-LAVO_10950,Monitoring Location LAVO_10950,Lake,,18020003,,,,,40.4791000000,-121.4520000000,0,,,Interpolation-Digital Map Source,WGS84,,,,,,,US,06,089,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-LAVO_10968,Monitoring Location LAVO_10968,Lake,,18020003,,,,,40.4785000000,-121.4520000000,0,,,Interpolation-Digital Map Source,NAD83,,,,,,,US,06,089,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-LAVO_10972,Monitoring Location LAVO_10972,Lake,,18020003,,,,,40.4800000000,-121.2790000000,0,,,Interpolation-Digital Map Source,NAD83,,,,,,,US,06,035,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-LAVO_10980,Monitoring Location LAVO_10980,Lake,,18020003,,,,,40.4769000000,-121.4550000000,0,,,Interpolation-Digital Map Source,NAD83,,,,,,,US,06,089,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-LAVO_10995,Monitoring Location LAVO_10995,Lake,,18020003,,,,,40.4789000000,-121.2660000000,0,,,Interpolation-Digital Map Source,NAD83,,,,,,,US,06,035,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-LAVO_11037,Monitoring Location LAVO_11037,Lake,,18020003,,,,,40.4751000000,-121.3040000000,0,,,Interpolation-Digital Map Source,WGS84,,,,,,,US,06,035,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-LAVO_11040,Monitoring Location LAVO_11040,Lake,,18020003,,,,,40.4747000000,-121.2780000000,0,,,Interpolation-Digital Map Source,NAD83,,,,,,,US,06,035,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-LAVO_11070,Monitoring Location LAVO_11070,Lake,,18020003,,,,,40.4734000000,-121.2640000000,0,,,Interpolation-Digital Map Source,NAD83,,,,,,,US,06,035,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-LAVO_11076,Monitoring Location LAVO_11076,Lake,,18020156,,,,,40.4626000000,-121.5110000000,0,,,Interpolation-Digital Map Source,NAD83,,,,,,,US,06,089,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-LAVO_11110,Monitoring Location LAVO_11110,Lake,,18020003,,,,,40.4701000000,-121.2660000000,0,,,Interpolation-Digital Map Source,NAD83,,,,,,,US,06,035,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-LAVO_11211,Monitoring Location LAVO_11211,Lake,,18020121,,,,,40.4582000000,-121.4490000000,0,,,Interpolation-Digital Map Source,NAD83,,,,,,,US,06,089,,,,,,,,,,STORET
