OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,ActivityLocation/SourceMapScaleNumeric,ActivityLocation/HorizontalAccuracyMeasure/MeasureValue,ActivityLocation/HorizontalAccuracyMeasure/MeasureUnitCode,ActivityLocation/HorizontalCollectionMethodName,ActivityLocation/HorizontalCoordinateReferenceSystemDatumName,AssemblageSampledName,CollectionDuration/MeasureValue,CollectionDuration/MeasureUnitCode,SamplingComponentName,SamplingComponentPlaceInSeriesNumeric,ReachLengthMeasure/MeasureValue,ReachLengthMeasure/MeasureUnitCode,ReachWidthMeasure/MeasureValue,ReachWidthMeasure/MeasureUnitCode,PassCount,NetTypeName,NetSurfaceAreaMeasure/MeasureValue,NetSurfaceAreaMeasure/MeasureUnitCode,NetMeshSizeMeasure/MeasureValue,NetMeshSizeMeasure/MeasureUnitCode,BoatSpeedMeasure/MeasureValue,BoatSpeedMeasure/MeasureUnitCode,CurrentSpeedMeasure/MeasureValue,CurrentSpeedMeasure/MeasureUnitCode,ToxicityTestType,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodQualifierTypeName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,SampleCollectionMethod/SampleCollectionEquipmentCommentText,SamplePreparationMethod/MethodIdentifier,SamplePreparationMethod/MethodIdentifierContext,SamplePreparationMethod/MethodName,SamplePreparationMethod/MethodQualifierTypeName,SamplePreparationMethod/MethodDescriptionText,SampleContainerTypeName,SampleContainerColorName,ChemicalPreservativeUsedName,ThermalPreservativeUsedName,SampleTransportStorageDescription,DataLoggerLine,ResultDetectionConditionText,MethodSpecificationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,DataQuality/BiasValue,ConfidenceIntervalValue,UpperConfidenceLimitValue,LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultSamplingPointName,BiologicalIntentName,BiologicalIndividualIdentifier,SubjectTaxonomicName,UnidentifiedSpeciesIdentifier,SampleTissueAnatomyName,GroupSummaryCountWeight/MeasureValue,GroupSummaryCountWeight/MeasureUnitCode,CellFormName,CellShapeName,HabitName,VoltismName,TaxonomicPollutionTolerance,TaxonomicPollutionToleranceScaleText,TrophicLevelName,FunctionalFeedingGroupName,TaxonomicDetailsCitation/ResourceTitleName,TaxonomicDetailsCitation/ResourceCreatorName,TaxonomicDetailsCitation/ResourceSubjectText,TaxonomicDetailsCitation/ResourcePublisherName,TaxonomicDetailsCitation/ResourceDate,TaxonomicDetailsCitation/ResourceIdentifier,FrequencyClassDescriptorCode,FrequencyClassDescriptorUnitCode,LowerClassBoundValue,UpperClassBoundValue,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,AnalysisStartTime/Time,AnalysisStartTime/TimeZoneCode,AnalysisEndDate,AnalysisEndTime/Time,AnalysisEndTime/TimeZoneCode,ResultLaboratoryCommentCode,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LaboratoryAccreditationIndicator,LaboratoryAccreditationAuthorityName,TaxonomistAccreditationIndicator,TaxonomistAccreditationAuthorityName,LabSamplePreparationMethod/MethodIdentifier,LabSamplePreparationMethod/MethodIdentifierContext,LabSamplePreparationMethod/MethodName,LabSamplePreparationMethod/MethodQualifierTypeName,LabSamplePreparationMethod/MethodDescriptionText,PreparationStartDate,PreparationStartTime/Time,PreparationStartTime/TimeZoneCode,PreparationEndDate,PreparationEndTime/Time,PreparationEndTime/TimeZoneCode,SubstitutionDilutionFactorNumeric,ProviderName
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-MACA_THTH_201810160001^04,Field Msr/Obs,Water,,2018-10-16,12:08:00,CDT,,,,,,,,,,,,MACA_WQ,,11NPSWRD_WQX-MACA_THTH,Sediment sand is blasting boat. Water is brown.  Organization ActivityID=MACA_THTH_201810160001,,,,37.1657615800,-86.1577733000,,,,,,,,,,,,,,,,,,,,,,,,,,NPS_INSITU,11NPSWRD_WQX,In Situ Measurement with Probe,,Measurements/observations made on site with an unspecified probe.,Miscellaneous (Other),,CUPN_INSIT,11NPSWRD_WQX,In Situ Measurements,,,Unspecified,Unspecified,,None,No sample is taken as all measurements are made in situ.,,,,Dissolved oxygen (DO),,7.54,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUPN_YSI_PROODO,11NPSWRD_WQX,YSI ProODO Item #626279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-MACA_DFDF_201802200001^03,Field Msr/Obs,Water,,2018-02-20,11:03:00,CST,,,,,,,,,,,,MACA_WQ,,11NPSWRD_WQX-MACA_DFDF,Water very blue and clear. Lots of debris.  Organization ActivityID=MACA_DFDF_201802200001,,,,37.2223684300,-86.0914121000,,,,,,,,,,,,,,,,,,,,,,,,,,NPS_INSITU,11NPSWRD_WQX,In Situ Measurement with Probe,,Measurements/observations made on site with an unspecified probe.,Miscellaneous (Other),,CUPN_INSIT,11NPSWRD_WQX,In Situ Measurements,,,Unspecified,Unspecified,,None,No sample is taken as all measurements are made in situ.,,,,"Temperature, water",,11.2,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.1,USEPA,Temperature,,https://www.nemi.gov/methods/method_summary/5216/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-MACA_ERES_201802200001^06,Sample-Routine,Water,,2018-02-20,09:05:00,CST,,,,,,,,,,,,MACA_WQ,,11NPSWRD_WQX-MACA_ERES,Water is green and high. Cave entrance is covered. Visible flow of water from cave.  Organization ActivityID=MACA_ERES_201802200001,,,,37.1790541100,-86.1086827600,,,,,,,,,,,,,,,,,,,,,,,,,,CUPN_GRAB,11NPSWRD_WQX,Grab Sample,,Simple non-integrated grab sample.,Miscellaneous (Other),,CUPN_NO3,11NPSWRD_WQX,nitrate,,,HDPE Bottle,Translucent,,None,Container Size: 100 ml.,,,as NO3,Nitrate,Total,16.3,mg/L,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500-NO3 D,APHA,4500 NO3 D ~ Nitrogen (Nitrate) in Water by Nitrate Electrode Method,DATA,https://www.nemi.gov/methods/method_summary/9808/,CUPN,,,,,,,,,Lower Quantitation Limit,0.1,mg/L,N,,,,,,,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-MACA_DFDF_201801260001^03,Field Msr/Obs,Water,,2018-01-26,11:17:00,CST,,,,,,,,,,,,MACA_WQ,,11NPSWRD_WQX-MACA_DFDF,Minnows present. Good demarcation line.  Organization ActivityID=MACA_DFDF_201801260001,,,,37.2223684300,-86.0914121000,,,,,,,,,,,,,,,,,,,,,,,,,,NPS_INSITU,11NPSWRD_WQX,In Situ Measurement with Probe,,Measurements/observations made on site with an unspecified probe.,Miscellaneous (Other),,CUPN_INSIT,11NPSWRD_WQX,In Situ Measurements,,,Unspecified,Unspecified,,None,No sample is taken as all measurements are made in situ.,,,,Dissolved oxygen saturation,,99.6,%,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.1,USEPA,Dissolved Oxygen Using an ISE,,https://www.nemi.gov/methods/method_summary/5252/,,,,,,,,,,Upper Quantitation Limit,150,%,,,,,,,,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-MACA_BSBS_201803200001^04,Sample-Routine,Water,,2018-03-20,10:59:00,CDT,,,,,,,,,,,,MACA_WQ,,11NPSWRD_WQX-MACA_BSBS,Beautiful blue water with a clear demarcation line. Approximately 4 feet of visibility in water.  Organization ActivityID=MACA_BSBS_201803200001,,,,37.2271681600,-86.0746576800,,,,,,,,,,,,,,,,,,,,,,,,,,CUPN_GRAB,11NPSWRD_WQX,Grab Sample,,Simple non-integrated grab sample.,Miscellaneous (Other),,CUPN_TURB,11NPSWRD_WQX,Turbidity Sample,,,HDPE Bottle,Translucent,,Wet Ice (4 deg C),Container Size: 50 ml.,,,,Turbidity,,2.32,NTU,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.1,USEPA,Turbidity by Nephelometry,,https://www.nemi.gov/methods/method_summary/5217/,WATERS Laboratory,,,,,,,,,Lower Quantitation Limit,0.0318,NTU,N,,,,,,,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-MACA_THTH_201807170001^06,Sample-Routine,Water,,2018-07-17,12:53:00,CDT,,,,,,,,,,,,MACA_WQ,,11NPSWRD_WQX-MACA_THTH,Leaf litter and bubbles on top of water. Turtles and minnows present.  Organization ActivityID=MACA_THTH_201807170001,,,,37.1657615800,-86.1577733000,,,,,,,,,,,,,,,,,,,,,,,,,,CUPN_GRAB,11NPSWRD_WQX,Grab Sample,,Simple non-integrated grab sample.,Miscellaneous (Other),,CUPN_NO3,11NPSWRD_WQX,nitrate,,,HDPE Bottle,Translucent,,None,Container Size: 100 ml.,,,as NO3,Nitrate,Total,38.2,mg/L,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500-NO3 D,APHA,4500 NO3 D ~ Nitrogen (Nitrate) in Water by Nitrate Electrode Method,DATA,https://www.nemi.gov/methods/method_summary/9808/,CUPN,,,,,,,,,Lower Quantitation Limit,0.1,mg/L,N,,,,,,,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-MACA_PSPS_201801260001^06,Sample-Routine,Water,,2018-01-26,10:32:00,CST,,,,,,,,,,,,MACA_WQ,,11NPSWRD_WQX-MACA_PSPS,Minnows present. Water visibility 1.5 to 2 feet.  Organization ActivityID=MACA_PSPS_201801260001,,,,37.2143397400,-86.0552705100,,,,,,,,,,,,,,,,,,,,,,,,,,CUPN_GRAB,11NPSWRD_WQX,Grab Sample,,Simple non-integrated grab sample.,Miscellaneous (Other),,CUPN_NO3,11NPSWRD_WQX,nitrate,,,HDPE Bottle,Translucent,,None,Container Size: 100 ml.,,,as NO3,Nitrate,Total,8.5,mg/L,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500-NO3 D,APHA,4500 NO3 D ~ Nitrogen (Nitrate) in Water by Nitrate Electrode Method,DATA,https://www.nemi.gov/methods/method_summary/9808/,CUPN,,,,,,,,,Lower Quantitation Limit,0.1,mg/L,N,,,,,,,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-MACA_PSPS_201803200001^03,Field Msr/Obs,Water,,2018-03-20,10:37:00,CDT,,,,,,,,,,,,MACA_WQ,,11NPSWRD_WQX-MACA_PSPS,Beautiful blue water with a very distinct demarcation line. Cave is completely submerged.  Organization ActivityID=MACA_PSPS_201803200001,,,,37.2143397400,-86.0552705100,,,,,,,,,,,,,,,,,,,,,,,,,,NPS_INSITU,11NPSWRD_WQX,In Situ Measurement with Probe,,Measurements/observations made on site with an unspecified probe.,Miscellaneous (Other),,CUPN_INSIT,11NPSWRD_WQX,In Situ Measurements,,,Unspecified,Unspecified,,None,No sample is taken as all measurements are made in situ.,,,,Specific conductance,,178.6,uS/cm,,Final,,Actual,,,25 Deg C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9050A,USEPA,9050 A ~ Specific Conductance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-MACA_DFDF_201801260001^06,Sample-Routine,Water,,2018-01-26,11:17:00,CST,,,,,,,,,,,,MACA_WQ,,11NPSWRD_WQX-MACA_DFDF,Minnows present. Good demarcation line.  Organization ActivityID=MACA_DFDF_201801260001,,,,37.2223684300,-86.0914121000,,,,,,,,,,,,,,,,,,,,,,,,,,CUPN_GRAB,11NPSWRD_WQX,Grab Sample,,Simple non-integrated grab sample.,Miscellaneous (Other),,CUPN_NO3,11NPSWRD_WQX,nitrate,,,HDPE Bottle,Translucent,,None,Container Size: 100 ml.,,,as NO3,Nitrate,Total,3.4,mg/L,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500-NO3 D,APHA,4500 NO3 D ~ Nitrogen (Nitrate) in Water by Nitrate Electrode Method,DATA,https://www.nemi.gov/methods/method_summary/9808/,CUPN,,,,,,,,,Lower Quantitation Limit,0.1,mg/L,N,,,,,,,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-MACA_PSPS_201801260001^02,Field Msr/Obs,Water,,2018-01-26,10:32:00,CST,,,,,,,,,,,,MACA_WQ,,11NPSWRD_WQX-MACA_PSPS,Minnows present. Water visibility 1.5 to 2 feet.  Organization ActivityID=MACA_PSPS_201801260001,,,,37.2143397400,-86.0552705100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Flow, stream stage (choice list)",,NORMAL,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
