OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-MACA_THTH_201810160001^04,Field Msr/Obs,Water,,2018-10-16,12:08:00,CDT,,,,,,,,,,,,MACA_WQ,"CUPN WQ Monitoring, MACA",,11NPSWRD_WQX-MACA_THTH,Turnhole Spring,Sediment sand is blasting boat. Water is brown.  Organization ActivityID=MACA_THTH_201810160001,,,,37.1657615800,-86.1577733000,NPS_INSITU,11NPSWRD_WQX,In Situ Measurement with Probe,Measurements/observations made on site with an unspecified probe.,Miscellaneous (Other),STORET-971461785,,,Dissolved oxygen (DO),,7.54,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,CUPN_YSI_PROODO,11NPSWRD_WQX,YSI ProODO Item #626279,,,,,,,,,,,2023-03-18T06:46:01,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-MACA_DFDF_201802200001^03,Field Msr/Obs,Water,,2018-02-20,11:03:00,CST,,,,,,,,,,,,MACA_WQ,"CUPN WQ Monitoring, MACA",,11NPSWRD_WQX-MACA_DFDF,Doyle's Ford Spring,Water very blue and clear. Lots of debris.  Organization ActivityID=MACA_DFDF_201802200001,,,,37.2223684300,-86.0914121000,NPS_INSITU,11NPSWRD_WQX,In Situ Measurement with Probe,Measurements/observations made on site with an unspecified probe.,Miscellaneous (Other),STORET-971460099,,,"Temperature, water",,11.2,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,170.1,USEPA,Temperature,,https://www.nemi.gov/methods/method_summary/5216/,,,,,,,,,2023-03-18T06:14:39,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-MACA_ERES_201802200001^06,Sample-Routine,Water,,2018-02-20,09:05:00,CST,,,,,,,,,,,,MACA_WQ,"CUPN WQ Monitoring, MACA",,11NPSWRD_WQX-MACA_ERES,Echo River Spring,Water is green and high. Cave entrance is covered. Visible flow of water from cave.  Organization ActivityID=MACA_ERES_201802200001,,,,37.1790541100,-86.1086827600,CUPN_GRAB,11NPSWRD_WQX,Grab Sample,Simple non-integrated grab sample.,Miscellaneous (Other),STORET-971460298,,as NO3,Nitrate,Total,16.3,mg/L,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,4500-NO3 D,APHA,4500 NO3 D ~ Nitrogen (Nitrate) in Water by Nitrate Electrode Method,,https://www.nemi.gov/methods/method_summary/9808/,CUPN,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/11NPSWRD_WQX/activities/11NPSWRD_WQX-MACA_ERES_201802200001%5E06/results/971460298/resdetectqntlmts,Lower Quantitation Limit,0.1,mg/L,,2023-03-18T06:18:20,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-MACA_DFDF_201801260001^03,Field Msr/Obs,Water,,2018-01-26,11:17:00,CST,,,,,,,,,,,,MACA_WQ,"CUPN WQ Monitoring, MACA",,11NPSWRD_WQX-MACA_DFDF,Doyle's Ford Spring,Minnows present. Good demarcation line.  Organization ActivityID=MACA_DFDF_201801260001,,,,37.2223684300,-86.0914121000,NPS_INSITU,11NPSWRD_WQX,In Situ Measurement with Probe,Measurements/observations made on site with an unspecified probe.,Miscellaneous (Other),STORET-971460091,,,Dissolved oxygen saturation,,99.6,%,,Final,,Actual,,,,,,,,,,,,,,,,,,,,360.1,USEPA,Dissolved Oxygen Using an ISE,,https://www.nemi.gov/methods/method_summary/5252/,,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/11NPSWRD_WQX/activities/11NPSWRD_WQX-MACA_DFDF_201801260001%5E03/results/971460091/resdetectqntlmts,Upper Quantitation Limit,150,%,,2023-03-18T06:14:25,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-MACA_BSBS_201803200001^04,Sample-Routine,Water,,2018-03-20,10:59:00,CDT,,,,,,,,,,,,MACA_WQ,"CUPN WQ Monitoring, MACA",,11NPSWRD_WQX-MACA_BSBS,Big Spring,Beautiful blue water with a clear demarcation line. Approximately 4 feet of visibility in water.  Organization ActivityID=MACA_BSBS_201803200001,,,,37.2271681600,-86.0746576800,CUPN_GRAB,11NPSWRD_WQX,Grab Sample,Simple non-integrated grab sample.,Miscellaneous (Other),STORET-971459924,,,Turbidity,,2.32,NTU,,Final,,Actual,,,,,,,,,,,,,,,,,,,,180.1,USEPA,Turbidity by Nephelometry,,https://www.nemi.gov/methods/method_summary/5217/,WATERS Laboratory,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/11NPSWRD_WQX/activities/11NPSWRD_WQX-MACA_BSBS_201803200001%5E04/results/971459924/resdetectqntlmts,Lower Quantitation Limit,0.0318,NTU,,2023-03-18T06:11:21,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-MACA_THTH_201807170001^06,Sample-Routine,Water,,2018-07-17,12:53:00,CDT,,,,,,,,,,,,MACA_WQ,"CUPN WQ Monitoring, MACA",,11NPSWRD_WQX-MACA_THTH,Turnhole Spring,Leaf litter and bubbles on top of water. Turtles and minnows present.  Organization ActivityID=MACA_THTH_201807170001,,,,37.1657615800,-86.1577733000,CUPN_GRAB,11NPSWRD_WQX,Grab Sample,Simple non-integrated grab sample.,Miscellaneous (Other),STORET-971461751,,as NO3,Nitrate,Total,38.2,mg/L,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,4500-NO3 D,APHA,4500 NO3 D ~ Nitrogen (Nitrate) in Water by Nitrate Electrode Method,,https://www.nemi.gov/methods/method_summary/9808/,CUPN,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/11NPSWRD_WQX/activities/11NPSWRD_WQX-MACA_THTH_201807170001%5E06/results/971461751/resdetectqntlmts,Lower Quantitation Limit,0.1,mg/L,,2023-03-18T06:45:23,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-MACA_PSPS_201801260001^06,Sample-Routine,Water,,2018-01-26,10:32:00,CST,,,,,,,,,,,,MACA_WQ,"CUPN WQ Monitoring, MACA",,11NPSWRD_WQX-MACA_PSPS,Pike Spring,Minnows present. Water visibility 1.5 to 2 feet.  Organization ActivityID=MACA_PSPS_201801260001,,,,37.2143397400,-86.0552705100,CUPN_GRAB,11NPSWRD_WQX,Grab Sample,Simple non-integrated grab sample.,Miscellaneous (Other),STORET-971461476,,as NO3,Nitrate,Total,8.5,mg/L,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,4500-NO3 D,APHA,4500 NO3 D ~ Nitrogen (Nitrate) in Water by Nitrate Electrode Method,,https://www.nemi.gov/methods/method_summary/9808/,CUPN,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/11NPSWRD_WQX/activities/11NPSWRD_WQX-MACA_PSPS_201801260001%5E06/results/971461476/resdetectqntlmts,Lower Quantitation Limit,0.1,mg/L,,2023-03-18T06:40:12,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-MACA_PSPS_201803200001^03,Field Msr/Obs,Water,,2018-03-20,10:37:00,CDT,,,,,,,,,,,,MACA_WQ,"CUPN WQ Monitoring, MACA",,11NPSWRD_WQX-MACA_PSPS,Pike Spring,Beautiful blue water with a very distinct demarcation line. Cave is completely submerged.  Organization ActivityID=MACA_PSPS_201803200001,,,,37.2143397400,-86.0552705100,NPS_INSITU,11NPSWRD_WQX,In Situ Measurement with Probe,Measurements/observations made on site with an unspecified probe.,Miscellaneous (Other),STORET-971461494,,,Specific conductance,,178.6,uS/cm,,Final,,Actual,,,25 Deg C,,,,,,,,,,,,,,,,,9050A,USEPA,9050 A ~ Specific Conductance,,,,,,,,,,,2023-03-18T06:40:33,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-MACA_DFDF_201801260001^06,Sample-Routine,Water,,2018-01-26,11:17:00,CST,,,,,,,,,,,,MACA_WQ,"CUPN WQ Monitoring, MACA",,11NPSWRD_WQX-MACA_DFDF,Doyle's Ford Spring,Minnows present. Good demarcation line.  Organization ActivityID=MACA_DFDF_201801260001,,,,37.2223684300,-86.0914121000,CUPN_GRAB,11NPSWRD_WQX,Grab Sample,Simple non-integrated grab sample.,Miscellaneous (Other),STORET-971460094,,as NO3,Nitrate,Total,3.4,mg/L,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,4500-NO3 D,APHA,4500 NO3 D ~ Nitrogen (Nitrate) in Water by Nitrate Electrode Method,,https://www.nemi.gov/methods/method_summary/9808/,CUPN,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/11NPSWRD_WQX/activities/11NPSWRD_WQX-MACA_DFDF_201801260001%5E06/results/971460094/resdetectqntlmts,Lower Quantitation Limit,0.1,mg/L,,2023-03-18T06:14:31,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-MACA_PSPS_201801260001^02,Field Msr/Obs,Water,,2018-01-26,10:32:00,CST,,,,,,,,,,,,MACA_WQ,"CUPN WQ Monitoring, MACA",,11NPSWRD_WQX-MACA_PSPS,Pike Spring,Minnows present. Water visibility 1.5 to 2 feet.  Organization ActivityID=MACA_PSPS_201801260001,,,,37.2143397400,-86.0552705100,,,,,,STORET-971461467,,,"Flow, stream stage (choice list)",,NORMAL,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-18T06:40:05,STORET
