OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-KY,USGS Kentucky Water Science Center,USGS-03310900,"NOLIN LAKE NEAR KYROCK, KY","Lake, Reservoir, Impoundment",,05110001,,,,,37.27838250000000,-86.2474730000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,21,061,,,,,,,,,,NWIS
USGS-KY,USGS Kentucky Water Science Center,USGS-03311000,"NOLIN RIVER AT KYROCK, KY",Stream,,05110001,703.0,sq mi,480.0,sq mi,37.27421570000000,-86.2508064000000,,5,seconds,Interpolated from MAP.,NAD83,399.61,feet,.11,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,21,061,,,,,,,,,,NWIS
USGS-KY,USGS Kentucky Water Science Center,USGS-371852086141300,"NOLIN LAKE AT MOUNTARDIER RECREATION AREA, KY","Lake, Reservoir, Impoundment",,05110001,,,,,37.31444444000000,-86.2369444000000,24000,1,seconds,Reported.,NAD83,515,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,21,061,,,,,,,,,,NWIS
USGS-KY,USGS Kentucky Water Science Center,USGS-371927086131300,"NOLIN LAKE AT CANE CAMP BRANCH, KY","Lake, Reservoir, Impoundment",,05110001,,,,,37.32416667000000,-86.2202778000000,24000,1,seconds,Reported.,NAD83,515,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,21,061,,,,,,,,,,NWIS
USGS-KY,USGS Kentucky Water Science Center,USGS-371954086091000,"NOLIN LAKE NEAR DOG CREEK RECREATION AREA, KY","Lake, Reservoir, Impoundment",,05110001,,,,,37.33166667000000,-86.1527778000000,24000,1,seconds,Reported.,NAD83,515,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,21,099,,,,,,,,,,NWIS
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-MACA_BIGR,Green River at Bush Island,River/Stream,This site on the Green was established in July 2002 and is located directly upstream of the park's eastern boundary.  The Green River within the park is on the USEPA 303d list due to high fecal coliform bacteria.,05110001,,,,,37.2477935900,-86.0211251500,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,21,099,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-MACA_BSBC,Buffalo Creek Spring,Spring,"The Buffalo Spring karst groundwater basin (32.9 km2) is the only large perennial watershed that is virtually contained within park boundaries (27.6 km2). This basin and Mile 205.7 Spring serve as natural controls against which to compare more impacted sites.  Although the Buffalo Creek drainage basin has been devoid of gross human-derived impacts for nearly fifty years, and water quality trends at this site should reflect near pristine conditions, an increase in the amount of back-country use may impact water quality.",05110001,,,,,37.2027976100,-86.1939993000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,21,061,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-MACA_BSBS,Big Spring,Spring,"The Big Spring karst groundwater basin (15.2 km2), roughly bisected by the park boundary, is comprised of park, forest and light agricultural land-uses.  It has been the focus of topical water quality studies including flood pulse and sulfate monitoring.  Topical water quality data have reflected both park and private land-uses in time-resolved series.",05110001,,,,,37.2271681600,-86.0746576800,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,21,061,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-MACA_DFDF,Doyle's Ford Spring,Spring,The Doyle's Ford karst groundwater basin (12.7 km2) has more active silviculture than Ugly Creek.  The 11.2 km2 of private lands of this watershed undergo a constant cycle of timber harvesting.,05110001,,,,,37.2223684300,-86.0914121000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,21,061,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-MACA_ERES,Echo River Spring,Spring,"The Echo River karst groundwater basin, the type locality of the Kentucky Cave Shrimp, is almost entirely contained within park boundaries - 22.2 km2 of its 23.2 km2 are within the park.  However, it does receive a large portion of its recharge from the adjacent Turnhole Spring basin (primarily agricultural lands) during periods of high flow.  Research has allowed us to determine when, relative to stage condition, this overflow route is activated (Meiman and Ryan 1992).  Water quality from this station is excellent during periods of low flow, but water quality is severely degraded during and immediately following high flow when the overflow route is active.  There also exists a condition where if the stage of the Green is within 1.5-3 meters above base level, and the karst aquifer is in a stage of low discharge, a flow-reversal occurs.  River water enters (at rates of over one cubic meter per second) River Styx Spring, flows into Mammoth Cave, and out Echo River Spring (total distance underground of about two kilometers).  During these conditions, which occur for several weeks during the winter months), the recharge area of Echo River Spring is the entire Green River watershed upstream of River Styx Spring.  Water quality signatures are obvious in low flow, overflow, and flow reversal states.",05110001,,,,,37.1790541100,-86.1086827600,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,21,061,,,,,,,,,,STORET
