OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-MEVE_3P_01,Mesa Verde Site No. STH01,Spring,This station is at Mesa Verde Site No. STH01. This is a protected station. The given coordinates are for the Park Headquarters.,14080107,,,,,37.1845059800,-108.4882954300,,,,Interpolation-Digital Map Source,WGS84,,,,,,,US,08,083,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-MEVE_3P_05,Mesa Verde Site No. CPT05,Constructed Tunnel,This station is at Mesa Verde Site No. CPT05. This is a protected station. The given coordinates are for the Park Headquarters.,14080107,,,,,37.1845059800,-108.4882954300,,,,Interpolation-Digital Map Source,WGS84,,,,,,,US,08,083,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-MEVE_3P_1003,Mesa Verde Site No. SCT1003,Spring,This station is at Mesa Verde Site No. SCT1003. This is a protected station. The given coordinates are for the Park Headquarters.,14080107,,,,,37.1845059800,-108.4882954300,,,,Interpolation-Digital Map Source,WGS84,,,,,,,US,08,083,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-MEVE_3P_11,Mesa Verde Site No. FEW11,Spring,This station is at Mesa Verde Site No. FEW11. This is a protected station. The given coordinates are for the Park Headquarters.,14080107,,,,,37.1845059800,-108.4882954300,,,,Interpolation-Digital Map Source,WGS84,,,,,,,US,08,083,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-MEVE_3P_MAN01,"Mancos River at Anitas Flat Below Mancos, CO",River/Stream,"This station is at Mancos River at Anitas Flat below Mancos, CO. This site is approximately 5.7 kilometers downstream from the confluence of Mud Creek with Mancos River. This station has additional IDs and station names: USGS NWIS Site No. 09370600, Mancos River at Anitas Flat Below Mancos, CO; and NPS Station ID MEVE_MAN01, Mancos River at Gage.",14080107,,,,,37.2525562000,-108.3573505000,,,,GPS-Unspecified,NAD83,1933,m,,,Topographic Map Interpolation,NAVD88,US,08,083,,,,,,,,,,STORET
21COL001_WQX,Colorado Dept. of Public Health & Environment-WQCD,21COL001_WQX-9706,MANCOS RIVER AT UTE BORDER,River/Stream,,14080107,,,,,37.2550000000,-108.3570000000,,,,GPS-Unspecified,UNKWN,,,,,,,US,08,083,,,,,,,,,,STORET
21COL001_WQX,Colorado Dept. of Public Health & Environment-WQCD,21COL001_WQX-9708,MANCOS RIVER ABOVE MUD CREEK,River/Stream,,14080107,,,,,37.2950000000,-108.3650000000,,,,GPS-Unspecified,UNKWN,,,,,,,US,08,083,,,,,,,,,,STORET
21COL001_WQX,Colorado Dept. of Public Health & Environment-WQCD,21COL001_WQX-9711,MUD CREEK ABOVE MANCOS CREEK,River/Stream,,14080107,,,,,37.2950000000,-108.3660000000,,,,GPS-Unspecified,UNKWN,,,,,,,US,08,083,,,,,,,,,,STORET
21COL001_WQX,Colorado Dept. of Public Health & Environment-WQCD,21COL001_WQX-9713,CHICKEN CREEK ABOVE MANCOS CREEK,River/Stream,,14080107,,,,,37.3321100000,-108.3257890000,,,,GPS-Unspecified,UNKWN,,,,,,,US,08,083,,,,,,,,,,STORET
21COL001_WQX,Colorado Dept. of Public Health & Environment-WQCD,21COL001_WQX-9717,MANCOS RIVER ABV 37.5 RD,River/Stream,,14080107,,,,,37.3041490000,-108.3578380000,0,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,08,083,,,,,,,,,,STORET
21COL001_WQX,Colorado Dept. of Public Health & Environment-WQCD,21COL001_WQX-9718,MANCOS R. @ WEBER RD.,River/Stream,SW of Mancos just South of intersection of Weber and G Rds at upstream side of Bridge.,14080107,,,,,37.3153330000,-108.3391670000,0,,,Interpolation-Digital Map Source,UNKWN,,,,,,,US,08,083,,,,,,,,,,STORET
21COL001_WQX,Colorado Dept. of Public Health & Environment-WQCD,21COL001_WQX-9738,MANCOS RIVER ABOVE CHICKEN CREEK,River/Stream,,14080107,,,,,37.3331480000,-108.3242360000,,,,Interpolation-Digital Map Source,UNKWN,,,,,,,US,08,083,,,,,,,,,,STORET
