OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,ActivityLocation/SourceMapScaleNumeric,ActivityLocation/HorizontalAccuracyMeasure/MeasureValue,ActivityLocation/HorizontalAccuracyMeasure/MeasureUnitCode,ActivityLocation/HorizontalCollectionMethodName,ActivityLocation/HorizontalCoordinateReferenceSystemDatumName,AssemblageSampledName,CollectionDuration/MeasureValue,CollectionDuration/MeasureUnitCode,SamplingComponentName,SamplingComponentPlaceInSeriesNumeric,ReachLengthMeasure/MeasureValue,ReachLengthMeasure/MeasureUnitCode,ReachWidthMeasure/MeasureValue,ReachWidthMeasure/MeasureUnitCode,PassCount,NetTypeName,NetSurfaceAreaMeasure/MeasureValue,NetSurfaceAreaMeasure/MeasureUnitCode,NetMeshSizeMeasure/MeasureValue,NetMeshSizeMeasure/MeasureUnitCode,BoatSpeedMeasure/MeasureValue,BoatSpeedMeasure/MeasureUnitCode,CurrentSpeedMeasure/MeasureValue,CurrentSpeedMeasure/MeasureUnitCode,ToxicityTestType,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodQualifierTypeName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,SampleCollectionMethod/SampleCollectionEquipmentCommentText,SamplePreparationMethod/MethodIdentifier,SamplePreparationMethod/MethodIdentifierContext,SamplePreparationMethod/MethodName,SamplePreparationMethod/MethodQualifierTypeName,SamplePreparationMethod/MethodDescriptionText,SampleContainerTypeName,SampleContainerColorName,ChemicalPreservativeUsedName,ThermalPreservativeUsedName,SampleTransportStorageDescription,DataLoggerLine,ResultDetectionConditionText,MethodSpecificationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,DataQuality/BiasValue,ConfidenceIntervalValue,UpperConfidenceLimitValue,LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultSamplingPointName,BiologicalIntentName,BiologicalIndividualIdentifier,SubjectTaxonomicName,UnidentifiedSpeciesIdentifier,SampleTissueAnatomyName,GroupSummaryCountWeight/MeasureValue,GroupSummaryCountWeight/MeasureUnitCode,CellFormName,CellShapeName,HabitName,VoltismName,TaxonomicPollutionTolerance,TaxonomicPollutionToleranceScaleText,TrophicLevelName,FunctionalFeedingGroupName,TaxonomicDetailsCitation/ResourceTitleName,TaxonomicDetailsCitation/ResourceCreatorName,TaxonomicDetailsCitation/ResourceSubjectText,TaxonomicDetailsCitation/ResourcePublisherName,TaxonomicDetailsCitation/ResourceDate,TaxonomicDetailsCitation/ResourceIdentifier,FrequencyClassDescriptorCode,FrequencyClassDescriptorUnitCode,LowerClassBoundValue,UpperClassBoundValue,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,AnalysisStartTime/Time,AnalysisStartTime/TimeZoneCode,AnalysisEndDate,AnalysisEndTime/Time,AnalysisEndTime/TimeZoneCode,ResultLaboratoryCommentCode,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LaboratoryAccreditationIndicator,LaboratoryAccreditationAuthorityName,TaxonomistAccreditationIndicator,TaxonomistAccreditationAuthorityName,LabSamplePreparationMethod/MethodIdentifier,LabSamplePreparationMethod/MethodIdentifierContext,LabSamplePreparationMethod/MethodName,LabSamplePreparationMethod/MethodQualifierTypeName,LabSamplePreparationMethod/MethodDescriptionText,PreparationStartDate,PreparationStartTime/Time,PreparationStartTime/TimeZoneCode,PreparationEndDate,PreparationEndTime/Time,PreparationEndTime/TimeZoneCode,SubstitutionDilutionFactorNumeric,ProviderName
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01402494,Sample-Routine,Water,Surface Water,2014-08-16,20:00:00,PDT,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-465104121452801,,,Not applicable,Under ice cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,USGS,USGS,,,Unknown,,,,,,,,,,,,,,,pH,Total,6.3,std units,,Accepted,,Estimated,,,,,,,,,,High variability: questionable precision and (or) accuracy exists for pH (LC68) When Specific Conductance (LC69)  is less than 100 uS/cm,00403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL006,USGS,"pH, lab, auto glass electrode",,"USGS TWRI 5-A1/1989, p 363","USGS-National Water Quality Lab, Denver, CO",2014-08-25,,,,,,,"high variability, questionable precision and accuracysee result laboratory comment",Lower Reporting Limit,0.1,std units,,,,,,,,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01402494,Sample-Routine,Water,Surface Water,2014-08-16,20:00:00,PDT,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-465104121452801,,,Not applicable,Under ice cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,USGS,USGS,,,Unknown,,,,,,,,,,,,,Not Detected,,Organic Nitrogen,Total,,,,Accepted,,Actual,,,,,,,,,,,00605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,Historical Lower Reporting Limit,0.07,mg/l,,,,,,,,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01402494,Sample-Routine,Water,Surface Water,2014-08-16,20:00:00,PDT,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-465104121452801,,,Not applicable,Under ice cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,USGS,USGS,,,Unknown,,,,,,,,,,,,,Not Detected,,Organic Nitrogen,Dissolved,,,,Accepted,,Actual,,,,,,,,,,,00607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,Historical Lower Reporting Limit,0.04,mg/l,,,,,,,,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01402494,Sample-Routine,Water,Surface Water,2014-08-16,20:00:00,PDT,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-465104121452801,,,Not applicable,Under ice cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,USGS,USGS,,,Unknown,,,,,,,,,,,,,Not Detected,,Ammonia and ammonium,Dissolved,,,,Accepted,,Actual,,,,,,,,,,Method Code reloaded per NWQL Rapi-Note 15-002,00608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHC02,USGS,"Ammonia, wf, DA sal/hypo (NWQL)",,"Analyst, 1980, v 105, p 305-316","USGS-National Water Quality Lab, Denver, CO",2014-08-26,,,,,,,see result laboratory comment,Long Term Method Detection Level,0.010,mg/l as N,,,,,,,,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01402494,Sample-Routine,Water,Surface Water,2014-08-16,20:00:00,PDT,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-465104121452801,,,Not applicable,Under ice cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,USGS,USGS,,,Unknown,,,,,,,,,,,,,Not Detected,,Nitrite,Dissolved,,,,Accepted,,Actual,,,,,,,,,,"Method Code reloaded per NWQL Rapi-Note 15-002 Report level code updated Oct., Nov. 2015. Reference: OWQ TM 2010.07 (RLC: IRL => LT-MDL)",00613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DZ001,USGS,"Nitrite, wf, DA, diazo",,"USGS OF 93-125, p 217","USGS-National Water Quality Lab, Denver, CO",2014-08-26,,,,,,,see result laboratory comment,Long Term Method Detection Level,0.0010,mg/l as N,,,,,,,,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01402494,Sample-Routine,Water,Surface Water,2014-08-16,20:00:00,PDT,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-465104121452801,,,Not applicable,Under ice cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,USGS,USGS,,,Unknown,,,,,,,,,,,,,,,Nitrate,Dissolved,0.010,mg/l as N,,Accepted,,Actual,,,,,,,,,,,00618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01402494,Sample-Routine,Water,Surface Water,2014-08-16,20:00:00,PDT,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-465104121452801,,,Not applicable,Under ice cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,USGS,USGS,,,Unknown,,,,,,,,,,,,,,,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.01,mg/l as N,,Accepted,,Actual,,,,,,,,,,"Report level code updated Oct., Nov. 2015. Reference: NWQL Rapi-Note 2011-21 (RLC: IRL => LT-MDL)",00631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RED02,USGS,"NO3+NO2, wf, FCC,NaR, DA, LL",,USGS TMR 5-B8,"USGS-National Water Quality Lab, Denver, CO",2014-09-03,,,,,,,below the reporting level but at or above the detection level,Long Term Method Detection Level,0.01,mg/l as N,,,,,,,,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01402494,Sample-Routine,Water,Surface Water,2014-08-16,20:00:00,PDT,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-465104121452801,,,Not applicable,Under ice cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,USGS,USGS,,,Unknown,,,,,,,,,,,,,Not Detected,,Orthophosphate,Dissolved,,,,Accepted,,Actual,,,,,,,,,,,00660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,Historical Lower Reporting Limit,0.012,mg/l asPO4,,,,,,,,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01402494,Sample-Routine,Water,Surface Water,2014-08-16,20:00:00,PDT,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-465104121452801,,,Not applicable,Under ice cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,USGS,USGS,,,Unknown,,,,,,,,,,,,,,,Phosphorus,Total,0.009,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL021,USGS,"P, wu, WCA, persulfate CF color",,,"USGS-National Water Quality Lab, Denver, CO",2014-09-04,,,,,,,,Long Term Method Detection Level,0.004,mg/l as P,,,,,,,,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01402494,Sample-Routine,Water,Surface Water,2014-08-16,20:00:00,PDT,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-465104121452801,,,Not applicable,Under ice cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,USGS,USGS,,,Unknown,,,,,,,,,,,,,Not Detected,,Phosphorus,Dissolved,,,,Accepted,,Actual,,,,,,,,,,,00666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL020,USGS,"P, wf, FCC, persulfate CF color",,,"USGS-National Water Quality Lab, Denver, CO",2014-09-11,,,,,,,,Long Term Method Detection Level,0.0030,mg/l as P,,,,,,,,,,,,,,,,,NWIS
