OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-NJ,USGS New Jersey Water Science Center,USGS-01392520,Second River at Main Street at Belleville NJ,Stream,,02030103,,,,,40.78000000000000,-74.1511111000000,24000,1,seconds,Interpolated from MAP.,NAD83,10,feet,5,feet,Interpolated from topographic map.,NGVD29,US,34,013,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-01392610,Passaic River near Kearny NJ,Estuary,,02030103,,,,,40.74027778000000,-74.1408333000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,34,017,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-01392630,Passaic River near Kearny Point NJ,Estuary,,02030103,,,,,40.73590000000000,-74.1173583000000,24000,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,34,013,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-01393440,Elizabeth River ab Ursino Lake at Elizabeth NJ,Stream,,02030104,16.8,sq mi,,,40.67694444000000,-74.2263888900000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,34,039,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-403840074073001,Kill van Kull at Bergen Point NJ,Estuary,,02030104,,,,,40.64444444000000,-74.1250000000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,34,017,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-403938074081301,Newark Bay at Bayone NJ,Estuary,,02030104,,,,,40.66055556000000,-74.1369444000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,34,017,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-404055074132901,390506-- MW139,Well,,02030104,,,,,40.68194444000000,-74.2247222000000,24000,1,seconds,Interpolated from MAP.,NAD83,45,feet,5,feet,Interpolated from topographic map.,NGVD29,US,34,039,Early Mesozoic basin aquifers,,Passaic Formation,Unconfined single aquifer,20030904,25,ft,25,ft,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-404058074133501,390552-- MW139R,Well,,02030104,,,,,40.68269167000000,-74.2265000000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,31,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,34,039,Early Mesozoic basin aquifers,,Passaic Formation,,20151130,30,ft,30,ft,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-404218074070201,Newark Bay near Oak Island Yards NJ,Estuary,,02030104,,,,,40.70500000000000,-74.1172222000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,34,013,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-404332074104201,130184-- MW140,Well,,02030104,,,,,40.72563889000000,-74.1784444000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,20,feet,5,feet,Interpolated from topographic map.,NGVD29,US,34,013,Early Mesozoic basin aquifers,,Passaic Formation,Unconfined single aquifer,2003,36.5,ft,36.5,ft,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-404339074045401,170015-- MW143,Well,,02030103,,,,,40.72760187000000,-74.0812529000000,24000,1,seconds,Interpolated from MAP.,NAD83,25,feet,5,feet,Interpolated from topographic map.,NGVD29,US,34,017,Sand and gravel aquifers (glaciated regions),,Stratified Drift,Unconfined single aquifer,20040114,21.6,ft,22,ft,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-404339074045501,170025-- MW 143R,Well,,02030103,,,,,40.72753056000000,-74.0818277800000,24000,1,seconds,Interpolated from MAP.,NAD83,20,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,34,017,Sand and gravel aquifers (glaciated regions),,Stratified Drift,,20160801,33.5,ft,33.5,ft,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-404636074024701,170016-- MW147,Well,,02030103,,,,,40.77666667000000,-74.0463888900000,24000,1,seconds,Interpolated from MAP.,NAD83,19,feet,5,feet,Interpolated from topographic map.,NGVD29,US,34,017,Sand and gravel aquifers (glaciated regions),,Stratified Drift,Unconfined single aquifer,20040331,24,ft,24,ft,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-404645074024501,170026-- MW147R,Well,,02030103,,,,,40.77916667000000,-74.0458638900000,24000,1,seconds,Interpolated from MAP.,NAD83,20,feet,5,feet,Interpolated from topographic map.,NAVD88,US,34,017,Sand and gravel aquifers (glaciated regions),,Stratified Drift,,20160720,35,ft,35,ft,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01376515,HUDSON RIVER AT PIER 84 AT NEW YORK NY,Stream,,02030101,,,,,40.76463889000000,-74.0031944000000,24000,.1,seconds,Reported.,NAD83,0,feet,10,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,061,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01376520,HUDSON RIVER AT PIER 25 AT NEW YORK NY,Stream,,02030101,,,,,40.72152778000000,-74.0156111000000,24000,.1,seconds,Reported.,NAD83,0,feet,10,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,061,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01376531,"OHRBACK LAKE AT RICHMOND, STATEN ISLAND NY","Lake, Reservoir, Impoundment",,02030104,,,,,40.58933330000000,-74.1246111000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,36,085,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01376534,RICHMOND CREEK AT LIGHTHOUSE AVE AT RICHMOND NY,Stream,,02030104,1.62,sq mi,,,40.57372220000000,-74.1413056000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,36,085,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01376547,"CLOVE LAKE AT SUNNYSIDE, STATEN ISLAND NY","Lake, Reservoir, Impoundment",,02030104,,,,,40.61830556000000,-74.1080556000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,36,085,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-403325074091801,R   140. 1,Well,,02030104,,,,,40.55708330000000,-74.1549444000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,44,feet,1,feet,Level or other surveyed method.,NGVD29,US,36,085,Northern Atlantic Coastal Plain aquifer system,,Raritan Formation,,,201.0,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-403326074091801,R   141. 1,Well,,02030104,,,,,40.55716667000000,-74.1549722000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,44,feet,1,feet,Level or other surveyed method.,NGVD29,US,36,085,Northern Atlantic Coastal Plain aquifer system,,Raritan Formation,,,66.0,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-403337074093401,R   139. 1,Well,,02030104,,,,,40.56038889000000,-74.1593056000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,28.5,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,36,085,Northern Atlantic Coastal Plain aquifer system,,Raritan Formation,,,122.8,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-403337074093501,R   138. 1,Well,,02030104,,,,,40.56033330000000,-74.1596667000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,24,feet,1,feet,Level or other surveyed method.,NGVD29,US,36,085,Northern Atlantic Coastal Plain aquifer system,,Harbor Hill Terminal Moraine,,,60.5,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-403402074090701,R   142. 1,Well,,02030104,,,,,40.56733330000000,-74.1520277800000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,13.5,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,36,085,Northern Atlantic Coastal Plain aquifer system,,Harbor Hill Terminal Moraine,,,15.0,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-403410074084101,R   126. 1,Well,,02030104,,,,,40.56955556000000,-74.1447777800000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,45,feet,5,feet,Interpolated from topographic map.,NGVD29,US,36,085,Northern Atlantic Coastal Plain aquifer system,,Harbor Hill Ground Moraine,,20040721,65,ft,80,ft,NWIS
USGS-NY,USGS New York Water Science Center,USGS-403426073583201,K  2510. 1,Well,,02030202,,,,,40.57399420000000,-73.9751385000000,24000,1,seconds,Interpolated from MAP.,NAD83,73.0,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,36,047,Northern Atlantic Coastal Plain aquifer system,,Jameco Aquifer,,,206,ft,207,ft,NWIS
USGS-NY,USGS New York Water Science Center,USGS-403427073583301,K  2511. 1,Well,,02030202,,,,,40.57427198000000,-73.9754163000000,24000,1,seconds,Interpolated from MAP.,NAD83,59.0,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,36,047,Northern Atlantic Coastal Plain aquifer system,,Jameco Aquifer,,,192.5,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-403436074055501,R   122. 1,Well,,02030104,,,,,40.57672220000000,-74.0984722000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,14,feet,1,feet,Reported method of determination.,NGVD29,US,36,085,Northern Atlantic Coastal Plain aquifer system,,Harbor Hill Ground Moraine,,20040720,45,ft,45,ft,NWIS
