OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,ActivityLocation/SourceMapScaleNumeric,ActivityLocation/HorizontalAccuracyMeasure/MeasureValue,ActivityLocation/HorizontalAccuracyMeasure/MeasureUnitCode,ActivityLocation/HorizontalCollectionMethodName,ActivityLocation/HorizontalCoordinateReferenceSystemDatumName,AssemblageSampledName,CollectionDuration/MeasureValue,CollectionDuration/MeasureUnitCode,SamplingComponentName,SamplingComponentPlaceInSeriesNumeric,ReachLengthMeasure/MeasureValue,ReachLengthMeasure/MeasureUnitCode,ReachWidthMeasure/MeasureValue,ReachWidthMeasure/MeasureUnitCode,PassCount,NetTypeName,NetSurfaceAreaMeasure/MeasureValue,NetSurfaceAreaMeasure/MeasureUnitCode,NetMeshSizeMeasure/MeasureValue,NetMeshSizeMeasure/MeasureUnitCode,BoatSpeedMeasure/MeasureValue,BoatSpeedMeasure/MeasureUnitCode,CurrentSpeedMeasure/MeasureValue,CurrentSpeedMeasure/MeasureUnitCode,ToxicityTestType,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodQualifierTypeName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,SampleCollectionMethod/SampleCollectionEquipmentCommentText,SamplePreparationMethod/MethodIdentifier,SamplePreparationMethod/MethodIdentifierContext,SamplePreparationMethod/MethodName,SamplePreparationMethod/MethodQualifierTypeName,SamplePreparationMethod/MethodDescriptionText,SampleContainerTypeName,SampleContainerColorName,ChemicalPreservativeUsedName,ThermalPreservativeUsedName,SampleTransportStorageDescription,DataLoggerLine,ResultDetectionConditionText,MethodSpecificationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,DataQuality/BiasValue,ConfidenceIntervalValue,UpperConfidenceLimitValue,LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultSamplingPointName,BiologicalIntentName,BiologicalIndividualIdentifier,SubjectTaxonomicName,UnidentifiedSpeciesIdentifier,SampleTissueAnatomyName,GroupSummaryCountWeight/MeasureValue,GroupSummaryCountWeight/MeasureUnitCode,CellFormName,CellShapeName,HabitName,VoltismName,TaxonomicPollutionTolerance,TaxonomicPollutionToleranceScaleText,TrophicLevelName,FunctionalFeedingGroupName,TaxonomicDetailsCitation/ResourceTitleName,TaxonomicDetailsCitation/ResourceCreatorName,TaxonomicDetailsCitation/ResourceSubjectText,TaxonomicDetailsCitation/ResourcePublisherName,TaxonomicDetailsCitation/ResourceDate,TaxonomicDetailsCitation/ResourceIdentifier,FrequencyClassDescriptorCode,FrequencyClassDescriptorUnitCode,LowerClassBoundValue,UpperClassBoundValue,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,AnalysisStartTime/Time,AnalysisStartTime/TimeZoneCode,AnalysisEndDate,AnalysisEndTime/Time,AnalysisEndTime/TimeZoneCode,ResultLaboratoryCommentCode,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LaboratoryAccreditationIndicator,LaboratoryAccreditationAuthorityName,TaxonomistAccreditationIndicator,TaxonomistAccreditationAuthorityName,LabSamplePreparationMethod/MethodIdentifier,LabSamplePreparationMethod/MethodIdentifierContext,LabSamplePreparationMethod/MethodName,LabSamplePreparationMethod/MethodQualifierTypeName,LabSamplePreparationMethod/MethodDescriptionText,PreparationStartDate,PreparationStartTime/Time,PreparationStartTime/TimeZoneCode,PreparationEndDate,PreparationEndTime/Time,PreparationEndTime/TimeZoneCode,SubstitutionDilutionFactorNumeric,ProviderName
WVDEP_WQX,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,WVDEP_WQX-78426-LABWQ-METALS,Sample-Routine,Water,Surface Water,2014-10-02,14:50:00,EDT,,,,Surface,0.1,ft,Water Surface,,,,,248,,WVDEP_WQX-2597,Site Verified?: Yes.  Target?: Yes.  Sampled?: Yes.  Verification/Target Notes: New site established this visit. Just upstream and across river from random site sampled in 1999.,,"Stable, normal stage",,37.8540277800,-81.0746944400,,15,ft,GPS-Unspecified,NAD83,,,,X-Site,,100,m,,,,,,,,,,,,,,WQLabDirectGrabDiscrete1,WVDEP_WQX,WQ Lab Sample-Direct Grab-Discrete (Single),WVDEP_WQX,"Lab Grab Sample obtained from surface water (just below the surface) using sampling bottles directly to collect a single, discrete sample set.  WV DEP Watershed Assessment Branch Field Sampling SOP (https://dep.wv.gov/WWE/watershed/Pages/WBSOPs.aspx)",Water Bottle,Water Bottles,WVDEP-Nitric Acid,WVDEP_WQX,HNO3 to pH<2,,Sample Preparation For Unfiltered Characteristics Preserved With Nitric Acid,Cubitainer,Clear,HNO3 to pH<2,None,,,,None,Magnesium,Total,8.1,mg/L,,Accepted,,Actual,,,,,,,,,,,,0.1,ft,Water Surface,X-Site,,,,,,,,,,,,,,,,,,,,,,,,,,200.7,USEPA,Metals in Water by ICP-AES,,https://www.nemi.gov/methods/method_summary/4690/,"Bio-Chem Testing, Inc.",2014-10-14,0001-01-01 08:16:00,EDT,2014-10-14 00:00:00,0001-01-01 08:16:00,EDT,,,Method Detection Level,0.2,mg/L,Y,WVDEP Lab Certificat,,,,,,,,,,,,,,,STORET
WVDEP_WIB_WQX,West Virginia Department of Environmental Protection Watershed Improvement Branch,WVDEP_WIB_WQX-LAURCR002_141107_FldMsr,Field Msr/Obs,Water,,2014-11-07,,,,,,,,,,,,,,WVRC_TU_VolMon,,WVDEP_WIB_WQX-LAURCR002,,,,,37.8524360000,-81.0414070000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Velocity - stream,,3,ft/sec,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
WVDEP_WIB_WQX,West Virginia Department of Environmental Protection Watershed Improvement Branch,WVDEP_WIB_WQX-BUFFCR001_140330_FldMsr,Field Msr/Obs,Water,,2014-03-30,,,,,,,,,,,,,,WVRC_TU_VolMon,,WVDEP_WIB_WQX-BUFFCR001,,,,,37.9146370000,-81.0199720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Temperature, water",,40.2,deg F,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
WVDEP_WQX,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,WVDEP_WQX-78437-LABWQ-ANIONS,Sample-Routine,Water,Surface Water,2014-07-10,11:45:00,EDT,,,,Surface,0.1,ft,Water Surface,,,,,248,,WVDEP_WQX-2177,Site Verified?: Yes.  Target?: Yes.  Sampled?: Yes.,,"Stable, normal stage",,37.8989444400,-81.0308888900,,16,ft,GPS-Unspecified,NAD83,,,,X-Site,,100,m,,,,,,,,,,,,,,WQLabDirectGrabDiscrete1,WVDEP_WQX,WQ Lab Sample-Direct Grab-Discrete (Single),WVDEP_WQX,"Lab Grab Sample obtained from surface water (just below the surface) using sampling bottles directly to collect a single, discrete sample set.  WV DEP Watershed Assessment Branch Field Sampling SOP (https://dep.wv.gov/WWE/watershed/Pages/WBSOPs.aspx)",Water Bottle,Water Bottles,WVDEP-Unpreserved/Iced,WVDEP_WQX,"Unpreserved, Wet Ice Immediately",,Sample Preparation For Characteristics Unpreserved and Wet Iced Immediately,Cubitainer,Clear,None,Wet Ice (4 deg C),Kept on Wet Ice from Sample Collection to Delivery to Lab,,Not Detected,None,Bromide,None,<0.025,mg/L,K,Accepted,,Actual,,,,,,,,,,,,0.1,ft,Water Surface,X-Site,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,USEPA Rev 2.1,300.0 ~ EPA; Inorganic Anions by Ion Chromatography,,https://www.nemi.gov/methods/method_summary/4680/,"Bio-Chem Testing, Inc.",2014-07-14,0001-01-01 07:52:00,EDT,2014-07-14 00:00:00,0001-01-01 07:52:00,EDT,,,Method Detection Level,0.025,mg/L,Y,WVDEP Lab Certificat,,,,,,,,,,,,,,,STORET
WVDEP_WQX,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,WVDEP_WQX-78437-LABWQ-METALS,Sample-Routine,Water,Surface Water,2014-07-10,11:45:00,EDT,,,,Surface,0.1,ft,Water Surface,,,,,248,,WVDEP_WQX-2177,Site Verified?: Yes.  Target?: Yes.  Sampled?: Yes.,,"Stable, normal stage",,37.8989444400,-81.0308888900,,16,ft,GPS-Unspecified,NAD83,,,,X-Site,,100,m,,,,,,,,,,,,,,WQLabDirectGrabDiscrete1,WVDEP_WQX,WQ Lab Sample-Direct Grab-Discrete (Single),WVDEP_WQX,"Lab Grab Sample obtained from surface water (just below the surface) using sampling bottles directly to collect a single, discrete sample set.  WV DEP Watershed Assessment Branch Field Sampling SOP (https://dep.wv.gov/WWE/watershed/Pages/WBSOPs.aspx)",Water Bottle,Water Bottles,WVDEP-Nitric Acid,WVDEP_WQX,HNO3 to pH<2,,Sample Preparation For Unfiltered Characteristics Preserved With Nitric Acid,Cubitainer,Clear,HNO3 to pH<2,None,,,,None,Total hardness,None,32.05,mg/L,T,Accepted,,Calculated,,,,,,,,,,C=Calculated from Total Ca + Total Mg,,0.1,ft,Water Surface,X-Site,,,,,,,,,,,,,,,,,,,,,,,,,,2340B,APHA,2340 B ~ Hardness by Calculation,,https://www.nemi.gov/methods/method_summary/4679/,Calculated by WVDEP-WAB,,,,,,,,,Method Detection Level,1.32,mg/L,N,,,,,,,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-ERMN_NERI_BMI_3044_20140322_WAT,Field Msr/Obs,Water,,2014-03-22,,,,,,,,,,,,,,ERMN_BMI,ERMN,11NPSWRD_WQX-ERMN_NERI_BMI_3044,,,,,37.8512000000,-81.0392000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Temperature, water",,8.65,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ERMN_EUREKAMANTA,11NPSWRD_WQX,Eastern Rivers and Mountains Network Eureka Manta+ Multiprobe Sonde,,,,2014-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
WVDEP_WQX,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,WVDEP_WQX-78437-LABWQ-METALS,Sample-Routine,Water,Surface Water,2014-07-10,11:45:00,EDT,,,,Surface,0.1,ft,Water Surface,,,,,248,,WVDEP_WQX-2177,Site Verified?: Yes.  Target?: Yes.  Sampled?: Yes.,,"Stable, normal stage",,37.8989444400,-81.0308888900,,16,ft,GPS-Unspecified,NAD83,,,,X-Site,,100,m,,,,,,,,,,,,,,WQLabDirectGrabDiscrete1,WVDEP_WQX,WQ Lab Sample-Direct Grab-Discrete (Single),WVDEP_WQX,"Lab Grab Sample obtained from surface water (just below the surface) using sampling bottles directly to collect a single, discrete sample set.  WV DEP Watershed Assessment Branch Field Sampling SOP (https://dep.wv.gov/WWE/watershed/Pages/WBSOPs.aspx)",Water Bottle,Water Bottles,WVDEP-Nitric Acid,WVDEP_WQX,HNO3 to pH<2,,Sample Preparation For Unfiltered Characteristics Preserved With Nitric Acid,Cubitainer,Clear,HNO3 to pH<2,None,,,,None,Barium,Total,0.036,mg/L,,Accepted,,Actual,,,,,,,,,,,,0.1,ft,Water Surface,X-Site,,,,,,,,,,,,,,,,,,,,,,,,,,200.7,USEPA,Metals in Water by ICP-AES,,https://www.nemi.gov/methods/method_summary/4690/,"Bio-Chem Testing, Inc.",2014-07-17,0001-01-01 14:19:00,EDT,2014-07-17 00:00:00,0001-01-01 14:19:00,EDT,,,Method Detection Level,0.002,mg/L,Y,WVDEP Lab Certificat,,,,,,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-ERMN_NERI_BMI_3037_20140323_WAT,Field Msr/Obs,Water,,2014-03-23,,,,,,,,,,,,,,ERMN_BMI,ERMN,11NPSWRD_WQX-ERMN_NERI_BMI_3037,,,,,37.8580000000,-81.0049000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Specific conductance,,70.8,uS/cm,,Final,,Actual,,,25 Deg C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ERMN_EUREKAMANTA,11NPSWRD_WQX,Eastern Rivers and Mountains Network Eureka Manta+ Multiprobe Sonde,,,,2014-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
WVDEP_WIB_WQX,West Virginia Department of Environmental Protection Watershed Improvement Branch,WVDEP_WIB_WQX-BUFFCR001_140109_FldMsr,Field Msr/Obs,Water,,2014-01-09,,,,,,,,,,,,,,WVRC_TU_VolMon,,WVDEP_WIB_WQX-BUFFCR001,,,,,37.9146370000,-81.0199720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Specific conductance,,74.7,uS/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-ERMN_NERI_BMI_3041_20140323_WAT,Field Msr/Obs,Water,,2014-03-23,,,,,,,,,,,,,,ERMN_BMI,ERMN,11NPSWRD_WQX-ERMN_NERI_BMI_3041,,,,,37.8583000000,-81.0198000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pH,,7.36,None,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ERMN_EUREKAMANTA,11NPSWRD_WQX,Eastern Rivers and Mountains Network Eureka Manta+ Multiprobe Sonde,,,,2014-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
