OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
WVDEP_WQX,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,WVDEP_WQX-78426-LABWQ-METALS,Sample-Routine,Water,Surface Water,2014-10-02,14:50:00,EDT,,,,Surface,0.1,ft,Water Surface,,,,,248,WAP 2014,,WVDEP_WQX-2597,New River (Lower) At MP 39.7,Site Verified?: Yes.  Target?: Yes.  Sampled?: Yes.  Verification/Target Notes: New site established this visit. Just upstream and across river from random site sampled in 1999.,,"Stable, normal stage",,37.8540277800,-81.0746944400,WQLabDirectGrabDiscrete1,WVDEP_WQX,WQ Lab Sample-Direct Grab-Discrete (Single),"Lab Grab Sample obtained from surface water (just below the surface) using sampling bottles directly to collect a single, discrete sample set.  WV DEP Watershed Assessment Branch Field Sampling SOP (https://dep.wv.gov/WWE/watershed/Pages/WBSOPs.aspx)",Water Bottle,STORET-983581867,,None,Magnesium,Total,8.1,mg/L,,Accepted,,Actual,,,,,,,,,,,,0.1,ft,Water Surface,,,,,,200.7,USEPA,Metals in Water by ICP-AES,,https://www.nemi.gov/methods/method_summary/4690/,"Bio-Chem Testing, Inc.",2014-10-14,,https://www.waterqualitydata.us/data/providers/STORET/organizations/WVDEP_WQX/activities/WVDEP_WQX-78426-LABWQ-METALS/results/983581867/resdetectqntlmts,Method Detection Level,0.2,mg/L,,2023-07-25T11:53:59,STORET
WVDEP_WIB_WQX,West Virginia Department of Environmental Protection Watershed Improvement Branch,WVDEP_WIB_WQX-LAURCR002_141107_FldMsr,Field Msr/Obs,Water,,2014-11-07,,,,,,,,,,,,,,WVRC_TU_VolMon,West Virginia Rivers Coalition Trout Unlimited Volunteer Monitoring,,WVDEP_WIB_WQX-LAURCR002,Laurel Creek Fayette Quinnimont Site 2,,,,,37.8524360000,-81.0414070000,,,,,,STORET-844209285,,,Velocity - stream,,3,ft/sec,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-04-28T14:52:11,STORET
WVDEP_WIB_WQX,West Virginia Department of Environmental Protection Watershed Improvement Branch,WVDEP_WIB_WQX-BUFFCR001_140330_FldMsr,Field Msr/Obs,Water,,2014-03-30,,,,,,,,,,,,,,WVRC_TU_VolMon,West Virginia Rivers Coalition Trout Unlimited Volunteer Monitoring,,WVDEP_WIB_WQX-BUFFCR001,Buffalo Creek New Site 1,,,,,37.9146370000,-81.0199720000,,,,,,STORET-844210576,,,"Temperature, water",,40.2,deg F,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-04-28T14:52:17,STORET
WVDEP_WQX,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,WVDEP_WQX-78437-LABWQ-ANIONS,Sample-Routine,Water,Surface Water,2014-07-10,11:45:00,EDT,,,,Surface,0.1,ft,Water Surface,,,,,248,WAP 2014,,WVDEP_WQX-2177,Slater Creek At MP 0.3,Site Verified?: Yes.  Target?: Yes.  Sampled?: Yes.,,"Stable, normal stage",,37.8989444400,-81.0308888900,WQLabDirectGrabDiscrete1,WVDEP_WQX,WQ Lab Sample-Direct Grab-Discrete (Single),"Lab Grab Sample obtained from surface water (just below the surface) using sampling bottles directly to collect a single, discrete sample set.  WV DEP Watershed Assessment Branch Field Sampling SOP (https://dep.wv.gov/WWE/watershed/Pages/WBSOPs.aspx)",Water Bottle,STORET-983582163,Not Detected,None,Bromide,None,<0.025,mg/L,K,Accepted,,Actual,,,,,,,,,,,,0.1,ft,Water Surface,,,,,,300.0,USEPA Rev 2.1,300.0 ~ EPA; Inorganic Anions by Ion Chromatography,,https://www.nemi.gov/methods/method_summary/4680/,"Bio-Chem Testing, Inc.",2014-07-14,,https://www.waterqualitydata.us/data/providers/STORET/organizations/WVDEP_WQX/activities/WVDEP_WQX-78437-LABWQ-ANIONS/results/983582163/resdetectqntlmts,Method Detection Level,0.025,mg/L,,2023-07-25T11:54:05,STORET
WVDEP_WQX,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,WVDEP_WQX-78437-LABWQ-METALS,Sample-Routine,Water,Surface Water,2014-07-10,11:45:00,EDT,,,,Surface,0.1,ft,Water Surface,,,,,248,WAP 2014,,WVDEP_WQX-2177,Slater Creek At MP 0.3,Site Verified?: Yes.  Target?: Yes.  Sampled?: Yes.,,"Stable, normal stage",,37.8989444400,-81.0308888900,WQLabDirectGrabDiscrete1,WVDEP_WQX,WQ Lab Sample-Direct Grab-Discrete (Single),"Lab Grab Sample obtained from surface water (just below the surface) using sampling bottles directly to collect a single, discrete sample set.  WV DEP Watershed Assessment Branch Field Sampling SOP (https://dep.wv.gov/WWE/watershed/Pages/WBSOPs.aspx)",Water Bottle,STORET-983582181,,None,Total hardness,None,32.05,mg/L,T,Accepted,,Calculated,,,,,,,,,,C=Calculated from Total Ca + Total Mg,,0.1,ft,Water Surface,,,,,,2340B,APHA,2340 B ~ Hardness by Calculation,,https://www.nemi.gov/methods/method_summary/4679/,Calculated by WVDEP-WAB,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/WVDEP_WQX/activities/WVDEP_WQX-78437-LABWQ-METALS/results/983582181/resdetectqntlmts,Method Detection Level,1.32,mg/L,,2023-07-25T11:54:05,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-ERMN_NERI_BMI_3044_20140322_WAT,Field Msr/Obs,Water,,2014-03-22,,,,,,,,,,,,,,ERMN_BMI,Eastern Rivers and Mountains Network Benthic Macroinvertebrate Monitoring,ERMN,11NPSWRD_WQX-ERMN_NERI_BMI_3044,Laurel Creek 8,,,,,37.8512000000,-81.0392000000,,,,,,STORET-959164602,,,"Temperature, water",,8.65,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ERMN_EUREKAMANTA,11NPSWRD_WQX,Eastern Rivers and Mountains Network Eureka Manta+ Multiprobe Sonde,,,,2014-03-22,,,,,,,2022-12-09T12:25:27,STORET
WVDEP_WQX,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,WVDEP_WQX-78437-LABWQ-METALS,Sample-Routine,Water,Surface Water,2014-07-10,11:45:00,EDT,,,,Surface,0.1,ft,Water Surface,,,,,248,WAP 2014,,WVDEP_WQX-2177,Slater Creek At MP 0.3,Site Verified?: Yes.  Target?: Yes.  Sampled?: Yes.,,"Stable, normal stage",,37.8989444400,-81.0308888900,WQLabDirectGrabDiscrete1,WVDEP_WQX,WQ Lab Sample-Direct Grab-Discrete (Single),"Lab Grab Sample obtained from surface water (just below the surface) using sampling bottles directly to collect a single, discrete sample set.  WV DEP Watershed Assessment Branch Field Sampling SOP (https://dep.wv.gov/WWE/watershed/Pages/WBSOPs.aspx)",Water Bottle,STORET-983582172,,None,Barium,Total,0.036,mg/L,,Accepted,,Actual,,,,,,,,,,,,0.1,ft,Water Surface,,,,,,200.7,USEPA,Metals in Water by ICP-AES,,https://www.nemi.gov/methods/method_summary/4690/,"Bio-Chem Testing, Inc.",2014-07-17,,https://www.waterqualitydata.us/data/providers/STORET/organizations/WVDEP_WQX/activities/WVDEP_WQX-78437-LABWQ-METALS/results/983582172/resdetectqntlmts,Method Detection Level,0.002,mg/L,,2023-07-25T11:54:05,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-ERMN_NERI_BMI_3037_20140323_WAT,Field Msr/Obs,Water,,2014-03-23,,,,,,,,,,,,,,ERMN_BMI,Eastern Rivers and Mountains Network Benthic Macroinvertebrate Monitoring,ERMN,11NPSWRD_WQX-ERMN_NERI_BMI_3037,Laurel Creek 47,,,,,37.8580000000,-81.0049000000,,,,,,STORET-959163619,,,Specific conductance,,70.8,uS/cm,,Final,,Actual,,,25 Deg C,,,,,,,,,,,,,,,,,ERMN_EUREKAMANTA,11NPSWRD_WQX,Eastern Rivers and Mountains Network Eureka Manta+ Multiprobe Sonde,,,,2014-03-23,,,,,,,2022-12-09T12:22:07,STORET
WVDEP_WIB_WQX,West Virginia Department of Environmental Protection Watershed Improvement Branch,WVDEP_WIB_WQX-BUFFCR001_140109_FldMsr,Field Msr/Obs,Water,,2014-01-09,,,,,,,,,,,,,,WVRC_TU_VolMon,West Virginia Rivers Coalition Trout Unlimited Volunteer Monitoring,,WVDEP_WIB_WQX-BUFFCR001,Buffalo Creek New Site 1,,,,,37.9146370000,-81.0199720000,,,,,,STORET-844210563,,,Specific conductance,,74.7,uS/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-04-28T14:52:17,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-ERMN_NERI_BMI_3041_20140323_WAT,Field Msr/Obs,Water,,2014-03-23,,,,,,,,,,,,,,ERMN_BMI,Eastern Rivers and Mountains Network Benthic Macroinvertebrate Monitoring,ERMN,11NPSWRD_WQX-ERMN_NERI_BMI_3041,UNT Laurel Creek 3,,,,,37.8583000000,-81.0198000000,,,,,,STORET-959163924,,,pH,,7.36,None,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ERMN_EUREKAMANTA,11NPSWRD_WQX,Eastern Rivers and Mountains Network Eureka Manta+ Multiprobe Sonde,,,,2014-03-23,,,,,,,2022-12-09T12:23:21,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-ERMN_NERI_BMI_3026_20140322_WAT,Field Msr/Obs,Water,,2014-03-22,,,,,,,,,,,,,,ERMN_BMI,Eastern Rivers and Mountains Network Benthic Macroinvertebrate Monitoring,ERMN,11NPSWRD_WQX-ERMN_NERI_BMI_3026,Little Laurel Creek 6,,,,,37.8586000000,-80.9790000000,,,,,,STORET-959162841,,,Dissolved oxygen (DO),,11.38,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ERMN_EUREKAMANTA,11NPSWRD_WQX,Eastern Rivers and Mountains Network Eureka Manta+ Multiprobe Sonde,,,,2014-03-22,,,,,,,2022-12-09T12:19:31,STORET
WVDEP_WIB_WQX,West Virginia Department of Environmental Protection Watershed Improvement Branch,WVDEP_WIB_WQX-LAURCR002_141107_FldMsr,Field Msr/Obs,Water,,2014-11-07,,,,,,,,,,,,,,WVRC_TU_VolMon,West Virginia Rivers Coalition Trout Unlimited Volunteer Monitoring,,WVDEP_WIB_WQX-LAURCR002,Laurel Creek Fayette Quinnimont Site 2,,,,,37.8524360000,-81.0414070000,,,,,,STORET-844209287,,,Turbidity,,7,NTU,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-04-28T14:52:11,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-ERMN_NERI_BMI_3032_20140328_WAT,Field Msr/Obs,Water,,2014-03-28,,,,,,,,,,,,,,ERMN_BMI,Eastern Rivers and Mountains Network Benthic Macroinvertebrate Monitoring,ERMN,11NPSWRD_WQX-ERMN_NERI_BMI_3032,River Branch 6,,,,,37.8278000000,-81.0475000000,,,,,,STORET-959163059,,,pH,,7.41,None,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ERMN_EUREKAMANTA,11NPSWRD_WQX,Eastern Rivers and Mountains Network Eureka Manta+ Multiprobe Sonde,,,,2014-03-28,,,,,,,2022-12-09T12:20:15,STORET
WVDEP_WQX,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,WVDEP_WQX-78426-LABWQ-ANIONS,Sample-Routine,Water,Surface Water,2014-10-02,14:50:00,EDT,,,,Surface,0.1,ft,Water Surface,,,,,248,WAP 2014,,WVDEP_WQX-2597,New River (Lower) At MP 39.7,Site Verified?: Yes.  Target?: Yes.  Sampled?: Yes.  Verification/Target Notes: New site established this visit. Just upstream and across river from random site sampled in 1999.,,"Stable, normal stage",,37.8540277800,-81.0746944400,WQLabDirectGrabDiscrete1,WVDEP_WQX,WQ Lab Sample-Direct Grab-Discrete (Single),"Lab Grab Sample obtained from surface water (just below the surface) using sampling bottles directly to collect a single, discrete sample set.  WV DEP Watershed Assessment Branch Field Sampling SOP (https://dep.wv.gov/WWE/watershed/Pages/WBSOPs.aspx)",Water Bottle,STORET-983581855,,None,Chloride,Total,8.51,mg/L,,Accepted,,Actual,,,,,,,,,,,,0.1,ft,Water Surface,,,,,,300.0,USEPA Rev 2.1,300.0 ~ EPA; Inorganic Anions by Ion Chromatography,,https://www.nemi.gov/methods/method_summary/4680/,"Bio-Chem Testing, Inc.",2014-10-03,,https://www.waterqualitydata.us/data/providers/STORET/organizations/WVDEP_WQX/activities/WVDEP_WQX-78426-LABWQ-ANIONS/results/983581855/resdetectqntlmts,Method Detection Level,0.625,mg/L,,2023-07-25T11:53:59,STORET
WVDEP_WQX,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,WVDEP_WQX-78426-LABWQ-ANIONS,Sample-Routine,Water,Surface Water,2014-10-02,14:50:00,EDT,,,,Surface,0.1,ft,Water Surface,,,,,248,WAP 2014,,WVDEP_WQX-2597,New River (Lower) At MP 39.7,Site Verified?: Yes.  Target?: Yes.  Sampled?: Yes.  Verification/Target Notes: New site established this visit. Just upstream and across river from random site sampled in 1999.,,"Stable, normal stage",,37.8540277800,-81.0746944400,WQLabDirectGrabDiscrete1,WVDEP_WQX,WQ Lab Sample-Direct Grab-Discrete (Single),"Lab Grab Sample obtained from surface water (just below the surface) using sampling bottles directly to collect a single, discrete sample set.  WV DEP Watershed Assessment Branch Field Sampling SOP (https://dep.wv.gov/WWE/watershed/Pages/WBSOPs.aspx)",Water Bottle,STORET-983581854,Not Detected,None,Bromide,None,<0.025,mg/L,K,Accepted,,Actual,,,,,,,,,,,,0.1,ft,Water Surface,,,,,,300.0,USEPA Rev 2.1,300.0 ~ EPA; Inorganic Anions by Ion Chromatography,,https://www.nemi.gov/methods/method_summary/4680/,"Bio-Chem Testing, Inc.",2014-10-03,,https://www.waterqualitydata.us/data/providers/STORET/organizations/WVDEP_WQX/activities/WVDEP_WQX-78426-LABWQ-ANIONS/results/983581854/resdetectqntlmts,Method Detection Level,0.025,mg/L,,2023-07-25T11:53:59,STORET
WVDEP_WQX,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,WVDEP_WQX-78426-LABWQ-BACTERIA,Sample-Routine,Water,Surface Water,2014-10-02,14:50:00,EDT,,,,Surface,0.1,ft,Water Surface,,,,,248,WAP 2014,,WVDEP_WQX-2597,New River (Lower) At MP 39.7,Site Verified?: Yes.  Target?: Yes.  Sampled?: Yes.  Verification/Target Notes: New site established this visit. Just upstream and across river from random site sampled in 1999.,,"Stable, normal stage",,37.8540277800,-81.0746944400,WQLabDirectGrabDiscrete1,WVDEP_WQX,WQ Lab Sample-Direct Grab-Discrete (Single),"Lab Grab Sample obtained from surface water (just below the surface) using sampling bottles directly to collect a single, discrete sample set.  WV DEP Watershed Assessment Branch Field Sampling SOP (https://dep.wv.gov/WWE/watershed/Pages/WBSOPs.aspx)",Water Bottle,STORET-983581857,,None,Fecal Coliform,None,2,cfu/100mL,EST,Accepted,,Estimated,,,,,,,,,,E=Estimated Value,,0.1,ft,Water Surface,,,,,,SM 9222 D (1997),WVDEP_WQX,SM 9222 D (1997),,,"Bio-Chem Testing, Inc.",2014-10-03,,,,,,,2023-07-25T11:53:59,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-ERMN_NERI_BMI_3032_20140328_WAT,Field Msr/Obs,Water,,2014-03-28,,,,,,,,,,,,,,ERMN_BMI,Eastern Rivers and Mountains Network Benthic Macroinvertebrate Monitoring,ERMN,11NPSWRD_WQX-ERMN_NERI_BMI_3032,River Branch 6,,,,,37.8278000000,-81.0475000000,,,,,,STORET-959163060,,,"Temperature, water",,7.07,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ERMN_EUREKAMANTA,11NPSWRD_WQX,Eastern Rivers and Mountains Network Eureka Manta+ Multiprobe Sonde,,,,2014-03-28,,,,,,,2022-12-09T12:20:15,STORET
