OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-WV,USGS West Virginia Water Science Center,USGS-03184846,"NEW RIVER BL GLADE CREEK ABOVE PRINCE, WV",Stream,,05050004,,,,,37.82995830000000,-81.0153306000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,1205,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,54,019,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,USGS-03184905,"NEW RIVER AT HWY 41 AT PRINCE, WV",Stream,,05050004,,,,,37.85400278000000,-81.0712083000000,24000,.1,seconds,Interpolated from MAP.,NAD83,1153,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,54,081,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,USGS-03185208,"NEW RIVER BELOW PINEY CREEK AT MCCREERY,WV",Stream,,05050004,,,,,37.85168889000000,-81.0945556000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,1143,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,54,019,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,USGS-03185400,"NEW RIVER AT THURMOND, WV",Stream,,05050004,6752,sq mi,,,37.95511285000000,-81.0764883800000,,5,seconds,Interpolated from MAP.,NAD83,1030.0,feet,0.1,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,54,019,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,USGS-03185434,"NEW RIVER BELOW DUNLOUP CREEK AT THURMOND, WV",Stream,,05050004,,,,,37.95704167000000,-81.0802638900000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,1032,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,54,019,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,USGS-03185440,"NEW RIVER BELOW ARBUCKLE CREEK AT THURMOND, WV",Stream,,05050004,,,,,37.96382220000000,-81.0833194000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,1023,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,54,019,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,USGS-03185497,"NEW RIVER BELOW MANNS CREEK NEAR CUNARD, WV",Stream,,05050004,,,,,38.00323330000000,-81.0221444000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,965,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,54,019,,,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,USGS-374526081034701,Ral-0231,Well,,05050004,,,,,37.75713889000000,-81.0631667000000,,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2725.99,feet,008,feet,Interpolated from Digital Elevation Model,NAVD88,US,54,081,Pennsylvanian aquifers,,New River Formation,,,320.0,ft,320.0,ft,NWIS
USGS-WV,USGS West Virginia Water Science Center,USGS-374551081003101,Ral-0230,Well,,05050004,,,,,37.76408330000000,-81.0084722000000,,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2801.94,feet,008,feet,Interpolated from Digital Elevation Model,NAVD88,US,54,081,,,New River Formation,,,480,ft,480,ft,NWIS
USGS-WV,USGS West Virginia Water Science Center,USGS-374552081003301,Ral-0232,Well,,05050004,,,,,37.76441110000000,-81.0092000000000,,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2807.46,feet,5,feet,Interpolated from Digital Elevation Model,NAVD88,US,54,081,Pennsylvanian aquifers,,New River Formation,,20110511,420.0,ft,420.0,ft,NWIS
