OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-WA,USGS Washington Water Science Center,USGS-12172000,"BIG BEAVER CREEK NEAR NEWHALEM, WA",Stream,,17110005,63.2,sq mi,,,48.77763000000000,-121.0734549000000,,1,seconds,Interpolated from MAP.,NAD83,1610.23,feet,0.2,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,53,073,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-12178000,"SKAGIT RIVER AT NEWHALEM, WA",Stream,,17110005,1175,sq mi,,,48.67179229000000,-121.2462348000000,,1,seconds,Interpolated from MAP.,NAD83,406.2,feet,.05,feet,Level or other surveyed method.,NAVD88,US,53,073,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-12178100,"NEWHALEM CREEK NEAR NEWHALEM, WA",Stream,,17110005,26.9,sq mi,,,48.66012536000000,-121.2476233000000,,1,seconds,Interpolated from MAP.,NAD83,1000,feet,20,feet,Interpolated from topographic map.,NGVD29,US,53,073,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-484028121160101,37N/12E-20G01 P5,Well,,17110005,,,,,48.67444440000000,-121.2669444000000,24000,5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,491,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,073,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-484030121155201,37N/12E-20H02  P10,Well,,17110005,,,,,48.67500000000000,-121.2644444000000,24000,5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,489,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,073,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-484030121160201,37N/12E-20G02  P4,Well,,17110005,,,,,48.67500000000000,-121.2672222000000,24000,5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,491,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,073,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-484030121160801,37N/12E-20G03  P3,Well,,17110005,,,,,48.67500000000000,-121.2688889000000,24000,5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,495,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,073,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-484032121155601,37N/12E-20H01  GC-1530,Well,,17110005,,,,,48.67555556000000,-121.2655556000000,24000,5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,495,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,073,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-484037121160201,37N/12E-20B01  P1,Well,,17110005,,,,,48.67694440000000,-121.2672222000000,24000,5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,504,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,073,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-484256121090601,37N/13E-05R03,Well,,17110005,,,,,48.71569440000000,-121.1519167000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,882,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,073,,,,,,,,11,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-484256121090701,37N/13E-05R02,Well,,17110005,,,,,48.71563889000000,-121.1520806000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,881,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,073,Pacific Northwest basin-fill aquifers,,,,20130415,,,5.26,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-484256121090801,37N/13E-05R04,Well,,17110005,,,,,48.71552778000000,-121.1521389000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,883,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,073,,,,,,,,6,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-484257121090701,37N/13E-05R01,Well,,17110005,,,,,48.71593056000000,-121.1520194000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,881,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,073,Pacific Northwest basin-fill aquifers,,,,20130415,,,6.3,ft,NWIS
UPPERSKAGIT,Upper Skagit Indian Tribe (Tribal),UPPERSKAGIT-FG1-2016,Flow Gage 1,River/Stream,,17110005,,,,,48.6740385400,-121.2652571000,,,,GPS-Unspecified,NAD83,,,,,,,US,53,073,,,,,,,,,,STORET
UPPERSKAGIT,Upper Skagit Indian Tribe (Tribal),UPPERSKAGIT-FG2-2016,Flow Gage 2,River/Stream,,17110005,,,,,48.6801895000,-121.2737523000,,,,GPS-Unspecified,NAD83,,,,,,,US,53,073,,,,,,,,,,STORET
UPPERSKAGIT,Upper Skagit Indian Tribe (Tribal),UPPERSKAGIT-P1,Port #1,Other-Ground Water,,17110005,,,,,48.6769454800,-121.2671257000,,,,GPS-Unspecified,NAD83,,,,,,,US,53,073,,,,,,,,,,STORET
UPPERSKAGIT,Upper Skagit Indian Tribe (Tribal),UPPERSKAGIT-P10,Port #10,Other-Ground Water,,17110005,,,,,48.6749658700,-121.2644615000,,,,GPS-Unspecified,NAD83,,,,,,,US,53,073,,,,,,,,,,STORET
UPPERSKAGIT,Upper Skagit Indian Tribe (Tribal),UPPERSKAGIT-P3,Port #3,Other-Ground Water,,17110005,,,,,48.6751880000,-121.2693030000,,,,GPS-Unspecified,NAD83,,,,,,,US,53,073,,,,,,,,,,STORET
UPPERSKAGIT,Upper Skagit Indian Tribe (Tribal),UPPERSKAGIT-P4,Port #4,Other-Ground Water,,17110005,,,,,48.6751640000,-121.2671140000,,,,GPS-Unspecified,NAD83,,,,,,,US,53,073,,,,,,,,,,STORET
UPPERSKAGIT,Upper Skagit Indian Tribe (Tribal),UPPERSKAGIT-P5,Port #5,Other-Ground Water,,17110005,,,,,48.6745960000,-121.2673730000,,,,GPS-Unspecified,NAD83,,,,,,,US,53,073,,,,,,,,,,STORET
UPPERSKAGIT,Upper Skagit Indian Tribe (Tribal),UPPERSKAGIT-P6,Port #6,Other-Ground Water,,17110005,,,,,48.6740460700,-121.2697558000,,,,GPS-Unspecified,NAD83,,,,,,,US,53,073,,,,,,,,,,STORET
UPPERSKAGIT,Upper Skagit Indian Tribe (Tribal),UPPERSKAGIT-P7,Port #7,Other-Ground Water,,17110005,,,,,48.6724093100,-121.2697198000,,,,GPS-Unspecified,NAD83,,,,,,,US,53,073,,,,,,,,,,STORET
