OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
QIN_WQX,Quinault Indian Nation (Tribal),QIN_WQX-AQ22,Queets River upstream of Unnamed (Pelton) Creek confluence,River/Stream,,17100102,,,,,47.6938000000,-123.7960000000,,,,GPS-Unspecified,WGS84,,,,,,,US,53,031,,,,,,,,,,STORET
QIN_WQX,Quinault Indian Nation (Tribal),QIN_WQX-Queets4119,Queets River,River/Stream,65.3 km,17100102,,,,,47.6947000000,-123.8040000000,,,,GPS-Unspecified,WGS84,3349.08,ft,,,Altimetry,UNKWN,US,53,031,,,,,,,,,,STORET
QIN_WQX,Quinault Indian Nation (Tribal),QIN_WQX-Queets4127,Queets River,River/Stream,65.53 km,17100102,,,,,47.6943000000,-123.8010000000,,,,GPS-Unspecified,WGS84,3346.46,ft,,,Altimetry,UNKWN,US,53,031,,,,,,,,,,STORET
QIN_WQX,Quinault Indian Nation (Tribal),QIN_WQX-Queets4134,Queets River,River/Stream,65.84 km,17100102,,,,,47.6943000000,-123.7980000000,,,,GPS-Unspecified,WGS84,3407.15,ft,,,Altimetry,UNKWN,US,53,031,,,,,,,,,,STORET
QIN_WQX,Quinault Indian Nation (Tribal),QIN_WQX-Queets4139,Queets River,River/Stream,65.99 km,17100102,,,,,47.6942000000,-123.7960000000,,,,GPS-Unspecified,WGS84,3445.21,ft,,,Altimetry,UNKWN,US,53,031,,,,,,,,,,STORET
QIN_WQX,Quinault Indian Nation (Tribal),QIN_WQX-Queets4139-trib,Queets River,River/Stream,65.99 km,17100102,,,,,47.6942000000,-123.7960000000,,,,GPS-Unspecified,WGS84,3445.21,ft,,,Altimetry,UNKWN,US,53,031,,,,,,,,,,STORET
QIN_WQX,Quinault Indian Nation (Tribal),QIN_WQX-Queets4146,Queets River,River/Stream,66.2 km,17100102,,,,,47.6942000000,-123.7930000000,,,,GPS-Unspecified,WGS84,3491.8,ft,,,Altimetry,UNKWN,US,53,031,,,,,,,,,,STORET
QIN_WQX,Quinault Indian Nation (Tribal),QIN_WQX-Queets4146-trib,Queets River,River/Stream,66.2 km,17100102,,,,,47.6942000000,-123.7930000000,,,,GPS-Unspecified,WGS84,3491.8,ft,,,Altimetry,UNKWN,US,53,031,,,,,,,,,,STORET
QIN_WQX,Quinault Indian Nation (Tribal),QIN_WQX-Queets4151,Queets River,River/Stream,66.37 km,17100102,,,,,47.6943000000,-123.7910000000,,,,GPS-Unspecified,WGS84,3521.65,ft,,,Altimetry,UNKWN,US,53,031,,,,,,,,,,STORET
QIN_WQX,Quinault Indian Nation (Tribal),QIN_WQX-Queets4156,Queets River,River/Stream,66.58 km,17100102,,,,,47.6945000000,-123.7890000000,,,,GPS-Unspecified,WGS84,3543.64,ft,,,Altimetry,UNKWN,US,53,031,,,,,,,,,,STORET
QIN_WQX,Quinault Indian Nation (Tribal),QIN_WQX-Queets4156-trib,Queets River,River/Stream,66.58 km,17100102,,,,,47.6945000000,-123.7890000000,,,,GPS-Unspecified,WGS84,3543.64,ft,,,Altimetry,UNKWN,US,53,031,,,,,,,,,,STORET
QIN_WQX,Quinault Indian Nation (Tribal),QIN_WQX-Queets4164,Queets River,River/Stream,66.8 km,17100102,,,,,47.6949000000,-123.7850000000,,,,GPS-Unspecified,WGS84,3550.52,ft,,,Altimetry,UNKWN,US,53,031,,,,,,,,,,STORET
QIN_WQX,Quinault Indian Nation (Tribal),QIN_WQX-Queets4171,Queets River,River/Stream,66.99 km,17100102,,,,,47.6952000000,-123.7830000000,,,,GPS-Unspecified,WGS84,3547.24,ft,,,Altimetry,UNKWN,US,53,031,,,,,,,,,,STORET
QIN_WQX,Quinault Indian Nation (Tribal),QIN_WQX-Queets4177,Queets River,River/Stream,67.16 km,17100102,,,,,47.6955000000,-123.7810000000,,,,GPS-Unspecified,WGS84,3544.95,ft,,,Altimetry,UNKWN,US,53,031,,,,,,,,,,STORET
QIN_WQX,Quinault Indian Nation (Tribal),QIN_WQX-Queets4183,Queets River,River/Stream,67.3 km,17100102,,,,,47.6958000000,-123.7790000000,,,,GPS-Unspecified,WGS84,3554.46,ft,,,Altimetry,UNKWN,US,53,031,,,,,,,,,,STORET
QIN_WQX,Quinault Indian Nation (Tribal),QIN_WQX-Queets4189,Queets River,River/Stream,67.6 km,17100102,,,,,47.6961000000,-123.7760000000,,,,GPS-Unspecified,WGS84,3554.79,ft,,,Altimetry,UNKWN,US,53,031,,,,,,,,,,STORET
QIN_WQX,Quinault Indian Nation (Tribal),QIN_WQX-Queets4189-trib,Queets River,River/Stream,67.6 km,17100102,,,,,47.6961000000,-123.7760000000,,,,GPS-Unspecified,WGS84,3554.79,ft,,,Altimetry,UNKWN,US,53,031,,,,,,,,,,STORET
QIN_WQX,Quinault Indian Nation (Tribal),QIN_WQX-Queets4193,Queets River,River/Stream,67.69 km,17100102,,,,,47.6961000000,-123.7750000000,,,,GPS-Unspecified,WGS84,3576.44,ft,,,Altimetry,UNKWN,US,53,031,,,,,,,,,,STORET
QIN_WQX,Quinault Indian Nation (Tribal),QIN_WQX-Queets4197,Queets River,River/Stream,67.74 km,17100102,,,,,47.6957000000,-123.7730000000,,,,GPS-Unspecified,WGS84,3596.13,ft,,,Altimetry,UNKWN,US,53,031,,,,,,,,,,STORET
QIN_WQX,Quinault Indian Nation (Tribal),QIN_WQX-Queets4197-trib,Queets River,River/Stream,67.74 km,17100102,,,,,47.6957000000,-123.7730000000,,,,GPS-Unspecified,WGS84,3596.13,ft,,,Altimetry,UNKWN,US,53,031,,,,,,,,,,STORET
QIN_WQX,Quinault Indian Nation (Tribal),QIN_WQX-TQ20TR,Paradise Creek near Queets River confluence,River/Stream,,17100102,,,,,47.6958000000,-123.8080000000,,,,GPS-Unspecified,WGS84,,,,,,,US,53,031,,,,,,,,,,STORET
QIN_WQX,Quinault Indian Nation (Tribal),QIN_WQX-TQ22,Queets River upstream of Unnamed (Pelton) Creek confluence,River/Stream,,17100102,,,,,47.6943000000,-123.7940000000,,,,GPS-Unspecified,WGS84,,,,,,,US,53,031,,,,,,,,,,STORET
QIN_WQX,Quinault Indian Nation (Tribal),QIN_WQX-TQ22-a,Queets River upstream of Unnamed (Pelton) Creek confluence,River/Stream,,17100102,,,,,47.6940000000,-123.7930000000,,,,GPS-Unspecified,WGS84,,,,,,,US,53,031,,,,,,,,,,STORET
QIN_WQX,Quinault Indian Nation (Tribal),QIN_WQX-TQ22TL,Unnamed (Pelton) Creek near Queets River confluence,River/Stream,,17100102,,,,,47.6938000000,-123.7930000000,,,,GPS-Unspecified,WGS84,,,,,,,US,53,031,,,,,,,,,,STORET
QIN_WQX,Quinault Indian Nation (Tribal),QIN_WQX-TQ23,Queets River upstream of Alta Creek confluence,River/Stream,,17100102,,,,,47.6989000000,-123.7580000000,,,,GPS-Unspecified,WGS84,,,,,,,US,53,031,,,,,,,,,,STORET
QIN_WQX,Quinault Indian Nation (Tribal),QIN_WQX-TQ23TL,Alta Creek near Queets River confluence,River/Stream,,17100102,,,,,47.6982000000,-123.7580000000,,,,GPS-Unspecified,WGS84,,,,,,,US,53,031,,,,,,,,,,STORET
QIN_WQX,Quinault Indian Nation (Tribal),QIN_WQX-TQ24,Queets River upstream of Hee Hee Creek confluence,River/Stream,,17100102,,,,,47.7120000000,-123.7390000000,,,,GPS-Unspecified,WGS84,,,,,,,US,53,031,,,,,,,,,,STORET
QIN_WQX,Quinault Indian Nation (Tribal),QIN_WQX-TQ24TL,Hee Hee Creek near Queets River confluence,River/Stream,,17100102,,,,,47.7111000000,-123.7380000000,,,,GPS-Unspecified,WGS84,,,,,,,US,53,031,,,,,,,,,,STORET
QIN_WQX,Quinault Indian Nation (Tribal),QIN_WQX-TQ26,Queets River upstream of Hee Haw confluence,River/Stream,,17100102,,,,,47.7374000000,-123.6880000000,,,,GPS-Unspecified,WGS84,,,,,,,US,53,031,,,,,,,,,,STORET
QIN_WQX,Quinault Indian Nation (Tribal),QIN_WQX-TQ26TL,Hee Haw Creek near Queets River confluence,River/Stream,,17100102,,,,,47.7347000000,-123.6890000000,,,,GPS-Unspecified,WGS84,,,,,,,US,53,031,,,,,,,,,,STORET
QIN_WQX,Quinault Indian Nation (Tribal),QIN_WQX-TQ27,Queets River near 'The Canyon',River/Stream,,17100102,,,,,47.7433000000,-123.6840000000,,,,GPS-Unspecified,WGS84,,,,,,,US,53,031,,,,,,,,,,STORET
