OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,ActivityLocation/SourceMapScaleNumeric,ActivityLocation/HorizontalAccuracyMeasure/MeasureValue,ActivityLocation/HorizontalAccuracyMeasure/MeasureUnitCode,ActivityLocation/HorizontalCollectionMethodName,ActivityLocation/HorizontalCoordinateReferenceSystemDatumName,AssemblageSampledName,CollectionDuration/MeasureValue,CollectionDuration/MeasureUnitCode,SamplingComponentName,SamplingComponentPlaceInSeriesNumeric,ReachLengthMeasure/MeasureValue,ReachLengthMeasure/MeasureUnitCode,ReachWidthMeasure/MeasureValue,ReachWidthMeasure/MeasureUnitCode,PassCount,NetTypeName,NetSurfaceAreaMeasure/MeasureValue,NetSurfaceAreaMeasure/MeasureUnitCode,NetMeshSizeMeasure/MeasureValue,NetMeshSizeMeasure/MeasureUnitCode,BoatSpeedMeasure/MeasureValue,BoatSpeedMeasure/MeasureUnitCode,CurrentSpeedMeasure/MeasureValue,CurrentSpeedMeasure/MeasureUnitCode,ToxicityTestType,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodQualifierTypeName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,SampleCollectionMethod/SampleCollectionEquipmentCommentText,SamplePreparationMethod/MethodIdentifier,SamplePreparationMethod/MethodIdentifierContext,SamplePreparationMethod/MethodName,SamplePreparationMethod/MethodQualifierTypeName,SamplePreparationMethod/MethodDescriptionText,SampleContainerTypeName,SampleContainerColorName,ChemicalPreservativeUsedName,ThermalPreservativeUsedName,SampleTransportStorageDescription,DataLoggerLine,ResultDetectionConditionText,MethodSpecificationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,DataQuality/BiasValue,ConfidenceIntervalValue,UpperConfidenceLimitValue,LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultSamplingPointName,BiologicalIntentName,BiologicalIndividualIdentifier,SubjectTaxonomicName,UnidentifiedSpeciesIdentifier,SampleTissueAnatomyName,GroupSummaryCountWeight/MeasureValue,GroupSummaryCountWeight/MeasureUnitCode,CellFormName,CellShapeName,HabitName,VoltismName,TaxonomicPollutionTolerance,TaxonomicPollutionToleranceScaleText,TrophicLevelName,FunctionalFeedingGroupName,TaxonomicDetailsCitation/ResourceTitleName,TaxonomicDetailsCitation/ResourceCreatorName,TaxonomicDetailsCitation/ResourceSubjectText,TaxonomicDetailsCitation/ResourcePublisherName,TaxonomicDetailsCitation/ResourceDate,TaxonomicDetailsCitation/ResourceIdentifier,FrequencyClassDescriptorCode,FrequencyClassDescriptorUnitCode,LowerClassBoundValue,UpperClassBoundValue,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,AnalysisStartTime/Time,AnalysisStartTime/TimeZoneCode,AnalysisEndDate,AnalysisEndTime/Time,AnalysisEndTime/TimeZoneCode,ResultLaboratoryCommentCode,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LaboratoryAccreditationIndicator,LaboratoryAccreditationAuthorityName,TaxonomistAccreditationIndicator,TaxonomistAccreditationAuthorityName,LabSamplePreparationMethod/MethodIdentifier,LabSamplePreparationMethod/MethodIdentifierContext,LabSamplePreparationMethod/MethodName,LabSamplePreparationMethod/MethodQualifierTypeName,LabSamplePreparationMethod/MethodDescriptionText,PreparationStartDate,PreparationStartTime/Time,PreparationStartTime/TimeZoneCode,PreparationEndDate,PreparationEndTime/Time,PreparationEndTime/TimeZoneCode,SubstitutionDilutionFactorNumeric,ProviderName
AZDEQ_SW,AZDEQ_SW,AZDEQ_SW-SW-90669.CHEM,Sample-Routine,Water,Surface Water,2010-02-03,08:30:00,MST,,,,,0,m,,,,,,2008,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_SW-1982,Approved status: DOUG MCCARTY 25-OCT-10 12:00:00--- SAMPLE TAKEN: Migrated,,,,34.9791667000,-109.7950000000,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,AZDEQ_SW,Unknown,,,Miscellaneous (Other),,,,,,,,,,,,,,None,Total dissolved solids,Dissolved,762.5,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIELD,AZDEQ_SW,FIELD,,,ARIZONA DEPT. OF ENVIRONMENTAL QUALITY (FIELD),,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
21ARIZ_WQX,Arizona Department Of Environmental Quality,21ARIZ_WQX-90669RW-swdb,Sample-Routine,Water,Surface Water,2010-02-03,08:30:00,MST,,,,,,,,0,m,0,m,TMD,,21ARIZ_WQX-LCPRR024.69,,,,,34.9791667000,-109.7950000000,,,,,,,,,,,,,,,,,,,,,,,,,,AZDEQ SOPs,21ARIZ_WQX,AZDEQ Standard Operating Procedures,21ARIZ_WQX,,Water Bottle,,,,,,,,,,,,,,,Suspended Sediment Concentration (SSC),Suspended,20000,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASTM D3977C,21ARIZ_WQX,"ASTM 3977C, SEDIMENT CONCENTRATION",3977C,,Columbia Analytical Services - Phoenix,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
AZDEQ_SW,AZDEQ_SW,AZDEQ_SW-SW-90669.CHEM,Sample-Routine,Water,Surface Water,2010-02-03,08:30:00,MST,,,,,0,m,,,,,,2008,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_SW-1982,Approved status: DOUG MCCARTY 25-OCT-10 12:00:00--- SAMPLE TAKEN: Migrated,,,,34.9791667000,-109.7950000000,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,AZDEQ_SW,Unknown,,,Miscellaneous (Other),,,,,,,,,,,,,,None,Suspended Sediment Concentration (SSC),Suspended,20000,mg/L,,Final,,Actual,,,,Fine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASTM D3977C,AZDEQ_SW,ASTM D3977C,,,COLUMBIA ANALYTICAL SERVICES - PHOENIX,,,,,,,,,Laboratory Reporting Level,1,mg/L,,,,,,,,,,,,,,,,,STORET
AZDEQ_SW,AZDEQ_SW,AZDEQ_SW-SW-90669.CHEM,Sample-Routine,Water,Surface Water,2010-02-03,08:30:00,MST,,,,,0,m,,,,,,2008,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_SW-1982,Approved status: DOUG MCCARTY 25-OCT-10 12:00:00--- SAMPLE TAKEN: Migrated,,,,34.9791667000,-109.7950000000,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,AZDEQ_SW,Unknown,,,Miscellaneous (Other),,,,,,,,,,,,,,None,Suspended Sediment Concentration (SSC),Suspended,4,mg/L,,Final,,Actual,,,,Coarse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASTM D3977C,AZDEQ_SW,ASTM D3977C,,,COLUMBIA ANALYTICAL SERVICES - PHOENIX,,,,,,,,,Laboratory Reporting Level,1,mg/L,,,,,,,,,,,,,,,,,STORET
AZDEQ_SW,AZDEQ_SW,AZDEQ_SW-SW-90669.CHEM,Sample-Routine,Water,Surface Water,2010-02-03,08:30:00,MST,,,,,0,m,,,,,,2008,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_SW-1982,Approved status: DOUG MCCARTY 25-OCT-10 12:00:00--- SAMPLE TAKEN: Migrated,,,,34.9791667000,-109.7950000000,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,AZDEQ_SW,Unknown,,,Miscellaneous (Other),,,,,,,,,,,,,,None,Suspended Sediment Concentration (SSC),Suspended,20004,mg/L,,Final,,Actual,,,,CALCULATED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASTM D3977C,AZDEQ_SW,ASTM D3977C,,,COLUMBIA ANALYTICAL SERVICES - PHOENIX,,,,,,,,,Laboratory Reporting Level,1,mg/L,,,,,,,,,,,,,,,,,STORET
AZDEQ_SW,AZDEQ_SW,AZDEQ_SW-SW-90669.CHEM,Sample-Routine,Water,Surface Water,2010-02-03,08:30:00,MST,,,,,0,m,,,,,,2008,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_SW-1982,Approved status: DOUG MCCARTY 25-OCT-10 12:00:00--- SAMPLE TAKEN: Migrated,,,,34.9791667000,-109.7950000000,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,AZDEQ_SW,Unknown,,,Miscellaneous (Other),,,,,,,,,,,,,,None,Escherichia coli,Total,670,cfu/100mL,,Final,,Actual,,,,,,,,,,"| QA FLAGS: D,MPV, EQ-EXC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIELD,AZDEQ_SW,FIELD,,,ARIZONA DEPT. OF ENVIRONMENTAL QUALITY (FIELD),,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
21ARIZ_WQX,Arizona Department Of Environmental Quality,21ARIZ_WQX-90669RW-swdb,Sample-Routine,Water,Surface Water,2010-02-03,08:30:00,MST,,,,,,,,0,m,0,m,TMD,,21ARIZ_WQX-LCPRR024.69,,,,,34.9791667000,-109.7950000000,,,,,,,,,,,,,,,,,,,,,,,,,,AZDEQ SOPs,21ARIZ_WQX,AZDEQ Standard Operating Procedures,21ARIZ_WQX,,Water Bottle,,,,,,,,,,,,,,,Suspended Sediment Concentration (SSC),Suspended,20004,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASTM D3977C,21ARIZ_WQX,"ASTM 3977C, SEDIMENT CONCENTRATION",3977C,,Columbia Analytical Services - Phoenix,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
21ARIZ_WQX,Arizona Department Of Environmental Quality,21ARIZ_WQX-90669RW-swdb,Sample-Routine,Water,Surface Water,2010-02-03,08:30:00,MST,,,,,,,,0,m,0,m,TMD,,21ARIZ_WQX-LCPRR024.69,,,,,34.9791667000,-109.7950000000,,,,,,,,,,,,,,,,,,,,,,,,,,AZDEQ SOPs,21ARIZ_WQX,AZDEQ Standard Operating Procedures,21ARIZ_WQX,,Water Bottle,,,,,,,,,,,,,,,Escherichia coli,Total,670,cfu/100mL,,Final,,Actual,,,,,,,,,,Qualifier:   BACTERIA - MOST PROBABLE VALUE.  DILUTION - DILUTION FACTOR USED.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIELD,21ARIZ_WQX,FIELD PARAMETERS,,,Arizona Dept. Of Environmental Quality (Field),,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
AZDEQ_SW,AZDEQ_SW,AZDEQ_SW-SW-90669.CHEM,Sample-Routine,Water,Surface Water,2010-02-03,08:30:00,MST,,,,,0,m,,,,,,2008,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_SW-1982,Approved status: DOUG MCCARTY 25-OCT-10 12:00:00--- SAMPLE TAKEN: Migrated,,,,34.9791667000,-109.7950000000,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,AZDEQ_SW,Unknown,,,Miscellaneous (Other),,,,,,,,,,,,,,None,Stream width measure,Total,10,ft,J,Final,,Actual,,,,,,,,,,| QA FLAGS: J.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIELD,AZDEQ_SW,FIELD,,,ARIZONA DEPT. OF ENVIRONMENTAL QUALITY (FIELD),,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
AZDEQ_SW,AZDEQ_SW,AZDEQ_SW-SW-90669.CHEM,Sample-Routine,Water,Surface Water,2010-02-03,08:30:00,MST,,,,,0,m,,,,,,2008,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_SW-1982,Approved status: DOUG MCCARTY 25-OCT-10 12:00:00--- SAMPLE TAKEN: Migrated,,,,34.9791667000,-109.7950000000,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,AZDEQ_SW,Unknown,,,Miscellaneous (Other),,,,,,,,,,,,,Present Above Quantification Limit,None,Turbidity,Total,,,,Final,,Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIELD,AZDEQ_SW,FIELD,,,ARIZONA DEPT. OF ENVIRONMENTAL QUALITY (FIELD),,,,,,,,,Laboratory Reporting Level,1000,NTU,,,,,,,,,,,,,,,,,STORET
