OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
AZDEQ_SW,AZDEQ_SW,AZDEQ_SW-SW-90669.CHEM,Sample-Routine,Water,Surface Water,2010-02-03,08:30:00,MST,,,,,0,m,,,,,,2008,TMDL MONITORING,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_SW-1982,105128,Approved status: DOUG MCCARTY 25-OCT-10 12:00:00--- SAMPLE TAKEN: Migrated,,,,34.9791667000,-109.7950000000,Unknown,AZDEQ_SW,Unknown,,Miscellaneous (Other),STORET-862853299,,None,Total dissolved solids,Dissolved,762.5,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,FIELD,AZDEQ_SW,FIELD,,,ARIZONA DEPT. OF ENVIRONMENTAL QUALITY (FIELD),,,,,,,,2020-11-19T12:02:15,STORET
21ARIZ_WQX,Arizona Department Of Environmental Quality,21ARIZ_WQX-90669RW-swdb,Sample-Routine,Water,Surface Water,2010-02-03,08:30:00,MST,,,,,,,,0,m,0,m,TMD,TMD,,21ARIZ_WQX-LCPRR024.69,"PUERCO RIVER - NEAR ADAMANA, AZ.",,,,,34.9791667000,-109.7950000000,AZDEQ SOPs,21ARIZ_WQX,AZDEQ Standard Operating Procedures,,Water Bottle,STORET-552211658,,,Suspended Sediment Concentration (SSC),Suspended,20000,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ASTM D3977C,21ARIZ_WQX,"ASTM 3977C, SEDIMENT CONCENTRATION",,,Columbia Analytical Services - Phoenix,,,,,,,,2016-05-12T03:26:39,STORET
AZDEQ_SW,AZDEQ_SW,AZDEQ_SW-SW-90669.CHEM,Sample-Routine,Water,Surface Water,2010-02-03,08:30:00,MST,,,,,0,m,,,,,,2008,TMDL MONITORING,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_SW-1982,105128,Approved status: DOUG MCCARTY 25-OCT-10 12:00:00--- SAMPLE TAKEN: Migrated,,,,34.9791667000,-109.7950000000,Unknown,AZDEQ_SW,Unknown,,Miscellaneous (Other),STORET-862853308,,None,Suspended Sediment Concentration (SSC),Suspended,20000,mg/L,,Final,,Actual,,,,Fine,,,,,,,,,,,,,,,,ASTM D3977C,AZDEQ_SW,ASTM D3977C,,,COLUMBIA ANALYTICAL SERVICES - PHOENIX,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/AZDEQ_SW/activities/AZDEQ_SW-SW-90669.CHEM/results/862853308/resdetectqntlmts,Laboratory Reporting Level,1,mg/L,,2020-11-19T12:02:15,STORET
AZDEQ_SW,AZDEQ_SW,AZDEQ_SW-SW-90669.CHEM,Sample-Routine,Water,Surface Water,2010-02-03,08:30:00,MST,,,,,0,m,,,,,,2008,TMDL MONITORING,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_SW-1982,105128,Approved status: DOUG MCCARTY 25-OCT-10 12:00:00--- SAMPLE TAKEN: Migrated,,,,34.9791667000,-109.7950000000,Unknown,AZDEQ_SW,Unknown,,Miscellaneous (Other),STORET-862853307,,None,Suspended Sediment Concentration (SSC),Suspended,4,mg/L,,Final,,Actual,,,,Coarse,,,,,,,,,,,,,,,,ASTM D3977C,AZDEQ_SW,ASTM D3977C,,,COLUMBIA ANALYTICAL SERVICES - PHOENIX,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/AZDEQ_SW/activities/AZDEQ_SW-SW-90669.CHEM/results/862853307/resdetectqntlmts,Laboratory Reporting Level,1,mg/L,,2020-11-19T12:02:15,STORET
AZDEQ_SW,AZDEQ_SW,AZDEQ_SW-SW-90669.CHEM,Sample-Routine,Water,Surface Water,2010-02-03,08:30:00,MST,,,,,0,m,,,,,,2008,TMDL MONITORING,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_SW-1982,105128,Approved status: DOUG MCCARTY 25-OCT-10 12:00:00--- SAMPLE TAKEN: Migrated,,,,34.9791667000,-109.7950000000,Unknown,AZDEQ_SW,Unknown,,Miscellaneous (Other),STORET-862853302,,None,Suspended Sediment Concentration (SSC),Suspended,20004,mg/L,,Final,,Actual,,,,CALCULATED,,,,,,,,,,,,,,,,ASTM D3977C,AZDEQ_SW,ASTM D3977C,,,COLUMBIA ANALYTICAL SERVICES - PHOENIX,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/AZDEQ_SW/activities/AZDEQ_SW-SW-90669.CHEM/results/862853302/resdetectqntlmts,Laboratory Reporting Level,1,mg/L,,2020-11-19T12:02:15,STORET
AZDEQ_SW,AZDEQ_SW,AZDEQ_SW-SW-90669.CHEM,Sample-Routine,Water,Surface Water,2010-02-03,08:30:00,MST,,,,,0,m,,,,,,2008,TMDL MONITORING,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_SW-1982,105128,Approved status: DOUG MCCARTY 25-OCT-10 12:00:00--- SAMPLE TAKEN: Migrated,,,,34.9791667000,-109.7950000000,Unknown,AZDEQ_SW,Unknown,,Miscellaneous (Other),STORET-862853305,,None,Escherichia coli,Total,670,cfu/100mL,,Final,,Actual,,,,,,,,,,"| QA FLAGS: D,MPV, EQ-EXC.",,,,,,,,,,FIELD,AZDEQ_SW,FIELD,,,ARIZONA DEPT. OF ENVIRONMENTAL QUALITY (FIELD),,,,,,,,2020-11-19T12:02:15,STORET
21ARIZ_WQX,Arizona Department Of Environmental Quality,21ARIZ_WQX-90669RW-swdb,Sample-Routine,Water,Surface Water,2010-02-03,08:30:00,MST,,,,,,,,0,m,0,m,TMD,TMD,,21ARIZ_WQX-LCPRR024.69,"PUERCO RIVER - NEAR ADAMANA, AZ.",,,,,34.9791667000,-109.7950000000,AZDEQ SOPs,21ARIZ_WQX,AZDEQ Standard Operating Procedures,,Water Bottle,STORET-552211667,,,Suspended Sediment Concentration (SSC),Suspended,20004,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ASTM D3977C,21ARIZ_WQX,"ASTM 3977C, SEDIMENT CONCENTRATION",,,Columbia Analytical Services - Phoenix,,,,,,,,2016-05-12T03:26:39,STORET
21ARIZ_WQX,Arizona Department Of Environmental Quality,21ARIZ_WQX-90669RW-swdb,Sample-Routine,Water,Surface Water,2010-02-03,08:30:00,MST,,,,,,,,0,m,0,m,TMD,TMD,,21ARIZ_WQX-LCPRR024.69,"PUERCO RIVER - NEAR ADAMANA, AZ.",,,,,34.9791667000,-109.7950000000,AZDEQ SOPs,21ARIZ_WQX,AZDEQ Standard Operating Procedures,,Water Bottle,STORET-552211654,,,Escherichia coli,Total,670,cfu/100mL,,Final,,Actual,,,,,,,,,,Qualifier:   BACTERIA - MOST PROBABLE VALUE.  DILUTION - DILUTION FACTOR USED.,,,,,,,,,,FIELD,21ARIZ_WQX,FIELD PARAMETERS,,,Arizona Dept. Of Environmental Quality (Field),,,,,,,,2016-05-12T03:26:39,STORET
AZDEQ_SW,AZDEQ_SW,AZDEQ_SW-SW-90669.CHEM,Sample-Routine,Water,Surface Water,2010-02-03,08:30:00,MST,,,,,0,m,,,,,,2008,TMDL MONITORING,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_SW-1982,105128,Approved status: DOUG MCCARTY 25-OCT-10 12:00:00--- SAMPLE TAKEN: Migrated,,,,34.9791667000,-109.7950000000,Unknown,AZDEQ_SW,Unknown,,Miscellaneous (Other),STORET-862853303,,None,Stream width measure,Total,10,ft,J,Final,,Actual,,,,,,,,,,| QA FLAGS: J.,,,,,,,,,,FIELD,AZDEQ_SW,FIELD,,,ARIZONA DEPT. OF ENVIRONMENTAL QUALITY (FIELD),,,,,,,,2020-11-19T12:02:15,STORET
AZDEQ_SW,AZDEQ_SW,AZDEQ_SW-SW-90669.CHEM,Sample-Routine,Water,Surface Water,2010-02-03,08:30:00,MST,,,,,0,m,,,,,,2008,TMDL MONITORING,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_SW-1982,105128,Approved status: DOUG MCCARTY 25-OCT-10 12:00:00--- SAMPLE TAKEN: Migrated,,,,34.9791667000,-109.7950000000,Unknown,AZDEQ_SW,Unknown,,Miscellaneous (Other),STORET-862853306,Present Above Quantification Limit,None,Turbidity,Total,,,,Final,,Estimated,,,,,,,,,,,,,,,,,,,,FIELD,AZDEQ_SW,FIELD,,,ARIZONA DEPT. OF ENVIRONMENTAL QUALITY (FIELD),,,https://www.waterqualitydata.us/data/providers/STORET/organizations/AZDEQ_SW/activities/AZDEQ_SW-SW-90669.CHEM/results/862853306/resdetectqntlmts,Laboratory Reporting Level,1000,NTU,,2020-11-19T12:02:15,STORET
