OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-CA,USGS California Water Science Center,USGS-362438121165801,017S006E35H001M,Well,,18060005,,,,,36.41052778000000,-121.2826389000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,224,feet,5.4,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,053,,,,,,125,ft,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-362517121170401,017S006E26K001M,Well,,18060005,,,,,36.42127778000000,-121.2845000000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,269,feet,5.4,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,053,,,,,19790613,200,ft,200,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-362727121135701,017S007E17B001M,Well,,18060005,,,,,36.45750000000000,-121.2325000000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1610,feet,5.4,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,053,,,,,19850831,125,ft,125,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-362822121111501,BEAR GULCH RESERVOIR NR SAN BENTIO CA,"Lake, Reservoir, Impoundment",,18060005,,,,,36.47280556000000,-121.1875833000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1624,feet,5.4,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,069,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-362830121111201,017S007E02NS001M MOSES S,Spring,,18060005,,,,,36.47500000000000,-121.1866667000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1580,feet,20,feet,Interpolated from topographic map.,NGVD29,US,06,069,Other aquifers,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-362832121111201,017S007E02NS002M FERN CHAMBER,Spring,,18060005,,,,,36.47552778000000,-121.1865833000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1548,feet,5.4,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,069,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-362840121110801,017S007E02MS001M SPLIT R,Spring,,18060005,,,,,36.47777778000000,-121.1855556000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1430,feet,20,feet,Interpolated from topographic map.,NGVD29,US,06,069,Other aquifers,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-362841121134201,017S007E05J001M,Well,,18060005,,,,,36.47813889000000,-121.2282500000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1990,feet,5.4,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,069,,,,,20010917,425,ft,430,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-362851121092201,017S007E01J001M,Well,,18060005,,,,,36.48078889000000,-121.1560194000000,24000,Unknown,Unknown,GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System,NAD83,974.79,feet,0.5,feet,GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,06,069,,,,,,64,ft,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-362853121094601,017S007E01F002M,Well,,18060005,,,,,36.48127500000000,-121.1627028000000,24000,Unknown,Unknown,GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System,NAD83,969.08,feet,0.5,feet,GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,06,069,,,,,,20.5,ft,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-362854121094501,017S007E01F001M,Well,,18060005,,,,,36.48155000000000,-121.1624778000000,24000,Unknown,Unknown,GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System,NAD83,969.83,feet,0.5,feet,GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,06,069,,,,,,25.8,ft,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-362856121103801,017S007E02GS001M SUPERIN,Spring,,18060005,,,,,36.48222220000000,-121.1772222000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1390,feet,40,feet,Interpolated from topographic map.,NGVD29,US,06,069,Other aquifers,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-362857121093601,017S007E01G001M,Well,,18060005,,,,,36.48250000000000,-121.1600278000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,993,feet,5.4,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,069,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-362912121101101,017S007E01DS001M CHALONE,Spring,,18060005,,,,,36.48666667000000,-121.1697222000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1020,feet,20,feet,Interpolated from topographic map.,NGVD29,US,06,069,Other aquifers,,,,19370112,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-362920121122001,016S007E34NS001M OAK TRE,Spring,,18060005,,,,,36.48888889000000,-121.2055556000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1480,feet,20,feet,Interpolated from topographic map.,NGVD29,US,06,069,Other aquifers,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-362922121092301,016S007E36QS001M HIDDEN CYN SP,Spring,,18060005,,,,,36.48954167000000,-121.1564194000000,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,1146,feet,5.4,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,069,,,,,,,,,,NWIS
