OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-CO,USGS Colorado Water Science Center,USGS-06733000,"BIG THOMPSON RIVER AT ESTES PARK, CO.",Stream,,10190006,138,sq mi,,,40.37831704000000,-105.5138870000000,,5,seconds,Interpolated from MAP.,NAD83,7492.50,feet,15,feet,Interpolated from topographic map.,NGVD29,US,08,069,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09010160,COLORADO RIVER BLW LULU CITY SITE NR GRAND LAKE CO,Stream,,14010001,11.8,sq mi,11.8,sq mi,40.43838889000000,-105.8518056000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,9295,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,049,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09010500,"COLORADO RIVER BELOW BAKER GULCH NR GRAND LAKE, CO",Stream,,14010001,63.8,sq mi,,,40.32581784000000,-105.8566791000000,24000,1,seconds,Interpolated from MAP.,NAD83,8750,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,049,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09012400,"TONAHUTU CREEK NEAR GRAND LAKE, COLO.",Stream,,14010001,16.0,sq mi,,,40.26859610000000,-105.8194557000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,049,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09012500,"NORTH INLET AT GRAND LAKE, CO",Stream,,14010001,45.8,sq mi,,,40.25085000000000,-105.8144444000000,24000,1,seconds,Interpolated from MAP.,NAD83,8434.48,feet,15,feet,Level or other surveyed method.,NGVD29,US,08,049,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09013000,"ALVA B ADAMS TUN AT E PORTAL, NR ESTES PARK, CO.","Subsurface: Tunnel, shaft, or mine",,10190006,,,,,40.32762220000000,-105.5784306000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,8264,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,069,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09013500,"EAST INLET NEAR GRAND LAKE, CO.",Stream,,14010001,27.2,sq mi,,,40.23637409000000,-105.7983437000000,,5,seconds,Interpolated from MAP.,NAD83,8370.49,feet,15,feet,Interpolated from topographic map.,NGVD29,US,08,049,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09013900,"GRAND LAKE AT GRAND LAKE, CO.","Lake, Reservoir, Impoundment",,14010001,,,,,40.24333330000000,-105.8130556000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,049,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-401304105404801,EAST INLET ABOVE FOURTH LAKE AT RMNP,Stream,,14010001,,,,,40.21777778000000,-105.6800000000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,10440,feet,10,feet,Global Positioning System.,NGVD29,US,08,049,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-401326105414301,SPIRIT LAKE IN ROCKY MOUNTAIN NATIONAL PARK CO,"Lake, Reservoir, Impoundment",,14010001,,,,,40.22388889000000,-105.6952778000000,24000,1,seconds,Interpolated from MAP.,NAD83,10300,feet,5,feet,Interpolated from topographic map.,NGVD29,US,08,049,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-401334105443401,EAST INLET OF GRAND LAKE ABV PARADISE CREEK,Stream,,14010001,,,,,40.22611110000000,-105.7427778000000,24000,1,minutes,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,9390,feet,10,feet,Global Positioning System.,NGVD29,US,08,049,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-401355105435101,"LONE PINE LAKE OUTLET IN RMNP, CO","Lake, Reservoir, Impoundment",,14010001,,,,,40.23205000000000,-105.7307056000000,24000,1,minutes,Interpolated from Digital MAP.,NAD83,9867,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,049,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-401406105472701,"EAST INLET ABV ADAMS FALLS 3, NR GRAND LAKE, CO",Stream,,14010001,,,,,40.23491389000000,-105.7908833000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,8497,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,049,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-401407105462901,"EAST INLET ABV EAST MEADOW IN RMNP, CO",Stream,,14010001,,,,,40.23529167000000,-105.7746417000000,24000,1,minutes,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,8541,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,049,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-401411105470901,"EAST INLET ABV ADAMS FALLS 2, NR GRAND LAKE, CO",Stream,,14010001,,,,,40.23636110000000,-105.7859000000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,8533,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,049,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-401413105473701,"EAST INLET BLW EAST MEADOW, NR GRAND LAKE, CO",Stream,,14010001,,,,,40.23704720000000,-105.7936111000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,8492,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,049,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-401416105465301,"EAST INLET ABV ADAMS FALLS, NR GRAND LAKE, CO",Stream,,14010001,,,,,40.23764167000000,-105.7813389000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,8535,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,049,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-401428105481601,"GRAND LAKE NR ADAMS TUNNEL W. PORTAL, GRAND LK, CO","Lake, Reservoir, Impoundment",,14010001,,,,,40.24111110000000,-105.8044444000000,,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,08,049,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-401503105491101,"AQUA-SWIRL OUTLET AT GRAND LAKE, CO",Facility: Storm sewer,,14010001,,,,,40.25083330000000,-105.8197222000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,08,049,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-401503105491102,"STORMWATER OVERFLOW OUTLET AT GRAND LAKE, CO",Facility: Storm sewer,,14010001,,,,,40.25083330000000,-105.8197222000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,08,049,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-401523105430000,"LAKE NANITA, IN ROMO NATIONAL PARK","Lake, Reservoir, Impoundment",,14010001,,,,,40.25637380000000,-105.7172294000000,24000,3,seconds,Interpolated from MAP.,NAD83,10721,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,049,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-401525105473601,"NORTH INLET IN SUMMERLAND PARK 3 AT RMNP, CO",Stream,,14010001,,,,,40.25697500000000,-105.7933611000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,8498,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,049,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-401530105474801,"NORTH INLET IN SUMMERLAND PARK 4 AT RMNP, CO",Stream,,14010001,,,,,40.25838889000000,-105.7965972000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,8496,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,049,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-401530105475401,NORTH INLET BLW SUMMERLAND PARK AT RMNP,Stream,,14010001,28.4,sq mi,,,40.25750000000000,-105.7997222000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,8494,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,049,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-401534105473101,"NORTH INLET IN SUMMERLAND PARK 2 AT RMNP, CO",Stream,,14010001,,,,,40.25946110000000,-105.7919861000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,8501,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,049,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-401536105472301,"NORTH INLET IN SUMMERLAND PARK AT RMNP, CO",Stream,,14010001,,,,,40.26000000000000,-105.7897222000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,8507,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,049,,,,,,,,,,NWIS
