OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-AZ,USGS Arizona Water Science Center,AZ014-321321110450101,D-14-16 07CDC,Well,,15050302,,,,,32.22257639000000,-110.7509169000000,24000,1,seconds,Interpolated from MAP.,NAD83,2807,feet,5,feet,Interpolated from topographic map.,NGVD29,US,04,019,Basin and Range basin-fill aquifers,,,Unconfined single aquifer,19851116,800,ft,1000,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-320839110435301,JEREMY WASH NEAR OLD SPANISH TRAIL,Stream,,15050302,4.66,sq mi,,,32.14412500000000,-110.7313639000000,24000,.5,seconds,Interpolated from MAP.,NAD83,2896.,feet,20,feet,Interpolated from topographic map.,NAVD88,US,04,019,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-320847110431201,LOWER BOX CANYON BLW PARK BOUNDARY,Stream,,15050302,4.13,sq mi,,,32.14633333000000,-110.7198889000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2962.,feet,20,feet,Interpolated from topographic map.,NAVD88,US,04,019,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-320856110431001,"LOWER BOX CANYON IN SAGUARO NATL PARK EAST, AZ",Stream,,15050302,4.11,sq mi,4.11,sq mi,32.14888889000000,-110.7194167000000,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,2962,feet,5.4,feet,Interpolated from Digital Elevation Model,NAVD88,US,04,019,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-320907110360801,LOWER MADRONA CANYON POOL 2,Stream,,15050302,5.24,sq mi,,,32.15183333000000,-110.6023333000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3347.,feet,20,feet,Interpolated from topographic map.,NAVD88,US,04,019,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-320910110360901,LOWER MADRONA BELOW DAM,Stream,,15050302,5.19,sq mi,,,32.15280556000000,-110.6024722000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3369,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,04,019,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-320915110423101,BOX CANYON POOL 00,Stream,,15050302,0.2,sq mi,,,32.15425000000000,-110.7086667000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,04,019,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-320918110363001,LOWER CHIMENEA CANYON POOL 1M,Stream,,15050302,,,,,32.15506667000000,-110.6083944000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3460.,feet,20,feet,Interpolated from topographic map.,NAVD88,US,04,019,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-320920110422401,BOX CANYON S RIDGE 1,Land,,15050302,3.06,sq mi,,,32.15552778000000,-110.7068056000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,04,019,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-320922110361301,LOWER MADRONA CANYON EAST RIDGE,Land,,15050302,,,,,32.15625000000000,-110.6035556000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3460.,feet,20,feet,Interpolated from topographic map.,NAVD88,US,04,019,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-320923110423201,BOX CANYON DOWNSTREAM OF POOL 1,Stream,,15050302,3.36,sq mi,,,32.15643056000000,-110.7087889000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3100.,feet,20,feet,Interpolated from topographic map.,NAVD88,US,04,019,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-320926110422901,BOX CANYON POOL 1,Stream,,15050302,3.35,sq mi,,,32.15727778000000,-110.7080556000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3153,feet,5.4,feet,Interpolated from Digital Elevation Model,NAVD88,US,04,019,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-320929110422401,BOX CANYON POOL 1A,Stream,,15050302,3.27,sq mi,,,32.15816667000000,-110.7065833000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,04,019,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-320935110421301,BOX CANYON POOL 4A,Stream,,15050302,3.20,sq mi,,,32.15980556000000,-110.7035278000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,04,019,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-320945110415901,BOX CANYON POOL 6,Stream,,15050302,3.06,sq mi,,,32.16250000000000,-110.6996667000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,04,019,,,,,,,,,,NWIS
