OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,ActivityLocation/SourceMapScaleNumeric,ActivityLocation/HorizontalAccuracyMeasure/MeasureValue,ActivityLocation/HorizontalAccuracyMeasure/MeasureUnitCode,ActivityLocation/HorizontalCollectionMethodName,ActivityLocation/HorizontalCoordinateReferenceSystemDatumName,AssemblageSampledName,CollectionDuration/MeasureValue,CollectionDuration/MeasureUnitCode,SamplingComponentName,SamplingComponentPlaceInSeriesNumeric,ReachLengthMeasure/MeasureValue,ReachLengthMeasure/MeasureUnitCode,ReachWidthMeasure/MeasureValue,ReachWidthMeasure/MeasureUnitCode,PassCount,NetTypeName,NetSurfaceAreaMeasure/MeasureValue,NetSurfaceAreaMeasure/MeasureUnitCode,NetMeshSizeMeasure/MeasureValue,NetMeshSizeMeasure/MeasureUnitCode,BoatSpeedMeasure/MeasureValue,BoatSpeedMeasure/MeasureUnitCode,CurrentSpeedMeasure/MeasureValue,CurrentSpeedMeasure/MeasureUnitCode,ToxicityTestType,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodQualifierTypeName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,SampleCollectionMethod/SampleCollectionEquipmentCommentText,SamplePreparationMethod/MethodIdentifier,SamplePreparationMethod/MethodIdentifierContext,SamplePreparationMethod/MethodName,SamplePreparationMethod/MethodQualifierTypeName,SamplePreparationMethod/MethodDescriptionText,SampleContainerTypeName,SampleContainerColorName,ChemicalPreservativeUsedName,ThermalPreservativeUsedName,SampleTransportStorageDescription,DataLoggerLine,ResultDetectionConditionText,MethodSpecificationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,DataQuality/BiasValue,ConfidenceIntervalValue,UpperConfidenceLimitValue,LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultSamplingPointName,BiologicalIntentName,BiologicalIndividualIdentifier,SubjectTaxonomicName,UnidentifiedSpeciesIdentifier,SampleTissueAnatomyName,GroupSummaryCountWeight/MeasureValue,GroupSummaryCountWeight/MeasureUnitCode,CellFormName,CellShapeName,HabitName,VoltismName,TaxonomicPollutionTolerance,TaxonomicPollutionToleranceScaleText,TrophicLevelName,FunctionalFeedingGroupName,TaxonomicDetailsCitation/ResourceTitleName,TaxonomicDetailsCitation/ResourceCreatorName,TaxonomicDetailsCitation/ResourceSubjectText,TaxonomicDetailsCitation/ResourcePublisherName,TaxonomicDetailsCitation/ResourceDate,TaxonomicDetailsCitation/ResourceIdentifier,FrequencyClassDescriptorCode,FrequencyClassDescriptorUnitCode,LowerClassBoundValue,UpperClassBoundValue,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,AnalysisStartTime/Time,AnalysisStartTime/TimeZoneCode,AnalysisEndDate,AnalysisEndTime/Time,AnalysisEndTime/TimeZoneCode,ResultLaboratoryCommentCode,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LaboratoryAccreditationIndicator,LaboratoryAccreditationAuthorityName,TaxonomistAccreditationIndicator,TaxonomistAccreditationAuthorityName,LabSamplePreparationMethod/MethodIdentifier,LabSamplePreparationMethod/MethodIdentifierContext,LabSamplePreparationMethod/MethodName,LabSamplePreparationMethod/MethodQualifierTypeName,LabSamplePreparationMethod/MethodDescriptionText,PreparationStartDate,PreparationStartTime/Time,PreparationStartTime/TimeZoneCode,PreparationEndDate,PreparationEndTime/Time,PreparationEndTime/TimeZoneCode,SubstitutionDilutionFactorNumeric,ProviderName
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-KICA_S036-OUT_2526_20150816_LAB_WTR_R0,Sample-Routine,Water,,2015-08-16,09:55:00,PST,2015-08-16,11:40:00,PST,Surface,,,,,,,,SIEN_LAKES,SIEN,11NPSWRD_WQX-KICA_S036-OUT,,,,,36.7305920000,-118.5174300000,,,,GPS-Unspecified,NAD83,,,,,,,,,,,,,,,,,,,,,SIEN_GRAB,11NPSWRD_WQX,Sierra Network Grab Sample Procedure,,Grab sample,Water Bottle,Simple non-integrated grab sample,,,,,,,,,,,,,,Chloride,Dissolved,3.53,umol/L,,Final,,Actual,,,,,,,,,,3 significant figure(s) of result.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.1,USEPA,Determination of Inorganic Anions in Drinking Water by Ion Chromatography,,https://www.nemi.gov/methods/method_summary/4674/,Kiowa Labs,2015-08-16,0001-01-01 10:08:00,PST,,,,,,Lower Quantitation Limit,0.5406,umol/L,,,,,,,,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-KICA_S036-OUT_2526_20150816_LAB_WTR_R0,Sample-Routine,Water,,2015-08-16,09:55:00,PST,2015-08-16,11:40:00,PST,Surface,,,,,,,,SIEN_LAKES,SIEN,11NPSWRD_WQX-KICA_S036-OUT,,,,,36.7305920000,-118.5174300000,,,,GPS-Unspecified,NAD83,,,,,,,,,,,,,,,,,,,,,SIEN_GRAB,11NPSWRD_WQX,Sierra Network Grab Sample Procedure,,Grab sample,Water Bottle,Simple non-integrated grab sample,,,,,,,,,,,,,as P,"Total Phosphorus, mixed forms",Dissolved,0.095,umol/L,,Final,,Actual,,,,,,,,,,3 significant figure(s) of result.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIEN_EPA_8270M,11NPSWRD_WQX,Modification of Semivolatile Organic Compounds by GC/MS,,,Kiowa Labs,2015-08-16,0001-01-01 10:08:00,PST,,,,,,Lower Quantitation Limit,0.0159,umol/L,,,,,,,,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-KICA_S036-OUT_2526_20150816_LAB_WTR_R0,Sample-Routine,Water,,2015-08-16,09:55:00,PST,2015-08-16,11:40:00,PST,Surface,,,,,,,,SIEN_LAKES,SIEN,11NPSWRD_WQX-KICA_S036-OUT,,,,,36.7305920000,-118.5174300000,,,,GPS-Unspecified,NAD83,,,,,,,,,,,,,,,,,,,,,SIEN_GRAB,11NPSWRD_WQX,Sierra Network Grab Sample Procedure,,Grab sample,Water Bottle,Simple non-integrated grab sample,,,,,,,,,,,,,,Total Particulate Carbon,Non-Filterable (Particle),202,ug/L,,Final,,Actual,,,,,28,,,,,3 significant figure(s) of result.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440(W),USEPA,440 W  ~ Determination of Carbon and Nitrogen,,,University of Maryland Center for Environmental Science Ches,2015-08-16,0001-01-01 10:08:00,PST,,,,,,Lower Quantitation Limit,201.294,ug/L,,,,,,,,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-KICA_S036-OUT_2526_20150816_LAB_WTR_R0,Sample-Routine,Water,,2015-08-16,09:55:00,PST,2015-08-16,11:40:00,PST,Surface,,,,,,,,SIEN_LAKES,SIEN,11NPSWRD_WQX-KICA_S036-OUT,,,,,36.7305920000,-118.5174300000,,,,GPS-Unspecified,NAD83,,,,,,,,,,,,,,,,,,,,,SIEN_GRAB,11NPSWRD_WQX,Sierra Network Grab Sample Procedure,,Grab sample,Water Bottle,Simple non-integrated grab sample,,,,,,,,,,,,,as N,Nitrate,Dissolved,4.82,umol/L,,Final,,Actual,,,,,,,,,,3 significant figure(s) of result.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.1,USEPA,Determination of Inorganic Anions in Drinking Water by Ion Chromatography,,https://www.nemi.gov/methods/method_summary/4674/,Kiowa Labs,2015-08-16,0001-01-01 10:08:00,PST,,,,,,Lower Quantitation Limit,0.0636,umol/L,,,,,,,,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-KICA_S036-OUT_2526_20150816_LAB_WTR_R0,Sample-Routine,Water,,2015-08-16,09:55:00,PST,2015-08-16,11:40:00,PST,Surface,,,,,,,,SIEN_LAKES,SIEN,11NPSWRD_WQX-KICA_S036-OUT,,,,,36.7305920000,-118.5174300000,,,,GPS-Unspecified,NAD83,,,,,,,,,,,,,,,,,,,,,SIEN_GRAB,11NPSWRD_WQX,Sierra Network Grab Sample Procedure,,Grab sample,Water Bottle,Simple non-integrated grab sample,,,,,,,,,,,,,,Sodium,Dissolved,20.11,umol/L,,Final,,Actual,,,,,,,,,,4 significant figure(s) of result.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.7,USEPA,Metals in Water by ICP-AES,,https://www.nemi.gov/methods/method_summary/4690/,Kiowa Labs,2015-08-16,0001-01-01 10:08:00,PST,,,,,,Lower Quantitation Limit,0.318,umol/L,,,,,,,,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-KICA_S036-OUT_2526_20150816_LAB_WTR_R0,Sample-Routine,Water,,2015-08-16,09:55:00,PST,2015-08-16,11:40:00,PST,Surface,,,,,,,,SIEN_LAKES,SIEN,11NPSWRD_WQX-KICA_S036-OUT,,,,,36.7305920000,-118.5174300000,,,,GPS-Unspecified,NAD83,,,,,,,,,,,,,,,,,,,,,SIEN_GRAB,11NPSWRD_WQX,Sierra Network Grab Sample Procedure,,Grab sample,Water Bottle,Simple non-integrated grab sample,,,,,,,,,,,,,,Potassium,Dissolved,5.77,umol/L,,Final,,Actual,,,,,,,,,,4 significant figure(s) of result.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.7,USEPA,Metals in Water by ICP-AES,,https://www.nemi.gov/methods/method_summary/4690/,Kiowa Labs,2015-08-16,0001-01-01 10:08:00,PST,,,,,,Lower Quantitation Limit,0.2862,umol/L,,,,,,,,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-KICA_S036-OUT_2526_20150816_LAB_WTR_R0,Sample-Routine,Water,,2015-08-16,09:55:00,PST,2015-08-16,11:40:00,PST,Surface,,,,,,,,SIEN_LAKES,SIEN,11NPSWRD_WQX-KICA_S036-OUT,,,,,36.7305920000,-118.5174300000,,,,GPS-Unspecified,NAD83,,,,,,,,,,,,,,,,,,,,,SIEN_GRAB,11NPSWRD_WQX,Sierra Network Grab Sample Procedure,,Grab sample,Water Bottle,Simple non-integrated grab sample,,,,,,,,,,,,Not Reported,,Specific conductance,None,,uS/cm,,Final,,Actual,,,25 Deg C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.1,USEPA,Conductance,,https://www.nemi.gov/methods/method_summary/5210/,Kiowa Labs,2015-08-16,0001-01-01 10:08:00,PST,,,,,,,,,,,,,,,,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-KICA_S036-OUT_2526_20150816_FLD_WTR_R0,Field Msr/Obs,Water,,2015-08-16,09:55:00,PST,2015-08-16,11:40:00,PST,Surface,,,,,,,,SIEN_LAKES,SIEN,11NPSWRD_WQX-KICA_S036-OUT,,,,,36.7305920000,-118.5174300000,,,,GPS-Unspecified,NAD83,,,,,,,,,,,,,,,,,,,,,SIEN_INSITU,11NPSWRD_WQX,Sierra Network In situ Measurements with Probe,,In situ measurement with probe,Probe/Sensor,Measurements made on site using a multiparameter sonde,,,,,,,,,,,,,,Specific conductance,None,6.4,uS/cm,,Final,,Actual,,,25 Deg C,,,,,,,2 significant figure(s) of result.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIEN_PROBE,11NPSWRD_WQX,SIEN Probe,,,,2015-08-16,0001-01-01 09:55:00,PST,,,,,,,,,,,,,,,,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-KICA_S036-OUT_2526_20150816_LAB_WTR_R0,Sample-Routine,Water,,2015-08-16,09:55:00,PST,2015-08-16,11:40:00,PST,Surface,,,,,,,,SIEN_LAKES,SIEN,11NPSWRD_WQX-KICA_S036-OUT,,,,,36.7305920000,-118.5174300000,,,,GPS-Unspecified,NAD83,,,,,,,,,,,,,,,,,,,,,SIEN_GRAB,11NPSWRD_WQX,Sierra Network Grab Sample Procedure,,Grab sample,Water Bottle,Simple non-integrated grab sample,,,,,,,,,,,,Not Reported,,pH,None,,None,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIEN_PROBE,11NPSWRD_WQX,SIEN Probe,,,Kiowa Labs,2015-08-16,0001-01-01 10:08:00,PST,,,,,,,,,,,,,,,,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-KICA_S036-OUT_2526_20150816_FLD_WTR_R0,Field Msr/Obs,Water,,2015-08-16,09:55:00,PST,2015-08-16,11:40:00,PST,Surface,,,,,,,,SIEN_LAKES,SIEN,11NPSWRD_WQX-KICA_S036-OUT,,,,,36.7305920000,-118.5174300000,,,,GPS-Unspecified,NAD83,,,,,,,,,,,,,,,,,,,,,SIEN_INSITU,11NPSWRD_WQX,Sierra Network In situ Measurements with Probe,,In situ measurement with probe,Probe/Sensor,Measurements made on site using a multiparameter sonde,,,,,,,,,,,,,,"Temperature, water",None,16.3,deg C,,Final,,Actual,,,,,,,,,,3 significant figure(s) of result.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIEN_PROBE,11NPSWRD_WQX,SIEN Probe,,,,2015-08-16,0001-01-01 09:55:00,PST,,,,,,,,,,,,,,,,,,,,,,,,,STORET
