OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-KICA_S036-OUT_2526_20150816_LAB_WTR_R0,Sample-Routine,Water,,2015-08-16,09:55:00,PST,2015-08-16,11:40:00,PST,Surface,,,,,,,,SIEN_LAKES,SIEN Lake Monitoring,SIEN,11NPSWRD_WQX-KICA_S036-OUT,Sphinx Lake Outlet,,,,,36.7305920000,-118.5174300000,SIEN_GRAB,11NPSWRD_WQX,Sierra Network Grab Sample Procedure,Grab sample,Water Bottle,STORET-993677786,,,Chloride,Dissolved,3.53,umol/L,,Final,,Actual,,,,,,,,,,3 significant figure(s) of result.,,,,,,,,,,300.1,USEPA,Determination of Inorganic Anions in Drinking Water by Ion Chromatography,,https://www.nemi.gov/methods/method_summary/4674/,Kiowa Labs,2015-08-16,,https://www.waterqualitydata.us/data/providers/STORET/organizations/11NPSWRD_WQX/activities/11NPSWRD_WQX-KICA_S036-OUT_2526_20150816_LAB_WTR_R0/results/993677786/resdetectqntlmts,Lower Quantitation Limit,0.5406,umol/L,,2023-11-17T17:00:46,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-KICA_S036-OUT_2526_20150816_LAB_WTR_R0,Sample-Routine,Water,,2015-08-16,09:55:00,PST,2015-08-16,11:40:00,PST,Surface,,,,,,,,SIEN_LAKES,SIEN Lake Monitoring,SIEN,11NPSWRD_WQX-KICA_S036-OUT,Sphinx Lake Outlet,,,,,36.7305920000,-118.5174300000,SIEN_GRAB,11NPSWRD_WQX,Sierra Network Grab Sample Procedure,Grab sample,Water Bottle,STORET-993677791,,as P,"Total Phosphorus, mixed forms",Dissolved,0.095,umol/L,,Final,,Actual,,,,,,,,,,3 significant figure(s) of result.,,,,,,,,,,SIEN_EPA_8270M,11NPSWRD_WQX,Modification of Semivolatile Organic Compounds by GC/MS,,,Kiowa Labs,2015-08-16,,https://www.waterqualitydata.us/data/providers/STORET/organizations/11NPSWRD_WQX/activities/11NPSWRD_WQX-KICA_S036-OUT_2526_20150816_LAB_WTR_R0/results/993677791/resdetectqntlmts,Lower Quantitation Limit,0.0159,umol/L,,2023-11-17T17:00:46,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-KICA_S036-OUT_2526_20150816_LAB_WTR_R0,Sample-Routine,Water,,2015-08-16,09:55:00,PST,2015-08-16,11:40:00,PST,Surface,,,,,,,,SIEN_LAKES,SIEN Lake Monitoring,SIEN,11NPSWRD_WQX-KICA_S036-OUT,Sphinx Lake Outlet,,,,,36.7305920000,-118.5174300000,SIEN_GRAB,11NPSWRD_WQX,Sierra Network Grab Sample Procedure,Grab sample,Water Bottle,STORET-993677790,,,Total Particulate Carbon,Non-Filterable (Particle),202,ug/L,,Final,,Actual,,,,,28,,,,,3 significant figure(s) of result.,,,,,,,,,,440(W),USEPA,440 W  ~ Determination of Carbon and Nitrogen,,,University of Maryland Center for Environmental Science Ches,2015-08-16,,https://www.waterqualitydata.us/data/providers/STORET/organizations/11NPSWRD_WQX/activities/11NPSWRD_WQX-KICA_S036-OUT_2526_20150816_LAB_WTR_R0/results/993677790/resdetectqntlmts,Lower Quantitation Limit,201.294,ug/L,,2023-11-17T17:00:46,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-KICA_S036-OUT_2526_20150816_LAB_WTR_R0,Sample-Routine,Water,,2015-08-16,09:55:00,PST,2015-08-16,11:40:00,PST,Surface,,,,,,,,SIEN_LAKES,SIEN Lake Monitoring,SIEN,11NPSWRD_WQX-KICA_S036-OUT,Sphinx Lake Outlet,,,,,36.7305920000,-118.5174300000,SIEN_GRAB,11NPSWRD_WQX,Sierra Network Grab Sample Procedure,Grab sample,Water Bottle,STORET-993677787,,as N,Nitrate,Dissolved,4.82,umol/L,,Final,,Actual,,,,,,,,,,3 significant figure(s) of result.,,,,,,,,,,300.1,USEPA,Determination of Inorganic Anions in Drinking Water by Ion Chromatography,,https://www.nemi.gov/methods/method_summary/4674/,Kiowa Labs,2015-08-16,,https://www.waterqualitydata.us/data/providers/STORET/organizations/11NPSWRD_WQX/activities/11NPSWRD_WQX-KICA_S036-OUT_2526_20150816_LAB_WTR_R0/results/993677787/resdetectqntlmts,Lower Quantitation Limit,0.0636,umol/L,,2023-11-17T17:00:46,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-KICA_S036-OUT_2526_20150816_LAB_WTR_R0,Sample-Routine,Water,,2015-08-16,09:55:00,PST,2015-08-16,11:40:00,PST,Surface,,,,,,,,SIEN_LAKES,SIEN Lake Monitoring,SIEN,11NPSWRD_WQX-KICA_S036-OUT,Sphinx Lake Outlet,,,,,36.7305920000,-118.5174300000,SIEN_GRAB,11NPSWRD_WQX,Sierra Network Grab Sample Procedure,Grab sample,Water Bottle,STORET-993677784,,,Sodium,Dissolved,20.11,umol/L,,Final,,Actual,,,,,,,,,,4 significant figure(s) of result.,,,,,,,,,,200.7,USEPA,Metals in Water by ICP-AES,,https://www.nemi.gov/methods/method_summary/4690/,Kiowa Labs,2015-08-16,,https://www.waterqualitydata.us/data/providers/STORET/organizations/11NPSWRD_WQX/activities/11NPSWRD_WQX-KICA_S036-OUT_2526_20150816_LAB_WTR_R0/results/993677784/resdetectqntlmts,Lower Quantitation Limit,0.318,umol/L,,2023-11-17T17:00:46,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-KICA_S036-OUT_2526_20150816_LAB_WTR_R0,Sample-Routine,Water,,2015-08-16,09:55:00,PST,2015-08-16,11:40:00,PST,Surface,,,,,,,,SIEN_LAKES,SIEN Lake Monitoring,SIEN,11NPSWRD_WQX-KICA_S036-OUT,Sphinx Lake Outlet,,,,,36.7305920000,-118.5174300000,SIEN_GRAB,11NPSWRD_WQX,Sierra Network Grab Sample Procedure,Grab sample,Water Bottle,STORET-993677783,,,Potassium,Dissolved,5.77,umol/L,,Final,,Actual,,,,,,,,,,4 significant figure(s) of result.,,,,,,,,,,200.7,USEPA,Metals in Water by ICP-AES,,https://www.nemi.gov/methods/method_summary/4690/,Kiowa Labs,2015-08-16,,https://www.waterqualitydata.us/data/providers/STORET/organizations/11NPSWRD_WQX/activities/11NPSWRD_WQX-KICA_S036-OUT_2526_20150816_LAB_WTR_R0/results/993677783/resdetectqntlmts,Lower Quantitation Limit,0.2862,umol/L,,2023-11-17T17:00:46,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-KICA_S036-OUT_2526_20150816_LAB_WTR_R0,Sample-Routine,Water,,2015-08-16,09:55:00,PST,2015-08-16,11:40:00,PST,Surface,,,,,,,,SIEN_LAKES,SIEN Lake Monitoring,SIEN,11NPSWRD_WQX-KICA_S036-OUT,Sphinx Lake Outlet,,,,,36.7305920000,-118.5174300000,SIEN_GRAB,11NPSWRD_WQX,Sierra Network Grab Sample Procedure,Grab sample,Water Bottle,STORET-993677781,Not Reported,,Specific conductance,None,,uS/cm,,Final,,Actual,,,25 Deg C,,,,,,,,,,,,,,,,,120.1,USEPA,Conductance,,https://www.nemi.gov/methods/method_summary/5210/,Kiowa Labs,2015-08-16,,,,,,,2023-11-17T17:00:46,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-KICA_S036-OUT_2526_20150816_FLD_WTR_R0,Field Msr/Obs,Water,,2015-08-16,09:55:00,PST,2015-08-16,11:40:00,PST,Surface,,,,,,,,SIEN_LAKES,SIEN Lake Monitoring,SIEN,11NPSWRD_WQX-KICA_S036-OUT,Sphinx Lake Outlet,,,,,36.7305920000,-118.5174300000,SIEN_INSITU,11NPSWRD_WQX,Sierra Network In situ Measurements with Probe,In situ measurement with probe,Probe/Sensor,STORET-993677780,,,Specific conductance,None,6.4,uS/cm,,Final,,Actual,,,25 Deg C,,,,,,,2 significant figure(s) of result.,,,,,,,,,,SIEN_PROBE,11NPSWRD_WQX,SIEN Probe,,,,2015-08-16,,,,,,,2023-11-17T17:00:44,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-KICA_S036-OUT_2526_20150816_LAB_WTR_R0,Sample-Routine,Water,,2015-08-16,09:55:00,PST,2015-08-16,11:40:00,PST,Surface,,,,,,,,SIEN_LAKES,SIEN Lake Monitoring,SIEN,11NPSWRD_WQX-KICA_S036-OUT,Sphinx Lake Outlet,,,,,36.7305920000,-118.5174300000,SIEN_GRAB,11NPSWRD_WQX,Sierra Network Grab Sample Procedure,Grab sample,Water Bottle,STORET-993677794,Not Reported,,pH,None,,None,,Final,,Actual,,,,,,,,,,,,,,,,,,,,SIEN_PROBE,11NPSWRD_WQX,SIEN Probe,,,Kiowa Labs,2015-08-16,,,,,,,2023-11-17T17:00:46,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-KICA_S036-OUT_2526_20150816_FLD_WTR_R0,Field Msr/Obs,Water,,2015-08-16,09:55:00,PST,2015-08-16,11:40:00,PST,Surface,,,,,,,,SIEN_LAKES,SIEN Lake Monitoring,SIEN,11NPSWRD_WQX-KICA_S036-OUT,Sphinx Lake Outlet,,,,,36.7305920000,-118.5174300000,SIEN_INSITU,11NPSWRD_WQX,Sierra Network In situ Measurements with Probe,In situ measurement with probe,Probe/Sensor,STORET-993677778,,,"Temperature, water",None,16.3,deg C,,Final,,Actual,,,,,,,,,,3 significant figure(s) of result.,,,,,,,,,,SIEN_PROBE,11NPSWRD_WQX,SIEN Probe,,,,2015-08-16,,,,,,,2023-11-17T17:00:44,STORET
