OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-CA,USGS California Water Science Center,USGS-11206800,MARBLE FORK KAWEAH R AB TOKOPAH FALLS NR KAWEAH CA,Stream,,18030007,7.35,sq mi,,,36.60855386000000,-118.6887086000000,24000,1,seconds,Interpolated from MAP.,NAD83,8400,feet,20,feet,Interpolated from topographic map.,NGVD29,US,06,107,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11206820,MARBLE FORK KAWEAH R AB HORSE C NR LODGEPOLE CA,Stream,,18030007,8.4,sq mi,,,36.61166667000000,-118.7016667000000,24000,Unknown,Unknown,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,7160,feet,20,feet,Interpolated from topographic map.,NGVD29,US,06,107,,,,,,,,,,NWIS
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-KICA_3P_SFK-HI,South Fork Kings River at State Highway 180 Terminus,River/Stream,"This station is at South Fork Kings River at State Highway 180 Terminus, near Kanawyers (old mining site).",18030010,,,,,36.7926293500,-118.5869358900,,,,GPS Code (Pseudo Range) Standard Position (SA Off),WGS84,,,,,,,US,06,019,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-KICA_3P_SFK-MID,South Fork Kings River Bridge,River/Stream,"This station is at South Fork Kings River Bridge. This site is at the bridge where Kings Canyon National Park Road splits off of State Highway 180, at the bridge with the gauge. The station is approximately 600 meters northwest of Sheep Campground in Cedar Grove.",18030010,,,,,36.7979990000,-118.6866529900,,,,GPS Code (Pseudo Range) Standard Position (SA Off),WGS84,,,,,,,US,06,019,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-KICA_3P_SFK_MR,South Fork Kings River Upstream of Muir Rock,River/Stream,This station is at South Fork Kings River upstream of Muir Rock. This site is approximately 200 meters south-southeast of the State Highway 180 terminus.,18030010,,,,,36.7932330000,-118.5820400000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),WGS84,,,,,,,US,06,019,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-KICA_S008,West Spur Vidette Outlet,River/Stream,,18030010,,,,,36.7517000000,-118.4170000000,0,,,GPS Code (Pseudo Range) Differential,WGS84,3088,m,,,GPS Code (Pseudo Range) Differential,OTHER,US,06,019,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-KICA_S008-OUT,West Spur Vidette Outlet,River/Stream,,18030010,,,,,36.7517000000,-118.4170000000,0,,,GPS Code (Pseudo Range) Differential,WGS84,3088,m,,,GPS Code (Pseudo Range) Differential,OTHER,US,06,019,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-KICA_S030,Upper Sheep Camp Outlet,River/Stream,,18030010,,,,,36.6771000000,-118.7100000000,0,,,Unknown,UNKWN,0,m,,,Other,OTHER,US,06,107,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-KICA_S030-OUT,Upper Sheep Camp Outlet,River/Stream,,18030010,,,,,36.6771000000,-118.7100000000,0,,,Unknown,UNKWN,0,m,,,Other,OTHER,US,06,107,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-KICA_S036,Sphinx Lake Outlet,River/Stream,,18030010,,,,,36.7306000000,-118.5170000000,0,,,GPS Code (Pseudo Range) Differential,WGS84,3205,m,,,Topographic Map Interpolation,OTHER,US,06,107,,,,,,,,,,STORET
