OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
21VASWCB,VIRGINIA DEPARTMENT OF ENVIRONMENTAL QUALITY,21VASWCB-2733733.FDTREC,Field Msr/Obs,Water,,2015-04-23,13:45:00,EST,2015-04-23,13:45:00,EST,,.3,m,,,,,,000002.RB,Ambient Water Quality Monitoring QAPP and SOP,DEQ,21VASWCB-3-RAP088.21,Just US of clearing at park boundary,,,,,38.4871000000,-78.4067000000,,,,,,STORET-461484364,,,"Temperature, water",Total,9.37,deg C,,Accepted,,Actual,,,,,,,,,,,,,,,,,,,,2550,APHA,Temperature of Water by Thermometer,,,,,,,,,,,2015-08-21T10:34:20,STORET
21VASWCB,VIRGINIA DEPARTMENT OF ENVIRONMENTAL QUALITY,21VASWCB-2733733.2,Sample-Routine,Water,Surface Water,2015-04-23,13:45:00,EST,2015-04-23,13:45:00,EST,,.3,m,,,,,,000002.RB,Ambient Water Quality Monitoring QAPP and SOP,DEQ,21VASWCB-3-RAP088.21,Just US of clearing at park boundary,,,,,38.4871000000,-78.4067000000,000002,21VASWCB,Ambient Water Quality Monitoring QAPP and SOP,,Water Sampler (Other),STORET-461484361,,as N,Kjeldahl nitrogen,Total,.02,mg/L,,Accepted,,Actual,,,,,,,,,,"Material analyzed for, but not detected.  Value stored is the limit of detection for the process in use.  In the case of species, undetermined sex.",,,,,,,,,,351.2,USEPA,351.2 ~ EPA; Total Kjeldahl Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/9626/,,,,,,,,,2015-08-21T10:34:20,STORET
21VASWCB,VIRGINIA DEPARTMENT OF ENVIRONMENTAL QUALITY,21VASWCB-2748457.FDTREC,Field Msr/Obs,Water,,2015-08-24,11:00:00,EST,2015-08-24,11:00:00,EST,,.3,m,,,,,,000002.RB,Ambient Water Quality Monitoring QAPP and SOP,DEQ,21VASWCB-3-RAP088.21,Just US of clearing at park boundary,,,,,38.4871000000,-78.4067000000,,,,,,STORET-531141839,,,Specific conductance,Total,22,uS/cm,,Accepted,,Actual,,,,,,,,,,,,,,,,,,,,120.1,USEPA,Conductance,,https://www.nemi.gov/methods/method_summary/5210/,,,,,,,,,2016-04-11T12:25:31,STORET
21VASWCB,VIRGINIA DEPARTMENT OF ENVIRONMENTAL QUALITY,21VASWCB-2748457.FDTREC,Field Msr/Obs,Water,,2015-08-24,11:00:00,EST,2015-08-24,11:00:00,EST,,.3,m,,,,,,000002.RB,Ambient Water Quality Monitoring QAPP and SOP,DEQ,21VASWCB-3-RAP088.21,Just US of clearing at park boundary,,,,,38.4871000000,-78.4067000000,,,,,,STORET-531141841,,,Dissolved oxygen (DO),Dissolved,100.6,%,,Accepted,,Actual,,,,,,,,,,,,,,,,,,,,2500-O G,21VASWCB,Oxygen by Membrane Electrode Method Standard Methods 20 ed,,,,,,,,,,,2016-04-11T12:25:31,STORET
21VASWCB,VIRGINIA DEPARTMENT OF ENVIRONMENTAL QUALITY,21VASWCB-2748457.1,Sample-Routine,Water,Surface Water,2015-08-24,11:00:00,EST,2015-08-24,11:00:00,EST,,.3,m,,,,,,000002.RB,Ambient Water Quality Monitoring QAPP and SOP,DEQ,21VASWCB-3-RAP088.21,Just US of clearing at park boundary,,,,,38.4871000000,-78.4067000000,000002,21VASWCB,Ambient Water Quality Monitoring QAPP and SOP,,Water Sampler (Other),STORET-531141206,,,Total solids,Total,27,mg/L,,Accepted,,Actual,,,,,,,,,,,,,,,,,,,,I3750,USDOI/USGS,Residue by Evaporation and Gravimetric,,https://www.nemi.gov/methods/method_summary/5493/,,,,,,,,,2016-04-11T12:24:42,STORET
21VASWCB,VIRGINIA DEPARTMENT OF ENVIRONMENTAL QUALITY,21VASWCB-2733733.1,Sample-Routine,Water,Surface Water,2015-04-23,13:45:00,EST,2015-04-23,13:45:00,EST,,.3,m,,,,,,000002.RB,Ambient Water Quality Monitoring QAPP and SOP,DEQ,21VASWCB-3-RAP088.21,Just US of clearing at park boundary,,,,,38.4871000000,-78.4067000000,000002,21VASWCB,Ambient Water Quality Monitoring QAPP and SOP,,Water Sampler (Other),STORET-461484358,,as N,Nitrogen,Total,.23,mg/L,,Accepted,,Actual,,,,,,,,,,,,,,,,,,,,4500-N-C,APHA,4500 N C ~ Persufate Method for Total Nitrogen,,,,,,,,,,,2015-08-21T10:34:20,STORET
21VASWCB,VIRGINIA DEPARTMENT OF ENVIRONMENTAL QUALITY,21VASWCB-2748457.3,Sample-Routine,Water,Surface Water,2015-08-24,11:00:00,EST,2015-08-24,11:00:00,EST,,.3,m,,,,,,000002.RB,Ambient Water Quality Monitoring QAPP and SOP,DEQ,21VASWCB-3-RAP088.21,Just US of clearing at park boundary,,,,,38.4871000000,-78.4067000000,000002,21VASWCB,Ambient Water Quality Monitoring QAPP and SOP,,Water Sampler (Other),STORET-531141831,,,"Hardness, Ca, Mg",Total,22,mg/L,,Accepted,,Actual,,,,,,,,,,,,,,,,,,,,2340C,APHA_SM20ED,2340 C ~ EDTA Titrimetric Method (Hardness),,,,,,,,,,,2016-04-11T12:25:30,STORET
21VASWCB,VIRGINIA DEPARTMENT OF ENVIRONMENTAL QUALITY,21VASWCB-2748457.FDTREC,Field Msr/Obs,Water,,2015-08-24,11:00:00,EST,2015-08-24,11:00:00,EST,,.3,m,,,,,,000002.RB,Ambient Water Quality Monitoring QAPP and SOP,DEQ,21VASWCB-3-RAP088.21,Just US of clearing at park boundary,,,,,38.4871000000,-78.4067000000,,,,,,STORET-531141842,,,pH,Total,6.2,None,,Accepted,,Actual,,,,,,,,,,,,,,,,,,,,4500-H+B,APHA,"4500 H+B ~ pH in Water by Potentiometry, pH Value in Water by Potentiometry Using a Standard Hydrogen Electrode",,https://www.nemi.gov/methods/method_summary/4707/,,,,,,,,,2016-04-11T12:25:31,STORET
21VASWCB,VIRGINIA DEPARTMENT OF ENVIRONMENTAL QUALITY,21VASWCB-2748457.1,Sample-Routine,Water,Surface Water,2015-08-24,11:00:00,EST,2015-08-24,11:00:00,EST,,.3,m,,,,,,000002.RB,Ambient Water Quality Monitoring QAPP and SOP,DEQ,21VASWCB-3-RAP088.21,Just US of clearing at park boundary,,,,,38.4871000000,-78.4067000000,000002,21VASWCB,Ambient Water Quality Monitoring QAPP and SOP,,Water Sampler (Other),STORET-531141204,,,Turbidity,Total,3.32,NTU,,Accepted,,Actual,,,,,,,,,,,,,,,,,,,,2130-B,APHA,2130 B ~ Nephelometric Method,,https://www.nemi.gov/methods/method_summary/9645/,,,,,,,,,2016-04-11T12:24:42,STORET
21VASWCB,VIRGINIA DEPARTMENT OF ENVIRONMENTAL QUALITY,21VASWCB-2733733.FDTREC,Field Msr/Obs,Water,,2015-04-23,13:45:00,EST,2015-04-23,13:45:00,EST,,.3,m,,,,,,000002.RB,Ambient Water Quality Monitoring QAPP and SOP,DEQ,21VASWCB-3-RAP088.21,Just US of clearing at park boundary,,,,,38.4871000000,-78.4067000000,,,,,,STORET-461484367,,,Dissolved oxygen (DO),Dissolved,11.68,mg/L,,Accepted,,Actual,,,,,,,,,,,,,,,,,,,,2500-O G,21VASWCB,Oxygen by Membrane Electrode Method Standard Methods 20 ed,,,,,,,,,,,2015-08-21T10:34:20,STORET
