OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-NY,USGS New York Water Science Center,USGS-382209078321401,AT 23072 ELK RUN VA,Stream,,02070005,,,,,38.36922778000000,-78.5374778000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,2460,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,51,165,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-382239078310501,AT 23073 S RIVER VA,Stream,,02080103,,,,,38.37774444000000,-78.5180944000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,2742,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,51,079,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-382526078284701,AT 23074 POCOSIN CR VA,Stream,,02080103,,,,,38.42392220000000,-78.4798500000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,2812,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,51,079,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-382637078281301,AT 23075 DEVILS DITCH VA,Stream,,02080103,,,,,38.44385556000000,-78.4704250000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,3094,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,51,079,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-382809078265301,AT 23076 UNNAMED INTERMITTENT TRIB TO CONWAY R VA,Stream,,02080103,,,,,38.46922778000000,-78.4482056000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,2743,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,51,113,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-382931078270101,AT 23077 UNNAMED INTERMIT TRIB TO E BR NAKED CR VA,Stream,,02070005,,,,,38.49221944000000,-78.4505056000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,3246,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,51,139,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-383004078261101,AT 23078 MILL PRONG VA,Stream,,02080103,,,,,38.50131944000000,-78.4366028000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,3020,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,51,113,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-383109078265001,AT 22024 HAWKSBILL CREEK VA,Stream,,02070005,,,,,38.51940830000000,-78.4474583000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,3029,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,51,139,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-383110078263601,AT 23079 HAWKSBILL CREEK VA,Stream,,02070005,,,,,38.51965830000000,-78.4435361000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,3307,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,51,139,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-383145078260201,AT 23080 LITTLE HAWKSBILLE CR VA,Stream,,02070005,,,,,38.52930556000000,-78.4341138900000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,3497,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,51,139,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-383319078230201,AT 23082 CEDAR RUN VA,Stream,,02080103,,,,,38.55532220000000,-78.3841278000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,3239,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,51,113,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-383327078231501,AT 21095 EAST HAWKSBILL CREEK VA,Stream,,02070005,,,,,38.55758610000000,-78.3877611000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,3272,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,51,139,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-383526078222501,AT 23083.5 UNNAMED INTERMIT TRIB TO ROBINSON R VA,Stream,,02080103,,,,,38.59068056000000,-78.3737528000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,3598,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,51,113,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-383550078224601,AT 23083 SOUTH FORK DRY RUN VA,Stream,,02070005,,,,,38.59730000000000,-78.3796917000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,3412,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,51,139,,,,,,,,,,NWIS
USGS-VA,USGS Virginia Water Science Center,USGS-0162906055,"BEAR LITHIA SPRING NEAR ELKTON, VA",Spring,,02070005,,,,,38.43566667000000,-78.6181388900000,24000,.1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,51,165,,,,,,,,,,NWIS
USGS-VA,USGS Virginia Water Science Center,USGS-382843078363101,42R  1,Well,,02070005,,,,,38.47862758000000,-78.6082817000000,24000,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1070.00,feet,20,feet,Interpolated from topographic map.,NGVD29,US,51,139,,,Conococheague Formation,,19830131,660.00,ft,660.00,ft,NWIS
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-SHEN_GR01,Conway River,River/Stream,"Upper Reach of Conway River    Access via Route 615 in Rapidan Wildlife Management Area (RWMA).    Tag #: 213  Tag tree description: 14"" DBH birch on left bank (looking downstream).",02080103,,,,,38.4532800000,-78.4356500000,24000,,,GPS-Unspecified,NAD83,1960,ft,,,Topographic Map Interpolation,SEALV,US,51,079,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-SHEN_GR02,Bootens Run,River/Stream,"Bootens Run.  This site is a tributary of the Conway River.  Site located just outside of Shenandoah National Park.    Tag #: 225  Tag tree description: 12"" DBH birch tree on right bank (looking downstream).",02080103,,,,,38.4468100000,-78.4354500000,24000,,,GPS-Unspecified,NAD83,1840,ft,,,Topographic Map Interpolation,SEALV,US,51,113,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-SHEN_GR03,Devils Ditch,River/Stream,"Devils Ditch    Tag #: 284  Tag tree description: 12"" DBH sycamore on left bank (looking downstream) where trail (Route 667) crosses.    Tributary of Conway River, which comes in from the west.  Access via Route 615 in Rapidan Wildlife Management Area (RWMA).  Waders are advisable for this site because crossing of Conway River is required to reach Route 667 and the site.",02080103,,,,,38.4303000000,-78.4358200000,24000,,,GPS-Unspecified,NAD83,1500,ft,,,Topographic Map Interpolation,SEALV,US,51,079,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-SHEN_GR04,Bush Mountain Stream,River/Stream,"Bush Mountain Stream    Tag #: 218  Tag tree: 8"" DBH birch tree on right bank looking downstream, next to tulip poplar that is Shenandoah National Park boundary tree.    Small tributary of the Conway River.  Access through Rapidan Wildlife Management Area (RWMA).  Must cross Conway River by foot to get to site location.  Sample at or above Shenandoah National Park boundary.  Four wheel drive is recommended, although not essential.",02080103,,,,,38.4452700000,-78.4372500000,24000,,,GPS-Unspecified,NAD83,1720,ft,,,Topographic Map Interpolation,SEALV,US,51,079,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-SHEN_GR05,Pocosin Hollow,River/Stream,"Pocosin Hollow above Middle River Road and Conway River.    Site located downstream of GR10, 25 yards above Middle River Road bridge and about 50 yards upstream of Conway River confluence.      Tag #: 732  Tag tree: 18"" DBH sycamore on right bank looking downstream (visible from Middle River Road bridge).",02080103,,,,,38.4040700000,-78.4400300000,24000,,,GPS-Unspecified,NAD83,1030,ft,,,Topographic Map Interpolation,SEALV,US,51,079,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-SHEN_GR06,Entry Run,River/Stream,"Entry Run in located in the Rapidan Wildlife Management Area (RWMA)    Tag #: 619  Tag tree: 15"" DBH sycamore on right bank, looking downstream",02080103,,,,,38.3797300000,-78.4638700000,24000,,,GPS-Unspecified,NAD83,1220,ft,,,Topographic Map Interpolation,SEALV,US,51,079,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-SHEN_GR07,South River,River/Stream,"South River at Shenandoah National Park boundary.    Site is located on eastern side of Shenandoah National Park (SHEN), at boundary of Park and Rapidan Wildlife Management Area (RWMA).    This site is accessible via South River Falls Picnic Area and South River fire road.     Tag #: 800  Tree: 18"" DBH poplar on left bank looking downstream, just above SHEN boundary.",02080103,,,,,38.3784700000,-78.4957900000,24000,,,GPS-Unspecified,NAD83,1950,ft,,,Topographic Map Interpolation,SEALV,US,51,079,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-SHEN_MA01,White Oak Canyon Run (upper),River/Stream,"Robinson River in White Oak Canyon above Tims River confluence.    Site located below first falls on White Oak Canyon Trail, and approximately 25 yards above Tims River.  Located near MA02.    Tag #: 701  Tag tree: Triple-trunked white birch tree on left bank, looking downstream.",02080103,,,,,38.5556400000,-78.3522900000,24000,,,GPS-Unspecified,NAD83,1530,ft,,,Topographic Map Interpolation,SEALV,US,51,113,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-SHEN_MA02,Tims River,River/Stream,"Tims River at Whiteoak Canyon   (formerly known as Negro Run - name was changed in 2017)    Northeastern tributary of Robinson River in Whiteoak Canyon.  Tims River flows into Robinson River approximately 100 yards below first major falls on Whiteoak Canyon Trail.  Located near MA01.     Tag #: 799  Tag tree: Over 30"" DBH poplar on right bank, looking downstream.",02080103,,,,,38.5560000000,-78.3520800000,24000,,,GPS-Unspecified,NAD83,1560,ft,,,Topographic Map Interpolation,SEALV,US,51,113,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-SHEN_MA03,Ragged Run,River/Stream,"Ragged Run at Shenandoah National Park boundary.    Land is posted at parking area - should get permission from landowners before proceeding.  For 2021 decadal sampling, TU volunteers secured permission on the spot when neighbors came to see why they were there.  Suggest obtaining permission in advance in the future.    Large rock fence near tag tree.    Tag #: 710  Tag tree: 10"" DBH locust tree on right bank looking downstream.  Tag tree has red blaze, indicating Park boundary.",02080103,,,,,38.5324600000,-78.2980700000,24000,,,GPS-Unspecified,NAD83,1130,ft,,,Topographic Map Interpolation,SEALV,US,51,113,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-SHEN_MA07,Cedar Run,River/Stream,"Cedar Run above Robinson River in Whiteoak Canyon.      Western tributary of Robinson River.    Significant flooding and incision/scarring at site and below.  Below site, the stream becomes braided with multiple channels.  Very wide and deep channel from flooding in the past.    Tag #: 798  Tag tree: 25"" DBH sycamore on left bank, looking downstream.",02080103,,,,,38.5401000000,-78.3510200000,24000,,,GPS-Unspecified,NAD83,1170,ft,,,Topographic Map Interpolation,SEALV,US,51,113,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-SHEN_MA10,Berry Hollow,River/Stream,"Berry Hollow, north of White Oak Canyon.    Northern tributary of Robinson River.    Evidence of flooding at stream site--high banks in some places with large boulders.      Tag #: 797  Tag tree: 25"" DBH poplar on left bank (looking downstream), next to large rock.  Tag placed 12"" above ground, on non-stream-facing side.  Upstream of large granite boulder, downstream of multiple tree falls.",02080103,,,,,38.5497200000,-78.3399800000,24000,,,GPS-Unspecified,NAD83,1540,ft,,,Topographic Map Interpolation,SEALV,US,51,113,,,,,,,,,,STORET
