OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-PR,USGS Puerto Rico Water Science Center,USGS-181951064472800,"ENIGHED WELL, ST. JOHN, USVI",Well,,21020001,,,,,18.32889868000000,-64.7908051000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,19.0,feet,.1,feet,Interpolated from Digital Elevation Model,NGVD29,US,78,020,,,,,,,,,,NWIS
USGS-PR,USGS Puerto Rico Water Science Center,USGS-182050064521800,"SS WELL, ST. THOMAS, USVI",Well,,21020001,,,,,18.34523195000000,-64.8712525900000,24000,1,seconds,Interpolated from MAP.,NAD83,20.0,feet,3,feet,Interpolated from topographic map.,NGVD29,US,78,030,,,,,,,,,,NWIS
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-VIIS_002,VIIS_DIL_002,Ocean,,,,,,,18.3682000000,-64.7172000000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,78,020,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-VIIS_004,VIIS_DIL_004,Ocean,,,,,,,18.3680000000,-64.7314000000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,78,020,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-VIIS_005,VIIS_DIL_005,Ocean,Dense Halophila stipulacea,,,,,,18.3653000000,-64.7309000000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,78,020,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-VIIS_006,VIIS_DIM_006,Ocean,,,,,,,18.3143000000,-64.7242000000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,78,020,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-VIIS_007,VIIS_DIM_007,Ocean,,,,,,,18.3660000000,-64.7067000000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,78,020,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-VIIS_008,VIIS_DIM_008,Ocean,,,,,,,18.3568000000,-64.7715000000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,78,020,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-VIIS_009,VIIS_DIM_009,Ocean,,,,,,,18.3513000000,-64.7828000000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,78,020,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-VIIS_010,VIIS_DIM_010,Ocean,,,,,,,18.2991000000,-64.7056000000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,78,020,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-VIIS_012,VIIS_DIM_012,Ocean,,,,,,,18.3116000000,-64.7261000000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,78,020,,,,,,,,,,STORET
