OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-MN,USGS Minnesota Water Science Center,USGS-05129160,"MOOSE RIVER BELOW NAT. FOR. RD 493 NEAR RAY, MN",Stream,,09030001,,,,,48.40730556000000,-92.7586389000000,,.1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,27,137,,,,,,,,,,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-05129282,"ASH RIVER AT CO. RD. 301 ABOVE ASH RIVER BAY, MN",Stream,,09030001,,,,,48.38477778000000,-92.8102778000000,,.1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,27,137,,,,,,,,,,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-482455092404301,"NAMAKAN LAKE, JUNCTION BAY, VOYAGEURS NP, MN","Lake, Reservoir, Impoundment",,09030001,,,,,48.41527778000000,-92.6786111000000,24000,Unknown,Unknown,Interpolated from Digital MAP.,NAD83,1113,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,27,137,,,,,,,,,,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-482506092474801,"KABETOGAMA LAKE, SULLIVAN BAY SE, VOYAGEURS NP, MN","Lake, Reservoir, Impoundment",,09030001,,,,,48.41833330000000,-92.7966667000000,24000,Unknown,Unknown,Interpolated from Digital MAP.,NAD83,1113,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,27,137,,,,,,,,,,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-482541092411601,NAMAKAN LAKE AT MCMANUS ISLAND,"Lake, Reservoir, Impoundment",,09030001,,,,,48.42802778000000,-92.6876944000000,,.1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,27,137,,,,,,,,,,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-482542092493701,"KABETOGAMA LK, SULLIVAN BAY NW, NR ASH RIVER, MN","Lake, Reservoir, Impoundment",,09030001,,,,,48.42833330000000,-92.8269444000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,27,137,,,,,,,,,,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-482553092404801,NAMAKAN LAKE AT WOLF PACK ISLANDS,"Lake, Reservoir, Impoundment",,09030001,,,,,48.43144440000000,-92.6797778000000,,.1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,27,137,,,,,,,,,,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-482556092521601,KABETOGAMA LAKE AT BLIND ASH BAY,"Lake, Reservoir, Impoundment",,09030001,,,,,48.43208330000000,-92.8709722000000,,.1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,27,137,,,,,,,,,,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-482603092453001,"NAMAKAN LAKE, MOOSE BAY, VOYAGEURS NP, MN","Lake, Reservoir, Impoundment",,09030001,,,,,48.43416667000000,-92.7583333000000,24000,Unknown,Unknown,Interpolated from Digital MAP.,NAD83,1113,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,27,137,,,,,,,,,,NWIS
USGS-MN,USGS Minnesota Water Science Center,USGS-482603092490501,KABETOGAMAM LAKE BELOW BOBLORE ISLAND,"Lake, Reservoir, Impoundment",,09030001,,,,,48.43427778000000,-92.8180833000000,,.1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,27,137,,,,,,,,,,NWIS
