OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-SD,USGS South Dakota Water Science Center,USGS-06402430,"BEAVER CREEK NEAR PRINGLE, SD",Stream,,10120109,45.6,sq mi,45.6,sq mi,43.58137177000000,-103.4765835000000,24000,1,minutes,Interpolated from MAP.,NAD83,4109.34,feet,10,feet,Interpolated from topographic map.,NAVD88,US,46,033,,,,,,,,,,NWIS
USGS-SD,USGS South Dakota Water Science Center,USGS-432632103285302,7S 5E14DDDA,Spring,,10120109,,,,,43.44220160000000,-103.4818623000000,24000,5,seconds,Interpolated from MAP.,NAD83,3493,feet,5.0,feet,Interpolated from topographic map.,NGVD29,US,46,047,,,,,,,,,,NWIS
USGS-SD,USGS South Dakota Water Science Center,USGS-432703103302801,7S 5E10DCBA,Spring,,10120109,,,,,43.45081250000000,-103.5082509000000,24000,10,seconds,Interpolated from MAP.,NAD83,3625,feet,5,feet,Interpolated from topographic map.,NGVD29,US,46,047,Paleozoic aquifers,,Madison Group (Upper and Lower Mississippian),,1995,,,,,NWIS
USGS-SD,USGS South Dakota Water Science Center,USGS-432744103293401,7S 5E 11BAAB,Spring,,10120109,,,,,43.46222220000000,-103.4927778000000,24000,5,seconds,Interpolated from MAP.,NAD83,3695,feet,1,feet,Interpolated from topographic map.,NGVD29,US,46,047,,,Minnelusa Formation (Permian and Pennsylvanian),,,,,,,NWIS
USGS-SD,USGS South Dakota Water Science Center,USGS-432849103283201,6S 5E36CDBB,Spring,,10120109,,,,,43.48052778000000,-103.4755833000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3749,feet,10,feet,Interpolated from topographic map.,NAVD88,US,46,033,,,Spearfish Formation (Triassic-Permian),,,,,,,NWIS
USGS-SD,USGS South Dakota Water Science Center,USGS-433056103322201,6S 5E21BCBC,Spring,,10120109,,,,,43.51553560000000,-103.5399170000000,24000,5,seconds,Interpolated from MAP.,NAD83,4240,feet,20,feet,Interpolated from topographic map.,NGVD29,US,46,033,Paleozoic aquifers,,Minnelusa Formation (Permian and Pennsylvanian),,,,,,,NWIS
USGS-SD,USGS South Dakota Water Science Center,USGS-433128103223401,6S 6E14CDB,Spring,,10120109,,,,,43.52442770000000,-103.3765850000000,24000,10,seconds,Interpolated from MAP.,NAD83,3470,feet,10,feet,Interpolated from topographic map.,NGVD29,US,46,033,Paleozoic aquifers,,Minnekahta Limestone,,,,,,,NWIS
USGS-SD,USGS South Dakota Water Science Center,USGS-433137103342101,6S 5E18CABD,Spring,,10120109,,,,,43.52705556000000,-103.5726667000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4522,feet,10,feet,Interpolated from topographic map.,NAVD88,US,46,033,,,Minnelusa Formation (Permian and Pennsylvanian),,,,,,,NWIS
USGS-SD,USGS South Dakota Water Science Center,USGS-433215103365801,6S 4E11CCDB,Well,,10120109,,,,,43.53658330000000,-103.6150000000000,24000,1,seconds,Interpolated from MAP.,NAD83,4668,feet,1,feet,Interpolated from topographic map.,NGVD29,US,46,033,,,Minnelusa Formation (Permian and Pennsylvanian),,19880310,340,ft,340,ft,NWIS
USGS-SD,USGS South Dakota Water Science Center,USGS-433258103270801,6S 6E 7BAAC,Spring,,10120109,,,,,43.54944444000000,-103.4522222000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3958,feet,10,feet,Interpolated from topographic map.,NGVD29,US,46,033,,,Minnelusa Formation (Permian and Pennsylvanian),Unconfined single aquifer,,,,,,NWIS
USGS-SD,USGS South Dakota Water Science Center,USGS-433302103281501,6S 5E12DBAB,Subsurface: Cave,,10120109,,,,,43.54859324000000,-103.4746393000000,24000,5,seconds,Interpolated from MAP.,NAD83,3626,feet,010,feet,Interpolated from topographic map.,NGVD29,US,46,033,Paleozoic aquifers,,Madison Group (Upper and Lower Mississippian),,,,,700,ft,NWIS
USGS-SD,USGS South Dakota Water Science Center,USGS-433302103281502,6S 5E12DBAB2,Subsurface: Cave,,10120109,,,,,43.54969720000000,-103.4775028000000,24000,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3696,feet,1,feet,Unknown.,NGVD29,US,46,033,Paleozoic aquifers,,Madison Group (Upper and Lower Mississippian),,,,,,,NWIS
USGS-SD,USGS South Dakota Water Science Center,USGS-433302103281508,6S 5E12DBAB8,Spring,,10120109,,,,,43.55493330000000,-103.4763389000000,24000,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3877,feet,1,feet,Unknown.,NGVD29,US,46,033,Paleozoic aquifers,,Madison Group (Upper and Lower Mississippian),,,,,,,NWIS
USGS-SD,USGS South Dakota Water Science Center,USGS-433302103281509,6S 5E12DBAB9,Spring,,10120109,,,,,43.55715000000000,-103.4790972000000,24000,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4010,feet,1,feet,Unknown.,NGVD29,US,46,033,Paleozoic aquifers,,Madison Group (Upper and Lower Mississippian),,,,,,,NWIS
USGS-SD,USGS South Dakota Water Science Center,USGS-433312103264701,6S 6E 6DCAA,Spring,,10120109,,,,,43.55333330000000,-103.4463889000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3884,feet,10,feet,Interpolated from topographic map.,NGVD29,US,46,033,,,Minnelusa Formation (Permian and Pennsylvanian),Unconfined single aquifer,,,,,,NWIS
USGS-SD,USGS South Dakota Water Science Center,USGS-433332103291801,6S 5E 2ACBD,Spring,,10120109,,,,,43.55888889000000,-103.4883333000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4363,feet,20,feet,Interpolated from topographic map.,NGVD29,US,46,033,,,Minnelusa Formation (Permian and Pennsylvanian),Unconfined single aquifer,,,,,,NWIS
USGS-SD,USGS South Dakota Water Science Center,USGS-433420103374901,005S04E34BDDB,Well,,10120109,,,,,43.57241667000000,-103.6302778000000,24000,1,seconds,Reported.,NAD83,4665,feet,10,feet,Interpolated from topographic map.,NAVD88,US,46,033,,,Minnelusa Formation (Permian and Pennsylvanian),,20030601,15,ft,15,ft,NWIS
USGS-SD,USGS South Dakota Water Science Center,USGS-433525103224401,5S 6E26BBCD,Spring,,10120109,,,,,43.59027778000000,-103.3788889000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3699,feet,10,feet,Interpolated from topographic map.,NGVD29,US,46,033,,,Spearfish Formation (Triassic-Permian),Unconfined single aquifer,,,,,,NWIS
USGS-SD,USGS South Dakota Water Science Center,USGS-433551103291901,5S 5E23DBCD,Spring,,10120109,,,,,43.59750000000000,-103.4886111000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4433,feet,20,feet,Interpolated from topographic map.,NGVD29,US,46,033,,,Precambrian Erathem,Unconfined single aquifer,,,,,,NWIS
USGS-SD,USGS South Dakota Water Science Center,USGS-433611103335801,5S 4E35DDBC,Spring,,10120109,,,,,43.56611110000000,-103.6027778000000,24000,5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4620,feet,20,feet,Interpolated from topographic map.,NGVD29,US,46,033,Paleozoic aquifers,,Minnelusa Formation (Permian and Pennsylvanian),,,,,,,NWIS
USGS-SD,USGS South Dakota Water Science Center,USGS-433635103354301,005S04E13CCAC,Well,,10120109,,,,,43.60980556000000,-103.5955278000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4977,feet,010,feet,Interpolated from topographic map.,NAVD88,US,46,033,,,Precambrian Erathem,,19830602,268,ft,268,ft,NWIS
USGS-SD,USGS South Dakota Water Science Center,USGS-433636103343901,005S05E18CCAC,Well,,10120109,,,,,43.61022220000000,-103.5775833000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4856,feet,10,feet,Interpolated from topographic map.,NAVD88,US,46,033,,,Precambrian Erathem,,19990105,55,ft,250,ft,NWIS
USGS-SD,USGS South Dakota Water Science Center,USGS-433658103332301,005S05E17BCDB,Well,,10120109,,,,,43.61625000000000,-103.5565278000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4781,feet,10,feet,Interpolated from topographic map.,NAVD88,US,46,033,,,Precambrian Erathem,,20020401,280,ft,280,ft,NWIS
USGS-SD,USGS South Dakota Water Science Center,USGS-433701103323401,5S 5E17ACDD,Well,,10120109,,,,,43.61705556000000,-103.5429167000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4684,feet,10,feet,Interpolated from topographic map.,NAVD88,US,46,033,,,Precambrian Erathem,,19910611,105,ft,105,ft,NWIS
USGS-SD,USGS South Dakota Water Science Center,USGS-433717103235401,5S 6E15BBAC,Spring,,10120109,,,,,43.62138889000000,-103.3983333000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4162,feet,10,feet,Interpolated from topographic map.,NGVD29,US,46,033,,,White River Formation or Group,Unconfined single aquifer,,,,,,NWIS
