OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-MD,USGS Maryland Water Science Center,USGS-01646500,"POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA",Stream,,02070008,11560,sq mi,,,38.94977778000000,-77.1276388900000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,37.20,feet,.1,feet,Interpolated from Digital Elevation Model,NAVD88,US,24,031,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01646580,"POTOMAC RIVER AT CHAIN BRIDGE, AT WASHINGTON, DC",Stream,,02070010,11570,sq mi,,,38.92955550000000,-77.1169232000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,51,013,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385059077145001,53U  45,Well,,02070010,,,,,38.85005556000000,-77.2463194000000,24000,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,358,feet,5,feet,Global Positioning System.,NGVD29,US,51,059,Piedmont and Blue Ridge crystalline-rock aquifers,,,,1961,105,ft,105,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385252077182501,52V22R,Well,,02070008,,,,,38.88138889000000,-77.3069444000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,430,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,51,059,Piedmont and Blue Ridge crystalline-rock aquifers,,,Unconfined single aquifer,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385305077162101,52V 24,Well,,02070010,,,,,38.88476667000000,-77.2724667000000,24000,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,351,feet,5,feet,Interpolated from topographic map.,NAVD88,US,51,059,Valley and Ridge aquifers,,Cambrian System,Unconfined single aquifer,20021114,46.15,ft,47,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385311077215001,52V 25,Well,,02070008,,,,,38.88633330000000,-77.3638833000000,24000,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,408,feet,5,feet,Interpolated from topographic map.,NAVD88,US,51,059,Valley and Ridge aquifers,,Lower Cambrian Series,Unconfined single aquifer,20021215,61.63,ft,65,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385425077165601,53 V  14R,Well,,02070008,,,,,38.90694444000000,-77.2822222000000,24000,1,seconds,Interpolated from MAP.,NAD83,410,feet,10,feet,Interpolated from topographic map.,NAVD88,US,51,059,Piedmont and Blue Ridge crystalline-rock aquifers,,,Unconfined single aquifer,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385604077053801,WW Ba  46,Well,,02070008,,,,,38.93444444000000,-77.0938888900000,24000,1,seconds,Interpolated from MAP.,NAD83,325,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,11,001,Piedmont and Blue Ridge crystalline-rock aquifers,,,Unconfined single aquifer,20051027,27.2,ft,27.4,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385605077053501,WW Ba  42,Well,,02070008,,,,,38.93491667000000,-77.0925277800000,24000,.1,seconds,Reported.,NAD83,370,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,11,001,Piedmont and Blue Ridge crystalline-rock aquifers,,Sykesville Formation,Unconfined single aquifer,20120314,98,ft,100,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385605077053502,WW Ba  43,Well,,02070008,,,,,38.93491667000000,-77.0925277800000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,371,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,11,001,Piedmont and Blue Ridge crystalline-rock aquifers,,Sykesville Formation,Unconfined multiple aquifer,20120815,124,ft,174.5,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385605077053503,WW Ba  44,Well,,02070008,,,,,38.93491667000000,-77.0925277800000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,371,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,11,001,Piedmont and Blue Ridge crystalline-rock aquifers,,Sykesville Formation,Unconfined multiple aquifer,20120815,152,ft,174.5,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385605077053901,SV-MP-02 35 to 44 ft,Well: Multiple wells,,02070008,,,,,38.93469444000000,-77.0940556000000,24000,.1,seconds,Interpolated from MAP.,NAD83,322,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,11,001,Piedmont and Blue Ridge crystalline-rock aquifers,,,Unconfined single aquifer,,44,ft,200,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385605077053902,SV-MP-02 49 to 54 ft,Well: Multiple wells,,02070008,,,,,38.93469444000000,-77.0940556000000,24000,.1,seconds,Interpolated from MAP.,NAD83,322,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,11,001,Piedmont and Blue Ridge crystalline-rock aquifers,,,Unconfined single aquifer,,54,ft,200,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385605077053903,SV-MP-02 56 to 71 ft,Well: Multiple wells,,02070008,,,,,38.93469444000000,-77.0940556000000,24000,.1,seconds,Interpolated from MAP.,NAD83,322,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,11,001,Piedmont and Blue Ridge crystalline-rock aquifers,,,Unconfined single aquifer,,71,ft,200,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385605077053904,SV-MP-02 73 to 77 ft,Well: Multiple wells,,02070008,,,,,38.93469444000000,-77.0940556000000,24000,.1,seconds,Interpolated from MAP.,NAD83,322,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,11,001,Piedmont and Blue Ridge crystalline-rock aquifers,,,Unconfined single aquifer,,77,ft,200,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385605077053905,SV-MP-02 96 to 102 ft,Well: Multiple wells,,02070008,,,,,38.93469444000000,-77.0940556000000,24000,.1,seconds,Interpolated from MAP.,NAD83,322,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,11,001,Piedmont and Blue Ridge crystalline-rock aquifers,,,Unconfined single aquifer,,102,ft,200,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385605077053906,SV-MP-02 105 to 114 ft,Well: Multiple wells,,02070008,,,,,38.93469444000000,-77.0940556000000,24000,.1,seconds,Interpolated from MAP.,NAD83,322,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,11,001,Piedmont and Blue Ridge crystalline-rock aquifers,,,Unconfined single aquifer,,114,ft,200,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385605077053907,SV-MP-02 123 to 129 ft,Well: Multiple wells,,02070008,,,,,38.93469444000000,-77.0940556000000,24000,.1,seconds,Interpolated from MAP.,NAD83,322,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,11,001,Piedmont and Blue Ridge crystalline-rock aquifers,,,Unconfined single aquifer,,129,ft,200,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385605077053908,SV-MP-02 145 to 160 ft,Well: Multiple wells,,02070008,,,,,38.93469444000000,-77.0940556000000,24000,.1,seconds,Interpolated from MAP.,NAD83,322,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,11,001,Piedmont and Blue Ridge crystalline-rock aquifers,,,Unconfined single aquifer,,160,ft,200,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385606077053301,WW Ba  40,Well,,02070008,,,,,38.93488889000000,-77.0926667000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,375.5,feet,2.5,feet,Reported method of determination.,NAVD88,US,11,001,Northern Atlantic Coastal Plain aquifer system,,,Unconfined single aquifer,20040901,47,ft,62,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385606077053302,WW Ba  41,Well,,02070008,,,,,38.93488889000000,-77.0926667000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,375.5,feet,2.5,feet,Reported method of determination.,NAVD88,US,11,001,Northern Atlantic Coastal Plain aquifer system,,,Unconfined single aquifer,20040901,62,ft,62,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385606077053901,WW Ba  45,Well,,02070008,,,,,38.93491667000000,-77.0941388900000,24000,.1,seconds,Interpolated from MAP.,NAD83,318,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,11,001,Piedmont and Blue Ridge crystalline-rock aquifers,,,Unconfined single aquifer,20051028,25.4,ft,25.6,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385609077055301,WW Ba 39,Well,,02070008,,,,,38.93583330000000,-77.0980556000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,253,feet,.1,feet,Interpolated from topographic map.,NAVD88,US,11,001,,,,Unconfined single aquifer,20100316,187,ft,187,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385644077061101,WW Ba  28,Well,,02070008,,,,,38.94555556000000,-77.1030556000000,24000,1,seconds,Interpolated from MAP.,NAD83,202.93,feet,.17,feet,Differentially corrected Global Positioning System.,NAVD88,US,11,001,Piedmont and Blue Ridge crystalline-rock aquifers,,Sykesville Formation,,19920715,100,ft,101,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385930077215901,52V 23,Well,,02070008,,,,,38.99171667000000,-77.3662667000000,24000,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,275,feet,5,feet,Interpolated from topographic map.,NAVD88,US,51,059,Early Mesozoic basin aquifers,,Jurassic System,Unconfined single aquifer,20021113,120.43,ft,121,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-390254077092901,MO Ef 61,Well,,02070008,,,,,39.04833330000000,-77.1580556000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,313,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,24,031,Piedmont and Blue Ridge crystalline-rock aquifers,,,Unconfined single aquifer,,,,,,NWIS
USGS-VA,USGS Virginia Water Science Center,USGS-0164425950,"HORSEPEN RUN AB HORSEPEN RUN TRIB NR HERNDON, VA",Stream,,02070008,1.19,sq mi,,,38.92259720000000,-77.4057722000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,305.63,feet,.01,feet,Differentially corrected Global Positioning System.,NAVD88,US,51,059,,,,,,,,,,NWIS
USGS-VA,USGS Virginia Water Science Center,USGS-01644343,"SUGARLAND RUN TRIB BL CRAYTON RD NR HERNDON, VA",Stream,,02070008,0.64,sq mi,,,38.99860278000000,-77.3606556000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,277.14,feet,.01,feet,Differentially corrected Global Positioning System.,NAVD88,US,51,059,,,,,,,,,,NWIS
