OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-CO,USGS Colorado Water Science Center,USGS-444303110304801,"CANYON SNOW SITE, WY",Land,,10070001,,,,,44.71750000000000,-110.5133333000000,24000,1,minutes,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,7904,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,56,029,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,USGS-06186500,Yellowstone River at Yellowstone Lk Outlet YNP,Stream,,10070001,995,sq mi,,,44.56709167000000,-110.3804056000000,,.1,seconds,Interpolated from Digital MAP.,NAD83,7727.77,feet,.01,feet,Level or other surveyed method.,NGVD29,US,56,039,,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-444147110270001,Lower Sour Creek,Stream,,10070001,,,,,44.69627778000000,-110.4499722000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,7715,feet,10,feet,Interpolated from topographic map.,NGVD29,US,56,029,,,,,,,,,,NWIS
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-YELL_1C,Pelican Creek,Lake,"Site 1C: Pelican Creek.  Start just east of Pelican Creek and work east along the shore.  Watch out for the sand bar coming off of the creek mouth.  These nets get hit hard by the wind so make sure you have enough weight attached, small 5lbs. won't do the trick.  550795 Easting     4933237 Northing",10070001,,,,,44.5506750000,-110.3604972220,,,,GPS-Unspecified,NAD83,2376,m,,,Other,SEALV,US,56,039,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-YELL_2A,Lake Outlet,Lake,"Site 2A: Lake Outlet.  Start just west of Yellowstone River outlet by old sewage hut (small brown building on shore in small patch of trees) and work west toward Ranger Station and convenience store.  These nets get hit hard by the wind so make sure you have enough weight attached, small 5lbs. won't do the trick.  548839 Easting     4933675 Northing",10070001,,,,,44.5547527800,-110.3850805560,,,,GPS-Unspecified,NAD83,2376,m,,,Other,SEALV,US,56,039,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-YELL_2B,Boathouse,Lake,Site 2B: Boathouse.  Start 100 meters west of old boathouse and work west towards marina.  547131 Easting     4932930 Northing,10070001,,,,,44.5481611100,-110.4066527780,,,,GPS-Unspecified,NAD83,2376,m,,,Other,SEALV,US,56,039,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-YELL_3A,Sand Point,Lake,Site 3A: Sand Point.  Start just north of Sand Point and work north along the shoreline.  This area drops off quickly.  Make sure to have 40 meter float lines for the deep ends.  These sets are usually set at a 45-degree angle to the shore.  Make sure shallow ends have enough weight so nets don't roll down the drop-off.  546869 Easting     4926854 Northing,10070001,,,,,44.4934805600,-110.4105027780,,,,GPS-Unspecified,NAD83,2376,m,,,Other,SEALV,US,56,039,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-YELL_4A,Arnica Creek,Lake,Site 4A: Arnica Creek.  Start just south of Arnica Creek (may  not be connected to lake but is just west of hard road to travel) and work west along high bank.  536555 Easting     4924293 Northing,10070001,,,,,44.4710222200,-110.5404027780,,,,GPS-Unspecified,NAD83,2376,m,,,Other,SEALV,US,56,039,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-YELL_YS600.5M,Yellowstone River at Artist Point Bridge,River/Stream,The watershed of the Yellowstone River at Artist Point includes much of the central and southern portions of Yellowstone National Park and portions of Teton National Forest.  The site is approximately 19.3 km from the north end of Yellowstone Lake and is located midway on the bridge that crosses the Yellowstone River just upstream of the upper and lower falls.,10070001,,,,,44.7081445200,-110.5028176800,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,2346.351,m,,,Precise Leveling-Bench Mark,NAVD88,US,56,029,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-YELL_YS616.4M,Yellowstone River at Fishing Bridge,River/Stream,"The watershed of the Yellowstone River at Fishing bridge includes much of the southeastern part of Yellowstone National Park and drains approximately 256,667.8 hectares of pristine forest and alpine meadows.  The sample location is in the vicinity of Lake Village and just north of Yellowstone Lake near the lake outlet at a USGS gaging station.",10070001,,,,,44.5666205000,-110.3819829600,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,2355,m,,,GPS Code (Pseudo Range) Standard Position (SA Off),SEALV,US,56,029,,,,,,,,,,STORET
