OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-YOSE_Y003-OUT_2581_20160824_LAB_WTR_R0,Sample-Routine,Water,,2016-08-24,07:45:00,PST,2016-08-24,12:00:00,PST,Surface,,,,,,,,SIEN_LAKES,SIEN Lake Monitoring,SIEN,11NPSWRD_WQX-YOSE_Y003-OUT,Ten Lakes Outlet,,,,,37.9017400000,-119.5295000000,SIEN_GRAB,11NPSWRD_WQX,Sierra Network Grab Sample Procedure,Grab sample,Water Bottle,STORET-993689004,,as P,"Total Phosphorus, mixed forms",Dissolved,0.080697224,umol/L,,Final,,Actual,,,,,,,,,,2 significant figure(s) of result.,,,,,,,,,,SIEN_EPA_8270M,11NPSWRD_WQX,Modification of Semivolatile Organic Compounds by GC/MS,,,Kiowa Labs,2016-08-24,,https://www.waterqualitydata.us/data/providers/STORET/organizations/11NPSWRD_WQX/activities/11NPSWRD_WQX-YOSE_Y003-OUT_2581_20160824_LAB_WTR_R0/results/993689004/resdetectqntlmts,Lower Quantitation Limit,0.0318,umol/L,,2023-11-17T17:23:58,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-YOSE_Y003-OUT_2581_20160824_LAB_WTR_R0,Sample-Routine,Water,,2016-08-24,07:45:00,PST,2016-08-24,12:00:00,PST,Surface,,,,,,,,SIEN_LAKES,SIEN Lake Monitoring,SIEN,11NPSWRD_WQX-YOSE_Y003-OUT,Ten Lakes Outlet,,,,,37.9017400000,-119.5295000000,SIEN_GRAB,11NPSWRD_WQX,Sierra Network Grab Sample Procedure,Grab sample,Water Bottle,STORET-993688994,Not Reported,,Specific conductance,None,,uS/cm,,Final,,Actual,,,25 Deg C,,,10,,,,,,,,,,,,,,120.1,USEPA,Conductance,,https://www.nemi.gov/methods/method_summary/5210/,Kiowa Labs,2016-08-24,,,,,,,2023-11-17T17:23:58,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-YOSE_Y003-OUT_2581_20160824_FLD_WTR_R0,Field Msr/Obs,Water,,2016-08-24,07:45:00,PST,2016-08-24,12:00:00,PST,Surface,,,,,,,,SIEN_LAKES,SIEN Lake Monitoring,SIEN,11NPSWRD_WQX-YOSE_Y003-OUT,Ten Lakes Outlet,,,,,37.9017400000,-119.5295000000,SIEN_INSITU,11NPSWRD_WQX,Sierra Network In situ Measurements with Probe,In situ measurement with probe,Probe/Sensor,STORET-993688991,,,"Temperature, water",None,17.7,deg C,,Final,,Actual,,,,,,,,,,3 significant figure(s) of result.,,,,,,,,,,SIEN_PROBE,11NPSWRD_WQX,SIEN Probe,,,,2016-08-24,,,,,,,2023-11-17T17:23:56,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-YOSE_Y003-OUT_2581_20160824_LAB_WTR_R0,Sample-Routine,Water,,2016-08-24,07:45:00,PST,2016-08-24,12:00:00,PST,Surface,,,,,,,,SIEN_LAKES,SIEN Lake Monitoring,SIEN,11NPSWRD_WQX-YOSE_Y003-OUT,Ten Lakes Outlet,,,,,37.9017400000,-119.5295000000,SIEN_GRAB,11NPSWRD_WQX,Sierra Network Grab Sample Procedure,Grab sample,Water Bottle,STORET-993689003,,,Total Particulate Carbon,Non-Filterable (Particle),319,ug/L,,Final,,Actual,,,,,,1,,,,3 significant figure(s) of result.,,,,,,,,,,440(W),USEPA,440 W  ~ Determination of Carbon and Nitrogen,,,University of Maryland Center for Environmental Science Ches,2016-08-24,,https://www.waterqualitydata.us/data/providers/STORET/organizations/11NPSWRD_WQX/activities/11NPSWRD_WQX-YOSE_Y003-OUT_2581_20160824_LAB_WTR_R0/results/993689003/resdetectqntlmts,Lower Quantitation Limit,201.294,ug/L,,2023-11-17T17:23:58,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-YOSE_Y003-OUT_2581_20160824_LAB_WTR_R0,Sample-Routine,Water,,2016-08-24,07:45:00,PST,2016-08-24,12:00:00,PST,Surface,,,,,,,,SIEN_LAKES,SIEN Lake Monitoring,SIEN,11NPSWRD_WQX-YOSE_Y003-OUT,Ten Lakes Outlet,,,,,37.9017400000,-119.5295000000,SIEN_GRAB,11NPSWRD_WQX,Sierra Network Grab Sample Procedure,Grab sample,Water Bottle,STORET-993688997,,,Sodium,Dissolved,18.0674923666,umol/L,,Final,,Actual,,,,,,,,,,3 significant figure(s) of result.,,,,,,,,,,200.7,USEPA,Metals in Water by ICP-AES,,https://www.nemi.gov/methods/method_summary/4690/,Kiowa Labs,2016-08-24,,https://www.waterqualitydata.us/data/providers/STORET/organizations/11NPSWRD_WQX/activities/11NPSWRD_WQX-YOSE_Y003-OUT_2581_20160824_LAB_WTR_R0/results/993688997/resdetectqntlmts,Lower Quantitation Limit,2.067,umol/L,,2023-11-17T17:23:58,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-YOSE_Y003-OUT_2581_20160824_LAB_WTR_R0,Sample-Routine,Water,,2016-08-24,07:45:00,PST,2016-08-24,12:00:00,PST,Surface,,,,,,,,SIEN_LAKES,SIEN Lake Monitoring,SIEN,11NPSWRD_WQX-YOSE_Y003-OUT,Ten Lakes Outlet,,,,,37.9017400000,-119.5295000000,SIEN_GRAB,11NPSWRD_WQX,Sierra Network Grab Sample Procedure,Grab sample,Water Bottle,STORET-993689002,,as N,Nitrogen,Non-Filterable (Particle),33.9,ug/L,,Final,,Actual,,,,,,1,,,,3 significant figure(s) of result.,,,,,,,,,,440(W),USEPA,440 W  ~ Determination of Carbon and Nitrogen,,,University of Maryland Center for Environmental Science Ches,2016-08-24,,https://www.waterqualitydata.us/data/providers/STORET/organizations/11NPSWRD_WQX/activities/11NPSWRD_WQX-YOSE_Y003-OUT_2581_20160824_LAB_WTR_R0/results/993689002/resdetectqntlmts,Lower Quantitation Limit,33.39,ug/L,,2023-11-17T17:23:58,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-YOSE_Y003-OUT_2581_20160824_LAB_WTR_R0,Sample-Routine,Water,,2016-08-24,07:45:00,PST,2016-08-24,12:00:00,PST,Surface,,,,,,,,SIEN_LAKES,SIEN Lake Monitoring,SIEN,11NPSWRD_WQX-YOSE_Y003-OUT,Ten Lakes Outlet,,,,,37.9017400000,-119.5295000000,SIEN_GRAB,11NPSWRD_WQX,Sierra Network Grab Sample Procedure,Grab sample,Water Bottle,STORET-993689006,Not Reported,,Gran acid neutralizing capacity,None,,ueq/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,SIEN_GRAN,11NPSWRD_WQX,SIEN Gran Titration,,,Kiowa Labs,2016-08-24,,,,,,,2023-11-17T17:23:58,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-YOSE_Y003-OUT_2581_20160824_LAB_WTR_R0,Sample-Routine,Water,,2016-08-24,07:45:00,PST,2016-08-24,12:00:00,PST,Surface,,,,,,,,SIEN_LAKES,SIEN Lake Monitoring,SIEN,11NPSWRD_WQX-YOSE_Y003-OUT,Ten Lakes Outlet,,,,,37.9017400000,-119.5295000000,SIEN_GRAB,11NPSWRD_WQX,Sierra Network Grab Sample Procedure,Grab sample,Water Bottle,STORET-993689008,,as N,Nitrogen,Dissolved,14.7834159705,umol/L,,Final,,Actual,,,,,,,,,,2 significant figure(s) of result.,,,,,,,,,,SIEN_VALD,11NPSWRD_WQX,Valderrama Digestion followed by EPA Method 365.5,,,Kiowa Labs,2016-08-24,,https://www.waterqualitydata.us/data/providers/STORET/organizations/11NPSWRD_WQX/activities/11NPSWRD_WQX-YOSE_Y003-OUT_2581_20160824_LAB_WTR_R0/results/993689008/resdetectqntlmts,Lower Quantitation Limit,4.5474,umol/L,,2023-11-17T17:23:58,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-YOSE_Y003-OUT_2581_20160824_LAB_WTR_R0,Sample-Routine,Water,,2016-08-24,07:45:00,PST,2016-08-24,12:00:00,PST,Surface,,,,,,,,SIEN_LAKES,SIEN Lake Monitoring,SIEN,11NPSWRD_WQX-YOSE_Y003-OUT,Ten Lakes Outlet,,,,,37.9017400000,-119.5295000000,SIEN_GRAB,11NPSWRD_WQX,Sierra Network Grab Sample Procedure,Grab sample,Water Bottle,STORET-993689005,Detected Not Quantified,as P,"Total Phosphorus, mixed forms",Non-Filterable (Particle),,umol/L,,Final,,Actual,,,,,,1.01,,,,,,,,,,,,,,SIEN_EPA_8270M,11NPSWRD_WQX,Modification of Semivolatile Organic Compounds by GC/MS,,,University of Maryland Center for Environmental Science Ches,2016-08-24,,https://www.waterqualitydata.us/data/providers/STORET/organizations/11NPSWRD_WQX/activities/11NPSWRD_WQX-YOSE_Y003-OUT_2581_20160824_LAB_WTR_R0/results/993689005/resdetectqntlmts,Lower Quantitation Limit,0.2226,umol/L,,2023-11-17T17:23:58,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-YOSE_Y003-OUT_2581_20160824_LAB_WTR_R0,Sample-Routine,Water,,2016-08-24,07:45:00,PST,2016-08-24,12:00:00,PST,Surface,,,,,,,,SIEN_LAKES,SIEN Lake Monitoring,SIEN,11NPSWRD_WQX-YOSE_Y003-OUT,Ten Lakes Outlet,,,,,37.9017400000,-119.5295000000,SIEN_GRAB,11NPSWRD_WQX,Sierra Network Grab Sample Procedure,Grab sample,Water Bottle,STORET-993689007,Not Reported,,pH,None,,None,,Final,,Actual,,,,,,10,,,,,,,,,,,,,,SIEN_PROBE,11NPSWRD_WQX,SIEN Probe,,,Kiowa Labs,2016-08-24,,,,,,,2023-11-17T17:23:58,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-YOSE_Y003-OUT_2581_20160824_LAB_WTR_R0,Sample-Routine,Water,,2016-08-24,07:45:00,PST,2016-08-24,12:00:00,PST,Surface,,,,,,,,SIEN_LAKES,SIEN Lake Monitoring,SIEN,11NPSWRD_WQX-YOSE_Y003-OUT,Ten Lakes Outlet,,,,,37.9017400000,-119.5295000000,SIEN_GRAB,11NPSWRD_WQX,Sierra Network Grab Sample Procedure,Grab sample,Water Bottle,STORET-993688998,,,Calcium,Dissolved,9.0021154408,umol/L,,Final,,Actual,,,,,,,,,,3 significant figure(s) of result.,,,,,,,,,,200.7,USEPA,Metals in Water by ICP-AES,,https://www.nemi.gov/methods/method_summary/4690/,Kiowa Labs,2016-08-24,,https://www.waterqualitydata.us/data/providers/STORET/organizations/11NPSWRD_WQX/activities/11NPSWRD_WQX-YOSE_Y003-OUT_2581_20160824_LAB_WTR_R0/results/993688998/resdetectqntlmts,Lower Quantitation Limit,0.795,umol/L,,2023-11-17T17:23:58,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-YOSE_Y003-OUT_2581_20160824_LAB_WTR_R0,Sample-Routine,Water,,2016-08-24,07:45:00,PST,2016-08-24,12:00:00,PST,Surface,,,,,,,,SIEN_LAKES,SIEN Lake Monitoring,SIEN,11NPSWRD_WQX-YOSE_Y003-OUT,Ten Lakes Outlet,,,,,37.9017400000,-119.5295000000,SIEN_GRAB,11NPSWRD_WQX,Sierra Network Grab Sample Procedure,Grab sample,Water Bottle,STORET-993689001,,,Sulfate,Dissolved,2.8351113124,umol/L,,Final,,Actual,,,,,,,,,,2 significant figure(s) of result.,,,,,,,,,,300.1,USEPA,Determination of Inorganic Anions in Drinking Water by Ion Chromatography,,https://www.nemi.gov/methods/method_summary/4674/,Kiowa Labs,2016-08-24,,https://www.waterqualitydata.us/data/providers/STORET/organizations/11NPSWRD_WQX/activities/11NPSWRD_WQX-YOSE_Y003-OUT_2581_20160824_LAB_WTR_R0/results/993689001/resdetectqntlmts,Lower Quantitation Limit,0.3816,umol/L,,2023-11-17T17:23:58,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-YOSE_Y003-OUT_2581_20160824_FLD_WTR_R0,Field Msr/Obs,Water,,2016-08-24,07:45:00,PST,2016-08-24,12:00:00,PST,Surface,,,,,,,,SIEN_LAKES,SIEN Lake Monitoring,SIEN,11NPSWRD_WQX-YOSE_Y003-OUT,Ten Lakes Outlet,,,,,37.9017400000,-119.5295000000,SIEN_INSITU,11NPSWRD_WQX,Sierra Network In situ Measurements with Probe,In situ measurement with probe,Probe/Sensor,STORET-993688993,,,Specific conductance,None,4.1,uS/cm,,Final,,Actual,,,25 Deg C,,,,,,,2 significant figure(s) of result.,,,,,,,,,,SIEN_PROBE,11NPSWRD_WQX,SIEN Probe,,,,2016-08-24,,,,,,,2023-11-17T17:23:56,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-YOSE_Y003-OUT_2581_20160824_LAB_WTR_R0,Sample-Routine,Water,,2016-08-24,07:45:00,PST,2016-08-24,12:00:00,PST,Surface,,,,,,,,SIEN_LAKES,SIEN Lake Monitoring,SIEN,11NPSWRD_WQX-YOSE_Y003-OUT,Ten Lakes Outlet,,,,,37.9017400000,-119.5295000000,SIEN_GRAB,11NPSWRD_WQX,Sierra Network Grab Sample Procedure,Grab sample,Water Bottle,STORET-993688999,,,Chloride,Dissolved,1.8186233628,umol/L,,Final,,Actual,,,,,,,,,,2 significant figure(s) of result.,,,,,,,,,,300.1,USEPA,Determination of Inorganic Anions in Drinking Water by Ion Chromatography,,https://www.nemi.gov/methods/method_summary/4674/,Kiowa Labs,2016-08-24,,https://www.waterqualitydata.us/data/providers/STORET/organizations/11NPSWRD_WQX/activities/11NPSWRD_WQX-YOSE_Y003-OUT_2581_20160824_LAB_WTR_R0/results/993688999/resdetectqntlmts,Lower Quantitation Limit,1.7808,umol/L,,2023-11-17T17:23:58,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-YOSE_Y003-OUT_2581_20160824_LAB_WTR_R0,Sample-Routine,Water,,2016-08-24,07:45:00,PST,2016-08-24,12:00:00,PST,Surface,,,,,,,,SIEN_LAKES,SIEN Lake Monitoring,SIEN,11NPSWRD_WQX-YOSE_Y003-OUT,Ten Lakes Outlet,,,,,37.9017400000,-119.5295000000,SIEN_GRAB,11NPSWRD_WQX,Sierra Network Grab Sample Procedure,Grab sample,Water Bottle,STORET-993688996,,,Potassium,Dissolved,2.4823838568,umol/L,,Final,,Actual,,,,,,,,,,2 significant figure(s) of result.,,,,,,,,,,200.7,USEPA,Metals in Water by ICP-AES,,https://www.nemi.gov/methods/method_summary/4690/,Kiowa Labs,2016-08-24,,https://www.waterqualitydata.us/data/providers/STORET/organizations/11NPSWRD_WQX/activities/11NPSWRD_WQX-YOSE_Y003-OUT_2581_20160824_LAB_WTR_R0/results/993688996/resdetectqntlmts,Lower Quantitation Limit,0.7314,umol/L,,2023-11-17T17:23:58,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-YOSE_Y003-OUT_2581_20160824_FLD_WTR_R0,Field Msr/Obs,Water,,2016-08-24,07:45:00,PST,2016-08-24,12:00:00,PST,Surface,,,,,,,,SIEN_LAKES,SIEN Lake Monitoring,SIEN,11NPSWRD_WQX-YOSE_Y003-OUT,Ten Lakes Outlet,,,,,37.9017400000,-119.5295000000,SIEN_INSITU,11NPSWRD_WQX,Sierra Network In situ Measurements with Probe,In situ measurement with probe,Probe/Sensor,STORET-993688992,,,Dissolved oxygen (DO),None,6.07,mg/L,,Final,,Actual,,,,,,,,,,3 significant figure(s) of result.,,,,,,,,,,SIEN_PROBE,11NPSWRD_WQX,SIEN Probe,,,,2016-08-24,,,,,,,2023-11-17T17:23:56,STORET
