OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-CA,USGS California Water Science Center,USGS-11264500,MERCED R A HAPPY ISLES BRIDGE NR YOSEMITE CA,Stream,,18040008,181,sq mi,,,37.73131496000000,-119.5590514000000,24000,1,seconds,Interpolated from MAP.,NAD83,4030,feet,20,feet,Interpolated from topographic map.,NGVD29,US,06,043,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11265000,TENAYA C NR YOSEMITE VILLAGE CA,Stream,,18040008,46.9,sq mi,,,37.74214770000000,-119.5579409000000,,5,seconds,Interpolated from MAP.,NAD83,4000.00,feet,20,feet,Interpolated from topographic map.,NGVD29,US,06,043,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11274790,TUOLUMNE R A GRAND CYN OF TUOLUMNE AB HETCH HETCHY,Stream,,18040009,301,sq mi,,,37.91658840000000,-119.6598938000000,24000,1,seconds,Interpolated from MAP.,NAD83,3830,feet,20,feet,Interpolated from topographic map.,NGVD29,US,06,109,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11279400,SMOKEY JACK C A SMOKEY JACK CG NR YOSEMITE CA,Stream,,18040009,4.15,sq mi,,,37.81659056000000,-119.7123949000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,109,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-374433119262601,MERCED R BL ECHO C NR YOSEMITE VILLAGE CA,Stream,,18040008,,,,,37.74250000000000,-119.4405556000000,24000,5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,7032,feet,6,feet,Global Positioning System.,NAVD88,US,06,043,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-374433119301301,SUNRISE C NR YOSEMITE VILLAGE CA,Stream,,18040008,,,,,37.74250000000000,-119.5036110000000,24000,5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,7126,feet,30,feet,Global Positioning System.,NAVD88,US,06,043,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-374500119354501,YOSEMITE C BL LO YOSEMITE FALLS A YOSEMITE VILLAGE,Stream,,18040008,,,,,37.75000000000000,-119.5958333000000,24000,5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4000,feet,20,feet,Global Positioning System.,NAVD88,US,06,043,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-374531119354701,YOSEMITE C AB UP YOSEMITE FALLS A YOSEMITE VILLAGE,Stream,,18040008,,,,,37.75861110000000,-119.5963889000000,24000,5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,6591,feet,9,feet,Global Positioning System.,NAVD88,US,06,043,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-374534119315200,TENAYA C NR HALF DOME AB MIRROR LK CA,Stream,,18040008,,,,,37.75936930000000,-119.5321069000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,06,043,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-374615119322101,SNOW C BLW FOOTBRIDGE NR YOSEMITE VILLAGE CA,Stream,,18040008,,,,,37.77083330000000,-119.5391667000000,24000,5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,6634,feet,33,feet,Global Positioning System.,NAVD88,US,06,043,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-374740119253800,LONG MDW C TRIB NR SUNRISE HSC CA,Stream,,18040008,,,,,37.79437015000000,-119.4282133000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,06,043,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-374838119255000,LONG MDW C AB SUNRISE HSC CA,Stream,,18040008,,,,,37.81048086000000,-119.4315472000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,06,043,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-374954119294801,SNOW C BL SNOW FLAT MEADOW NR YOSEMITE VILLAGE CA,Stream,,18040008,,,,,37.83166667000000,-119.4966667000000,24000,5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,8641,feet,20,feet,Global Positioning System.,NAVD88,US,06,043,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-374955119273500,TENAYA LK CA,"Lake, Reservoir, Impoundment",,18040008,,,,,37.83186870000000,-119.4607160000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,06,043,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-375000119294401,SNOW C AB SNOW FLAT MEADOW NR YOSEMITE VILLAGE CA,Stream,,18040008,,,,,37.83333330000000,-119.4955556000000,24000,5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,8623,feet,25,feet,Global Positioning System.,NAVD88,US,06,043,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-375045119292900,MAY LK CA,"Lake, Reservoir, Impoundment",,18040008,,,,,37.84575675000000,-119.4923847000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,06,043,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-375137119242201,CATHEDRAL SPR1 NR TUOLUMNE MEADOWS CA,Spring,,18040009,,,,,37.85989444000000,-119.4061778000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,9372,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,109,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-375137119242202,CATHEDRAL SPR2 NR TUOLUMNE MEADOWS CA,Spring,,18040009,,,,,37.86014720000000,-119.4060778000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,9337,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,109,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-375141119241901,CATHEDRAL SP AB JOHN MUIR TR NR TUOLUMNE MEADOWS,Spring,,18040009,,,,,37.86138889000000,-119.4052778000000,24000,10,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,9210,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,109,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-375143119241901,CATHEDRAL SP BL JOHN MUIR TR NR TUOLUMNE MEADOWS,Spring,,18040009,,,,,37.86250000000000,-119.4051528000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,9156,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,109,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-375144119241601,CATHEDRAL C AB JOHN MUIR TRAIL NR TUOLUMNE MEADOWS,Stream,,18040009,,,,,37.86222220000000,-119.4044444000000,24000,10,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,9145,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,109,,,,,,,,,,NWIS
