OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-UT,USGS Utah Water Science Center,USGS-09405500,"NORTH FORK VIRGIN RIVER NEAR SPRINGDALE, UT",Stream,,15010008,344,sq mi,,,37.20970460000000,-112.9785512000000,,5,seconds,Interpolated from MAP.,NAD83,3957.92,feet,.24,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,49,053,,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-371529112564801,"THE GROTTO, ZION NP, UT",Spring,,15010008,,,,,37.25805556000000,-112.9466667000000,,.5,seconds,Interpolated from MAP.,NAD83,4482,feet,5,feet,Interpolated from topographic map.,NAVD88,US,49,053,,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-371542113062401,"NORTH CREEK NR SUNSET CANYON RANCH, ZION NP, UT",Stream,,15010008,,,,,37.26166667000000,-113.1066667000000,,.5,seconds,Interpolated from MAP.,NAD83,4029,feet,5,feet,Interpolated from topographic map.,NAVD88,US,49,053,,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-371705112565001,"NORTH FORK VIRGIN RIVER AT MOUTH OF NARROWS, UT",Stream,,15010008,,,,,37.28470380000000,-112.9479960000000,24000,5,seconds,Interpolated from MAP.,NAD83,4440,feet,40,feet,Interpolated from topographic map.,NGVD29,US,49,053,,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-372214112525501,"North Fork Virgin River at WSA Boundary, UT",Stream,,15010008,,,,,37.37060000000000,-112.8820000000000,24000,.5,seconds,Interpolated from MAP.,NAD83,5511,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,49,025,,,,,,,,,,NWIS
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-ZION_3P_4950920,North Creek at Planned Gage in Park,River/Stream,"This station is at North Creek at planned gage in park. This site is approximately 600 meters downstream of the confluence of Left and Right Forks of North Creek in Zion National Park. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation. This station has additional IDs and station names: USGS-NWIS Site No. 371542113062401, North Creek at Planned Gage in Park; and Utah Dept. of Environmental Quality 4950920, North Ck at Planned Gage in Park.",15010008,,,,,37.2610931321,-113.1063330320,,,,Unknown,NAD83,,,,,,,US,49,053,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-ZION_3P_4951199,North Fork Virgin River below Temple of Sinawava,River/Stream,"This station is at North Fork Virgin River below Temple of Sinawava. This site is just downstream of the Temple of Sinawava. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation. This station has additional IDs and station names: USGS-NWIS Site No. 371705112565001, North Fork Virgin River at Mouth of Narrows, UT; and Utah Dept. of Environmental Quality of 4951199, N Fk Virgin R bl Temple of Sinawava.",15010008,,,,,37.2844791279,-112.9472633870,,,,Unknown,NAD83,,,,,,,US,49,053,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-ZION_3P_4951265,North Fork Virgin River at Wilderness Study Area Boundary,River/Stream,"This station is at North Fork Virgin River at Wilderness Study Area Boundary. This site is approximately 1.9 kilometers north of Dakota Hill. This station has additional IDs and names: USGS NWIS Site No. 372214112525501, North Fork Virgin River at WSA Boundary, UT; and Utah Dept. of Environmental Quality No. 4951265, N Fk Virgin R at WSA Bndry.",15010008,,,,,37.3706000000,-112.8820000000,0,,,Interpolation-Map,NAD83,,,,,,,US,49,025,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-ZION_3P_9405500,"North Fork Virgin River near Springdale, UT",River/Stream,"The station is at North Fork Virgin River near Springdale, UT. This site is approximately 170 meters east of Zion National Park headquarters. This station has an additional ID from USGS-NWIS of 09405500 with the station name of North Fork Virgin River near Springdale, UT.",15010008,,,,,37.2096110000,-112.9784470000,0,,,Interpolation-Map,NAD83,3970,ft,,,Topographic Map Interpolation,NGVD29,US,49,053,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-ZION_3P_GROTTO,The Grotto,Spring,"The station is at The Grotto springs, approximately 400 meters north of Red Arch Mountain. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation. This station has an additional ID from USGS-NWIS of 371529112564801 with the station name of The Grotto.",15010008,,,,,37.2581061024,-112.9467322730,,,,Unknown,NAD83,,,,,,,US,49,053,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-ZION_3P_MENUFSP,Menu Falls Spring,Spring,"This station is at Menu Falls Spring, approximately 600 meters southeast of The Pulpit in the Temple of Sinawava.",15010008,,,,,37.2798951412,-112.9432509070,24000,,,Interpolation-Map,NAD83,,,,,,,US,49,053,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-ZION_3P_TEMPLES,Temple of Sinawava Seep,Spring,"This station is at Temple of Sinawava Seep at a pool at the base of the wall, approximately 400 meters northwest of the Pulpit. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation.",15010008,,,,,37.2860275988,-112.9509741220,,,,Unknown,NAD83,,,,,,,US,49,053,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-ZION_3P_UEMERPS,Upper Emerald Pool Spring,Spring,"This station is at Upper Emerald Pool Spring, approximately 100 feet (30 meters) above Upper Emerald Pool and 1200 feet (360 meters) north of Lady Mountain. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation.",15010008,,,,,37.2574902092,-112.9664162210,,,,Unknown,NAD83,,,,,,,US,49,053,,,,,,,,,,STORET
ADVENTURESCIENTISTS,Adventure Scientists (Volunteer)*,ADVENTURESCIENTISTS-37.28.112.95,North Fork Virgin River (Virgin Wild and Scenic River)-37.28.112.95,River/Stream,,15010008,,,,,37.2846862441,-112.9477082939,,,,GPS Code (Pseudo Range) Differential,WGS84,,,,,,,US,49,053,,,,,,,,,,STORET
ADVENTURESCIENTISTS,Adventure Scientists (Volunteer)*,ADVENTURESCIENTISTS-37.37.112.88,North Fork Virgin River (Virgin Wild and Scenic River)-37.37.112.88,River/Stream,,15010008,,,,,37.3704046151,-112.8824051377,,,,GPS Code (Pseudo Range) Differential,WGS84,,,,,,,US,49,025,,,,,,,,,,STORET
NARS_WQX,EPA National Aquatic Resources Survey (NARS),NARS_WQX-UTLS-1062,North Fork Virgin River,River/Stream,LargeStreams,15010008,,,,,37.2065600000,-112.9787000000,,,,GPS-Unspecified,NAD83,1210.9,m,,,Unknown,UNKWN,US,49,053,,,,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-4950892,Virgin River at 2020 E crossing near Virgin,River/Stream,,15010008,,,,,37.1936200000,-113.1522500000,,,,GPS-Unspecified,NAD83,,,,,,,US,49,053,,,,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-4950900,VIRGIN R AT CR XING IN ROCKVILLE,River/Stream,,15010008,,,,,37.1588100000,-113.0376300000,,,,GPS-Unspecified,NAD83,,,,,,,US,49,053,,,,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-4950920,North Ck at Planned Gage in Park,River/Stream,,15010008,,,,,37.2616900000,-113.1071900000,,,,GPS-Unspecified,NAD83,,,,,,,US,49,053,,,,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-4951199,N FK VIRGIN R BL TEMPLE OF SINAWAVA,River/Stream,,15010008,,,,,37.2827600000,-112.9471600000,,,,GPS-Unspecified,NAD83,,,,,,,US,49,053,,,,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-4951200,VIRGIN R BL ZION NARROWS,River/Stream,,15010008,,,,,37.2848200000,-112.9488600000,,,,GPS-Unspecified,NAD83,,,,,,,US,49,053,,,,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-4951265,N FK VIRGIN R AT WSA BNDRY,River/Stream,,15010008,,,,,37.3709800000,-112.8827700000,,,,GPS-Unspecified,NAD83,,,,,,,US,49,025,,,,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-4951266,N FK VIRGIN R AT WSA BNDRY Replicate of 4951265,River/Stream,Replicate of 4951265,15010008,,,,,37.3709800000,-112.8827700000,,,,GPS-Unspecified,NAD83,,,,,,,US,49,025,,,,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-4951268,N FK VIRGIN RIVER AT ROAD END 1 MILE ABOVE WSA BNDRY,River/Stream,,15010008,,,,,37.3724900000,-112.8732900000,,,,GPS-Unspecified,NAD83,,,,,,,US,49,025,,,,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-4951310,DEEP CK BL CNFL/ CRYSTAL CK (UT09ST-244),River/Stream,,15010008,,,,,37.4170300000,-112.9251600000,,,,GPS-Unspecified,NAD83,,,,,,,US,49,053,,,,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-4951320,KOLOB RES AB DAM 01,Lake,,15010008,,,,,37.4322000000,-113.0488300000,,,,GPS-Unspecified,NAD83,,,,,,,US,49,053,,,,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-4951330,KOLOB RES MIDWAY UP LAKE 02,Lake,,15010008,,,,,37.4399800000,-113.0488400000,,,,GPS-Unspecified,NAD83,,,,,,,US,49,053,,,,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-4951407,E FK VIRGIN R BL STEVENS WASH,River/Stream,,15010008,,,,,37.1655700000,-112.9582200000,,,,GPS-Unspecified,NAD83,,,,,,,US,49,053,,,,,,,,,,STORET
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-5951263,Return flow above WSA,Canal Drainage,,15010008,,,,,37.3727500000,-112.8731200000,,,,GPS-Unspecified,NAD83,,,,,,,US,49,025,,,,,,,,,,STORET
